date,symbol,event
2015-03-09,ECLERX,"BUY ₹9.98 at ₹1,550.00 (fresh Friday signal — BUY: 3.25× weekly, month 2.52×, ladder rising; stop ₹1,171.35; charges ₹0.01)"
2015-03-09,GEOMETRIC,"BUY ₹10.00 at ₹157.60 (fresh Friday signal — BUY: 6.64× weekly, month 1.62×, ladder rising; stop ₹130.15; charges ₹0.01)"
2015-03-09,HCC,"BUY ₹10.03 at ₹36.45 (fresh Friday signal — BUY: 3.01× weekly, month 1.69×, ladder rising; stop ₹28.57; charges ₹0.01)"
2015-03-09,JBMA,"BUY ₹9.99 at ₹239.80 (fresh Friday signal — BUY: 2.78× weekly, month 2.63×, ladder rising; stop ₹188.60; charges ₹0.01)"
2015-03-09,RAMCOSYS,"BUY ₹9.98 at ₹694.70 (fresh Friday signal — BUY: 2.12× weekly, month 5.40×, ladder rising; stop ₹532.00; charges ₹0.01)"
2015-03-09,SMLISUZU,"BUY ₹10.03 at ₹1,200.00 (fresh Friday signal — BUY: 2.25× weekly, month 1.55×, ladder rising; stop ₹949.52; charges ₹0.01)"
2015-03-09,SOMANYCERA,"BUY ₹10.01 at ₹405.00 (fresh Friday signal — BUY: 6.10× weekly, month 1.53×, ladder rising; stop ₹336.63; charges ₹0.01)"
2015-03-09,SPARC,"BUY ₹10.09 at ₹476.00 (fresh Friday signal — BUY: 1.67× weekly, month 2.23×, ladder rising; stop ₹295.36; charges ₹0.01)"
2015-03-09,TWL,"BUY ₹9.96 at ₹728.70 (fresh Friday signal — BUY: 2.00× weekly, month 9.35×, ladder rising; stop ₹479.92; charges ₹0.01)"
2015-03-13,BFINVEST,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 3.04× weekly, month 4.28×, ladder rising)"
2015-03-13,FORTIS,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 3.22× weekly, month 8.74×, ladder rising)"
2015-03-13,GEOMETRIC,RAISE STOP ₹130.15 → ₹145.35 (new box ₹153.00–₹177.80 sealed)
2015-03-13,INFINITE,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.18× weekly, month 10.31×, ladder rising)"
2015-03-13,JBMA,RAISE STOP ₹188.60 → ₹222.30 (new box ₹234.00–₹260.00 sealed)
2015-03-13,LUPIN,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.76× weekly, month 2.27×, ladder rising)"
2015-03-13,NCC,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.72× weekly, month 3.22×, ladder rising)"
2015-03-13,PGEL,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.52× weekly, month 4.68×, ladder rising)"
2015-03-16,AARTIIND,"BUY ₹9.80 at ₹360.80 (fresh Friday signal — BUY: 5.16× weekly, month 1.97×, ladder rising; stop ₹270.94; charges ₹0.01)"
2015-03-20,ECLERX,"RAISE STOP ₹1,171.35 → ₹1,320.70 (new box ₹1,399.00–₹1,660.00 sealed)"
2015-03-20,GEOMETRIC,RAISE STOP ₹145.35 → ₹158.22 (new box ₹166.55–₹184.40 sealed)
2015-03-20,RAMCOSYS,RAISE STOP ₹532.00 → ₹597.69 (new box ₹629.15–₹719.90 sealed)
2015-03-20,SOMANYCERA,RAISE STOP ₹336.63 → ₹341.63 (new box ₹361.00–₹425.55 sealed)
2015-03-23,JBMA,"SELL ₹9.24 at stop ₹222.30 (-7.3%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-03-27,CENTURYTEX,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.02× weekly, month 1.53×, ladder rising)"
2015-03-27,LUPIN,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.05× weekly, month 2.58×, ladder rising)"
2015-03-27,SOLARINDS,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 6.38× weekly, month 1.95×, ladder rising)"
2015-03-27,SUVEN,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.82× weekly, month 2.46×, ladder rising)"
2015-03-30,DYNAMATECH,"BUY ₹9.37 at ₹3,843.00 (fresh Friday signal — BUY: 10.44× weekly, month 3.95×, ladder rising; stop ₹3,081.75; charges ₹0.01)"
2015-04-01,AARTIIND,RAISE STOP ₹270.94 → ₹300.44 (new box ₹318.20–₹377.40 sealed)
2015-04-01,SMLISUZU,"RAISE STOP ₹949.52 → ₹983.70 (new box ₹1,053.00–₹1,284.00 sealed)"
2015-04-01,SPARC,RAISE STOP ₹295.36 → ₹426.12 (new box ₹448.55–₹513.00 sealed)
2015-04-01,TAX,"FY2015 settled: ₹0.00 paid (STCG ₹0.00 @20%, LTCG ₹0.00 @12.5%; losses carried forward ST ₹0.73 / LT ₹0.00)"
2015-04-21,SPARC,"SELL ₹9.01 at stop ₹426.12 (-10.5%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-04-22,DYNAMATECH,"SELL ₹7.50 at stop ₹3,081.75 (-19.8%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-04-22,GEOMETRIC,"SELL ₹10.02 at stop ₹158.22 (+0.4%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-04-23,TWL,"SELL ₹6.55 at stop ₹479.92 (-34.1%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-04-24,HCC,RAISE STOP ₹28.57 → ₹31.21 (new box ₹32.85–₹36.80 sealed)
2015-04-24,SOMANYCERA,RAISE STOP ₹341.63 → ₹418.24 (new box ₹440.25–₹459.95 sealed)
2015-04-27,AARTIIND,"SELL ₹8.14 at stop ₹300.44 (-16.7%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-04-27,HCC,"SELL ₹8.57 at stop ₹31.21 (-14.4%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-04-27,PETRONENGG,"BUY ₹8.84 at ₹250.10 (fresh Friday signal — BUY: 5.67× weekly, month 3.79×, ladder rising; stop ₹207.41; charges ₹0.01)"
2015-04-27,RAMCOSYS,"SELL ₹8.57 at stop ₹597.69 (-14.0%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-04-27,SOMANYCERA,"SELL ₹10.32 at stop ₹418.24 (+3.3%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-05-04,VADILALIND,"BUY ₹9.06 at ₹487.00 (fresh Friday signal — BUY: 10.46× weekly, month 4.23×, ladder rising; stop ₹323.00; charges ₹0.01)"
2015-05-08,VADILALIND,RAISE STOP ₹323.00 → ₹451.91 (new box ₹475.70–₹519.00 sealed)
2015-05-11,ABIRLANUVO,"BUY ₹8.99 at ₹945.00 (fresh Friday signal — BUY: 5.18× weekly, month 1.67×, ladder rising; stop ₹713.90; charges ₹0.01)"
2015-05-18,MANINDS,"BUY ₹9.01 at ₹70.00 (fresh Friday signal — ACCUMULATE: 4.03× weekly, month 3.68×, ladder rising; stop ₹54.94; charges ₹0.01)"
2015-05-18,NILKAMAL,"BUY ₹8.98 at ₹524.95 (fresh Friday signal — BUY: 5.24× weekly, month 2.21×, ladder rising; stop ₹413.10; charges ₹0.01)"
2015-05-18,WELSPUNIND,"BUY ₹9.02 at ₹42.88 (fresh Friday signal — BUY: 1.85× weekly, month 1.82×, ladder rising; stop ₹37.14; charges ₹0.01)"
2015-05-22,ABIRLANUVO,RAISE STOP ₹713.90 → ₹850.92 (new box ₹895.70–₹950.90 sealed)
2015-05-22,VADILALIND,RAISE STOP ₹451.91 → ₹463.60 (new box ₹488.00–₹536.00 sealed)
2015-05-29,WELSPUNIND,RAISE STOP ₹37.14 → ₹40.67 (new box ₹42.81–₹45.60 sealed)
2015-06-01,IGARASHI,"BUY ₹5.81 at ₹516.80 (fresh Friday signal — BUY: 2.29× weekly, month 1.55×, ladder rising; stop ₹351.60; charges ₹0.01)"
2015-06-01,INFRATEL,"BUY ₹8.96 at ₹462.10 (fresh Friday signal — BUY: 5.86× weekly, month 3.68×, ladder rising; stop ₹400.24; charges ₹0.01)"
2015-06-03,ABIRLANUVO,"SELL ₹8.08 at stop ₹850.92 (-10.0%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-06-03,PETRONENGG,"SELL ₹7.31 at stop ₹207.41 (-17.1%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-06-08,TORNTPHARM,"BUY ₹8.58 at ₹1,244.00 (fresh Friday signal — ACCUMULATE: 1.79× weekly, month 1.51×, ladder rising; stop ₹1,107.70; charges ₹0.01)"
2015-06-09,WELSPUNIND,"SELL ₹8.54 at stop ₹40.67 (-5.2%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-06-12,IGARASHI,RAISE STOP ₹351.60 → ₹398.82 (new box ₹431.15–₹538.90 sealed)
2015-06-15,CHENNPETRO,"BUY ₹8.45 at ₹135.25 (fresh Friday signal — BUY: 3.80× weekly, month 3.78×, ladder rising; stop ₹94.03; charges ₹0.01)"
2015-06-15,DISHTV,"BUY ₹6.89 at ₹107.40 (fresh Friday signal — BUY: 3.53× weekly, month 2.47×, ladder rising; stop ₹90.11; charges ₹0.01)"
2015-06-19,MANINDS,RAISE STOP ₹54.94 → ₹67.54 (new box ₹71.10–₹80.90 sealed)
2015-06-19,NILKAMAL,RAISE STOP ₹413.10 → ₹479.89 (new box ₹505.15–₹583.35 sealed)
2015-06-19,SMLISUZU,"RAISE STOP ₹983.70 → ₹997.50 (new box ₹1,050.00–₹1,149.95 sealed)"
2015-06-26,TORNTPHARM,"RAISE STOP ₹1,107.70 → ₹1,249.25 (new box ₹1,315.00–₹1,368.50 sealed)"
2015-07-03,CHENNPETRO,RAISE STOP ₹94.03 → ₹141.50 (new box ₹152.20–₹187.85 sealed)
2015-07-03,DISHTV,RAISE STOP ₹90.11 → ₹93.74 (new box ₹99.20–₹117.40 sealed)
2015-07-03,MANINDS,RAISE STOP ₹67.54 → ₹81.13 (new box ₹85.40–₹93.75 sealed)
