date,symbol,event
2020-06-05,BAYERCROP,fresh signal REFUSED — falling earnings power
2020-06-05,COSMOFILMS,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.76× weekly, month 1.66×, ladder rising)"
2020-06-05,HCG,fresh signal REFUSED — falling earnings power
2020-06-05,IGL,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.53× weekly, month 1.88×, ladder rising)"
2020-06-05,RELAXO,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.89× weekly, month 1.81×, ladder rising)"
2020-06-05,SYNGENE,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.59× weekly, month 2.26×, ladder rising)"
2020-06-05,ZEEL,fresh signal REFUSED — falling earnings power
2020-06-08,ALEMBICLTD,"BUY ₹9.70 at ₹56.40 (fresh Friday signal — ACCUMULATE: 2.95× weekly, month 2.79×, ladder rising; stop ₹44.84; charges ₹0.0115)"
2020-06-08,EIDPARRY,"BUY ₹9.80 at ₹219.00 (fresh Friday signal — BUY: 4.34× weekly, month 3.58×, ladder rising; stop ₹132.60; charges ₹0.0116)"
2020-06-08,EIHAHOTELS,"BUY ₹9.76 at ₹137.50 (fresh Friday signal — BUY: 3.47× weekly, month 7.29×, ladder rising; stop ₹110.67; charges ₹0.0116)"
2020-06-08,KIRLOSBROS,"BUY ₹9.70 at ₹106.50 (fresh Friday signal — ACCUMULATE: 2.95× weekly, month 1.69×, ladder rising; stop ₹91.63; charges ₹0.0115)"
2020-06-08,MANGCHEFER,"BUY ₹9.72 at ₹38.75 (fresh Friday signal — BUY: 2.14× weekly, month 1.72×, ladder rising; stop ₹30.64; charges ₹0.0115)"
2020-06-08,RCF,"BUY ₹9.73 at ₹45.20 (fresh Friday signal — BUY: 2.38× weekly, month 2.28×, ladder rising; stop ₹35.25; charges ₹0.0115)"
2020-06-08,STRTECH,"BUY ₹9.76 at ₹112.00 (fresh Friday signal — BUY: 2.56× weekly, month 1.57×, ladder rising; stop ₹89.21; charges ₹0.0116)"
2020-06-08,SUNFLAG,"BUY ₹9.92 at ₹43.00 (fresh Friday signal — BUY: 5.47× weekly, month 2.36×, ladder rising; stop ₹24.38; charges ₹0.0118)"
