nse_symbol,industry,n_pattern_matches,n_target_hits,avg_realized_cagr,best_realized_cagr,worst_realized_cagr,base_years_covered,unique_signals_matched,target_hit_rate_pct
DMART,CONSUMER GOODS,10,10,16.3,17.4,15.2,2,5,100.0
AJANTPHARM,PHARMA,6,6,17.05,22.3,16.0,2,5,100.0
BRITANNIA,CONSUMER GOODS,6,3,9.3,10.3,8.3,2,3,50.0
DIXON,CONSUMER GOODS,6,6,53.56666666666666,53.9,53.4,2,4,100.0
AMBER,,6,6,33.1,34.9,31.3,2,3,100.0
BLS,,5,5,39.1,45.4,34.9,2,3,100.0
PIIND,FERTILISERS & PESTICIDES,5,5,18.740000000000002,21.3,14.9,2,3,100.0
NATCOPHARM,PHARMA,5,0,3.72,8.1,0.8,2,4,0.0
ERIS,PHARMA,4,3,10.075,10.6,8.5,2,3,75.0
AEGISLOG,,4,4,17.25,17.6,16.9,2,2,100.0
LTTS,IT,4,4,15.450000000000001,20.3,10.6,2,2,100.0
SAREGAMA,,4,4,31.450000000000003,34.7,28.2,2,2,100.0
UNOMINDA,,4,4,26.7,29.7,25.7,2,3,100.0
TEJASNET,,4,4,11.375,12.5,11.0,2,3,100.0
NEWGEN,,3,3,28.666666666666668,36.0,14.0,2,3,100.0
LALPATHLAB,HEALTHCARE SERVICES,3,3,15.200000000000001,16.0,13.6,2,2,100.0
HAVELLS,CONSUMER GOODS,3,3,17.7,17.7,17.7,1,3,100.0
EICHERMOT,AUTOMOBILE,3,3,17.8,17.8,17.8,1,3,100.0
ATUL,CHEMICALS,3,3,13.0,13.0,13.0,1,3,100.0
CAPLIPOINT,PHARMA,3,3,20.8,20.8,20.8,1,3,100.0
SBILIFE,FINANCIAL SERVICES,3,3,13.766666666666666,16.3,12.5,2,2,100.0
OLECTRA,,3,3,21.1,21.1,21.1,1,3,100.0
PAGEIND,TEXTILES,2,0,9.5,9.5,9.5,1,2,0.0
UNITDSPR,,2,2,12.399999999999999,12.6,12.2,2,1,100.0
HDFCLIFE,FINANCIAL SERVICES,2,0,6.449999999999999,6.8,6.1,2,1,0.0
LTM,,2,2,13.3,13.3,13.3,1,2,100.0
GLAXO,PHARMA,2,1,12.0,15.6,8.4,2,1,50.0
AUROPHARMA,PHARMA,2,2,11.0,11.0,11.0,1,2,100.0
BERGEPAINT,CONSUMER GOODS,1,1,12.9,12.9,12.9,1,1,100.0
BEL,INDUSTRIAL MANUFACTURING,1,1,44.3,44.3,44.3,1,1,100.0
HCLTECH,IT,1,1,13.8,13.8,13.8,1,1,100.0
GRAVITA,,1,1,48.7,48.7,48.7,1,1,100.0
FSL,IT,1,1,23.1,23.1,23.1,1,1,100.0
GALLANTT,,1,1,37.9,37.9,37.9,1,1,100.0
CDSL,FINANCIAL SERVICES,1,1,36.1,36.1,36.1,1,1,100.0
BRIGADE,CONSTRUCTION,1,1,22.0,22.0,22.0,1,1,100.0
CHENNPETRO,ENERGY,1,0,9.4,9.4,9.4,1,1,0.0
CHALET,,1,1,11.0,11.0,11.0,1,1,100.0
ASTERDM,HEALTHCARE SERVICES,1,1,23.3,23.3,23.3,1,1,100.0
ASIANPAINT,CONSUMER GOODS,1,1,11.1,11.1,11.1,1,1,100.0
ASAHIINDIA,,1,0,8.9,8.9,8.9,1,1,0.0
ASTRAL,INDUSTRIAL MANUFACTURING,1,1,17.5,17.5,17.5,1,1,100.0
BAJFINANCE,FINANCIAL SERVICES,1,1,15.1,15.1,15.1,1,1,100.0
BBTC,CONSUMER GOODS,1,0,0.4,0.4,0.4,1,1,0.0
HEROMOTOCO,AUTOMOBILE,1,0,0.7,0.7,0.7,1,1,0.0
HEG,INDUSTRIAL MANUFACTURING,1,0,3.6,3.6,3.6,1,1,0.0
NEULANDLAB,,1,1,52.9,52.9,52.9,1,1,100.0
MOTHERSON,,1,1,14.9,14.9,14.9,1,1,100.0
LTFOODS,,1,1,23.9,23.9,23.9,1,1,100.0
LAURUSLABS,PHARMA,1,1,29.5,29.5,29.5,1,1,100.0
HINDUNILVR,CONSUMER GOODS,1,0,7.8,7.8,7.8,1,1,0.0
ICICIGI,FINANCIAL SERVICES,1,0,7.9,7.9,7.9,1,1,0.0
INOXWIND,INDUSTRIAL MANUFACTURING,1,1,29.2,29.2,29.2,1,1,100.0
KAJARIACER,CONSTRUCTION,1,0,6.0,6.0,6.0,1,1,0.0
TATACHEM,CHEMICALS,1,1,16.4,16.4,16.4,1,1,100.0
PRESTIGE,CONSTRUCTION,1,1,23.9,23.9,23.9,1,1,100.0
PCBL,,1,1,21.5,21.5,21.5,1,1,100.0
TATACOMM,,1,1,22.3,22.3,22.3,1,1,100.0
TRITURBINE,INDUSTRIAL MANUFACTURING,1,1,27.9,27.9,27.9,1,1,100.0
YESBANK,FINANCIAL SERVICES,1,0,-33.9,-33.9,-33.9,1,1,0.0
ZEEL,MEDIA & ENTERTAINMENT,1,0,-22.3,-22.3,-22.3,1,1,0.0
ZYDUSWELL,CONSUMER GOODS,1,0,7.3,7.3,7.3,1,1,0.0
