signal,horizon,n,hits,hit_rate_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct
FA > 20% YoY for 3 yrs,7y,17,13,76.5,19.7,17.4,-33.9,48.7
FA > 20% YoY for 3 yrs,5y,39,29,74.4,28.0,25.1,-45.2,122.7
Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,29,21,72.4,23.8,17.8,7.3,53.9
FA > 20% YoY for 3 yrs,3y,49,34,69.4,27.8,29.2,-62.9,143.8
Reserves CAGR > 25% AND Borrowings CAGR < 0%,5y,59,38,64.4,24.7,23.7,-18.1,122.6
Reserves CAGR > 20% AND Borrowings CAGR < 0%,5y,95,61,64.2,22.8,21.6,-22.0,122.6
Reserves CAGR (5y) > 15%,5y,251,157,62.5,25.5,20.3,-18.7,122.7
FA CAGR > 20% AND Reserves CAGR > 25%,7y,48,30,62.5,18.7,17.5,-33.9,53.9
Reserves CAGR (5y) > 25%,5y,90,56,62.2,27.5,21.7,-16.0,122.6
Reserves CAGR (5y) > 25% AND Debt/Equity < 0.5,5y,55,34,61.8,29.6,20.4,-4.9,122.6
Reserves CAGR > 25% AND Debt/Equity < 0.1,5y,47,29,61.7,24.5,20.8,-5.7,122.6
FA > 15% YoY for 3 yrs (sustained capex),3y,78,48,61.5,24.0,23.5,-62.9,143.8
FA > 15% YoY for 3 yrs (sustained capex),5y,59,36,61.0,24.8,21.1,-45.2,122.7
Reserves CAGR > 25% AND FA CAGR > 10% AND Cash > 10% of TA,5y,23,14,60.9,26.1,17.4,-14.9,88.4
Reserves CAGR (5y) > 20%,5y,148,90,60.8,25.3,19.5,-16.0,122.6
Reserves CAGR (5y) > 15%,3y,571,343,60.1,26.3,20.1,-36.9,183.3
Reserves CAGR > 20% AND Borrowings CAGR < 0%,3y,179,106,59.2,27.6,21.0,-34.2,183.3
Reserves CAGR (5y) > 20% AND Debt/Equity < 0.5,5y,83,49,59.0,26.1,18.6,-11.1,122.6
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.5,7y,51,30,58.8,19.5,16.8,0.4,53.9
Reserves CAGR (5y) > 25% AND Debt/Equity < 0.5,3y,126,74,58.7,28.4,20.0,-22.5,183.3
FA CAGR > 15% AND Reserves CAGR > 20%,7y,87,51,58.6,18.1,17.1,-33.9,53.9
FA CAGR > 15% AND Debt/Equity < 0.5,7y,101,59,58.4,19.0,16.9,-11.3,53.9
Fixed Assets CAGR (3y) > 25%,5y,230,134,58.3,21.2,19.2,-45.2,122.7
Reserves > 15% YoY for 3 yrs,3y,304,177,58.2,23.5,19.7,-62.9,183.3
Reserves CAGR (5y) > 20% AND Debt/Equity < 0.3,5y,67,39,58.2,26.0,17.5,-11.1,122.6
FA > 15% YoY for 3 yrs (sustained capex),7y,26,15,57.7,16.8,15.4,-33.9,48.7
Reserves CAGR (5y) > 20%,3y,330,190,57.6,25.6,19.4,-36.9,183.3
Reserves CAGR (5y) > 20% AND Debt/Equity < 0.3,3y,151,87,57.6,26.6,19.4,-22.5,183.3
Reserves CAGR > 25% AND Borrowings CAGR < 0%,3y,118,68,57.6,27.0,23.0,-32.6,183.3
Reserves CAGR > 25% AND Debt/Equity < 0.5,5y,99,57,57.6,24.0,21.4,-18.1,122.6
Reserves > 15% YoY for 3 yrs AND Debt/Equity < 0.5,3y,181,104,57.5,21.3,19.0,-34.6,183.3
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,40,23,57.5,18.0,16.2,0.4,53.4
Reserves CAGR (5y) > 20% AND Debt/Equity < 0.5,3y,188,108,57.4,25.9,18.3,-22.5,183.3
Total Assets CAGR (3y) > 20%,5y,241,138,57.3,20.4,18.1,-45.2,122.7
