signal,horizon,n,hits_cagr_ge_20pct,hit_rate_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct
FA > 30% YoY for 3 yrs,5y,11,9,81.8,34.2,32.6,5.5,79.1
Cash > 25% TA AND Reserves CAGR > 25%,5y,9,6,66.7,42.6,31.1,14.0,122.6
FA > 20% YoY for 4 yrs,5y,14,9,64.3,33.7,27.4,3.4,122.7
FA & Reserves both > 20% YoY for 3 yrs,5y,11,7,63.6,25.2,21.4,5.5,79.1
FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.5,5y,8,5,62.5,24.1,21.1,5.5,79.1
Reserves CAGR > 25% AND Borrowings CAGR < -10%,5y,42,26,61.9,26.7,23.1,-11.9,122.6
FA > 25% YoY for 3 yrs,5y,25,15,60.0,32.5,25.1,-3.0,122.7
FA & Reserves both > 20% YoY for 3 yrs AND D/E < 0.3,5y,5,3,60.0,28.7,20.8,5.5,79.1
Cash > 20% TA AND Reserves CAGR > 25%,5y,14,8,57.1,34.7,28.5,3.8,122.6
FA > 20% YoY for 3 yrs AND D/E < 0.3,5y,16,9,56.2,24.8,22.0,3.4,79.1
FA CAGR > 25% AND Reserves CAGR > 25% AND D/E < 0.5,5y,38,21,55.3,26.0,21.5,-6.5,88.4
Reserves CAGR (5y) > 30%,5y,55,30,54.5,27.5,22.1,-16.0,122.6
Reserves CAGR > 30% AND Borrowings CAGR < 0%,5y,44,24,54.5,23.0,21.3,-11.9,122.6
FA CAGR > 25% AND Reserves CAGR > 25% AND D/E < 0.3,5y,28,15,53.6,27.5,21.2,-4.9,88.4
Reserves CAGR (5y) > 25%,5y,90,48,53.3,27.5,21.7,-16.0,122.6
Reserves CAGR > 30% AND Borrowings CAGR < -10%,5y,30,16,53.3,24.9,20.9,-11.9,122.6
Reserves CAGR (3y) > 40%,5y,84,44,52.4,22.3,20.9,-19.2,88.4
Reserves CAGR (5y) > 35%,5y,46,24,52.2,27.8,22.5,-16.0,122.6
FA CAGR > 25% AND Reserves CAGR > 30% AND D/E < 0.3,5y,25,13,52.0,27.9,20.8,-4.9,88.4
Reserves CAGR (3y) > 35%,5y,110,55,50.0,22.4,19.9,-19.2,122.6
FA CAGR (3y) > 35%,5y,145,70,48.3,22.6,19.3,-45.2,122.7
FA CAGR > 30% AND Reserves CAGR > 30% AND D/E < 0.5,5y,27,13,48.1,23.4,17.4,-6.5,88.4
FA CAGR (3y) > 30%,5y,181,84,46.4,21.6,19.1,-45.2,122.7
Reserves CAGR (3y) > 30%,5y,149,69,46.3,20.2,15.6,-45.2,122.6
FA > 25% YoY for 3 yrs AND D/E < 0.5,5y,11,5,45.5,23.2,18.0,4.9,79.1
Reserves > 25% YoY for 4 yrs,5y,9,4,44.4,25.9,11.3,-3.2,61.0
FA CAGR (3y) > 40%,5y,101,44,43.6,21.7,18.3,-17.9,119.7
Reserves > 30% YoY for 3 yrs AND D/E < 0.5,5y,17,7,41.2,16.4,9.7,-11.9,61.0
Reserves > 25% YoY for 3 yrs,5y,35,14,40.0,17.4,11.7,-16.0,61.0
Reserves > 25% YoY for 3 yrs AND D/E < 0.5,5y,25,10,40.0,17.2,11.3,-11.9,61.0
FA > 25% YoY for 3 yrs AND D/E < 0.3,5y,8,3,37.5,25.8,15.7,4.9,79.1
Reserves > 25% YoY for 3 yrs AND D/E < 0.3,5y,22,8,36.4,16.4,11.0,-11.9,61.0
Reserves > 30% YoY for 3 yrs,5y,23,8,34.8,13.7,9.2,-16.0,61.0
