,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,41.0,82.0,83.0,96.0
Reserves,,1030.0,1068.0,1126.0,1217.0,1348.0,1504.0,1682.0,1887.0,3524.0,3754.0,4222.0,7107.0
Borrowing,,50.0,141.0,728.0,1566.0,2769.0,2837.0,3774.0,4808.0,7511.0,10407.0,15577.0,24112.0
Other Liabilities,,49.0,77.0,98.0,153.0,126.0,66.0,322.0,422.0,725.0,907.0,950.0,1360.0
Total Liabilities,,1164.0,1320.0,1986.0,2971.0,4277.0,4441.0,5813.0,7153.0,11801.0,15150.0,20831.0,32676.0
Fixed Assets,,9.0,8.0,13.0,15.0,14.0,32.0,28.0,34.0,291.0,350.0,341.0,364.0
CWIP,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,19.0,3.0,0.0
Investments,,117.0,110.0,68.0,56.0,9.0,361.0,807.0,377.0,216.0,216.0,160.0,1236.0
Other Assets,,1038.0,1202.0,1905.0,2900.0,4254.0,4048.0,4978.0,6739.0,11278.0,14565.0,20326.0,31076.0
Total Assets,,1164.0,1320.0,1986.0,2971.0,4277.0,4441.0,5813.0,7153.0,11801.0,15150.0,20831.0,32676.0
Building,Fixed Assets,0.0,0.0,1.56,2.55,2.56,2.56,2.56,2.56,18.94,31.36,34.54,
Equipments,Fixed Assets,1.2,1.43,2.41,3.15,3.61,3.24,3.32,3.34,25.16,35.3,39.97,
Computers,Fixed Assets,2.72,3.49,4.24,6.94,8.44,8.8,9.17,12.88,29.21,37.1,42.25,
Furniture n fittings,Fixed Assets,4.41,4.6,6.08,7.52,7.8,5.85,6.02,5.92,56.63,50.65,56.62,
Vehicles,Fixed Assets,2.8,3.82,4.76,4.84,5.39,5.56,6.14,6.27,6.63,5.94,9.3,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,24.96
Other fixed assets,Fixed Assets,8.69,8.94,9.33,11.97,13.14,34.14,27.1,33.03,236.1,351.25,413.28,
Gross Block,Fixed Assets,19.82,22.28,28.38,36.97,40.94,60.15,54.31,64.0,372.67,511.62,595.99,
Accumulated Depreciation,Fixed Assets,11.26,14.25,15.76,21.55,27.27,27.91,26.51,29.63,81.71,162.06,254.56,
Trade Payables,Other Liabilities,1.0,1.0,9.0,14.0,15.0,7.0,7.0,33.0,97.0,130.0,103.0,127.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,48.0,76.0,89.0,138.0,111.0,59.0,315.0,388.0,628.0,776.0,848.0,1233.0
Inventories,Other Assets,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade receivables,Other Assets,26.0,8.0,1.0,1.0,9.0,1.0,2.0,8.0,32.0,137.0,59.0,33.0
Cash Equivalents,Other Assets,35.0,18.0,11.0,48.0,169.0,74.0,224.0,353.0,1510.0,675.0,1531.0,2123.0
Loans n Advances,Other Assets,-6.0,-1.0,1.0,3.0,8.0,11.0,9.0,14.0,51.0,78.0,108.0,28150.0
Other asset items,Other Assets,960.0,1176.0,1892.0,2848.0,4068.0,3962.0,4743.0,6363.0,9684.0,13676.0,18629.0,770.0
