,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Reserves,,761.0,990.0,1094.0,1280.0,1516.0,1802.0,2007.0
Borrowings,,52.0,86.0,62.0,32.0,10.0,3.0,2.0
Other Liabilities,,118.0,97.0,147.0,192.0,164.0,219.0,215.0
Total Liabilities,,941.0,1183.0,1313.0,1514.0,1701.0,2034.0,2235.0
Fixed Assets,,240.0,546.0,573.0,593.0,575.0,795.0,793.0
CWIP,,141.0,18.0,74.0,173.0,211.0,51.0,78.0
Investments,,199.0,141.0,74.0,137.0,246.0,335.0,487.0
Other Assets,,361.0,477.0,592.0,611.0,668.0,854.0,876.0
Total Assets,,941.0,1183.0,1313.0,1514.0,1701.0,2034.0,2235.0
Land,Fixed Assets,54.34,54.7,54.71,54.71,54.71,62.99,
Building,Fixed Assets,76.73,198.08,224.79,246.55,257.57,355.33,
Plant Machinery,Fixed Assets,130.82,41.13,352.75,391.87,405.98,545.91,
Equipments,Fixed Assets,30.11,311.28,48.11,55.72,58.41,75.21,
Computers,Fixed Assets,3.84,6.13,6.72,7.29,7.63,10.08,
Furniture n fittings,Fixed Assets,10.51,15.31,17.24,19.72,20.35,26.11,
Vehicles,Fixed Assets,2.33,3.42,3.71,4.23,5.54,4.84,
Intangible Assets,Fixed Assets,0.7,10.01,10.42,10.42,10.88,11.47,1.83
Other fixed assets,Fixed Assets,0.77,3.19,1.49,1.18,4.44,3.47,
Gross Block,Fixed Assets,310.15,643.25,719.94,791.69,825.51,1095.41,
Accumulated Depreciation,Fixed Assets,70.55,97.03,146.97,198.71,250.2,300.73,
Long term Borrowings,Borrowings,35.53,56.25,31.25,6.24,0.0,0.0,0.0
Short term Borrowings,Borrowings,0.0,5.1,29.34,25.0,6.23,0.38,0.0
Lease Liabilities,Borrowings,4.02,0.0,1.91,0.31,3.51,2.59,2.31
Other Borrowings,Borrowings,12.51,25.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Trade Payables,Other Liabilities,71.0,46.0,83.0,94.0,94.0,113.0,102.0
Advance from Customers,Other Liabilities,20.0,3.0,12.0,2.0,0.0,0.0,
Other liability items,Other Liabilities,27.0,48.0,52.0,97.0,70.0,106.0,115.0
Inventories,Other Assets,111.0,154.0,195.0,212.0,208.0,240.0,326.0
Trade receivables,Other Assets,184.0,178.0,232.0,274.0,350.0,522.0,460.0
Cash Equivalents,Other Assets,3.0,61.0,89.0,43.0,47.0,1.0,14.0
Loans n Advances,Other Assets,6.0,38.0,7.0,7.0,15.0,9.0,6.0
Other asset items,Other Assets,58.0,47.0,68.0,75.0,49.0,82.0,70.0
