,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,12.0,12.0,12.0,12.0,12.0,15.0,20.0,20.0,27.0,27.0,27.0,27.0
Reserves,,607.0,696.0,835.0,1006.0,1266.0,1488.0,1876.0,2316.0,2684.0,3161.0,3590.0,4031.0
Borrowings,,203.0,197.0,229.0,189.0,275.0,191.0,80.0,98.0,87.0,119.0,233.0,250.0
Other Liabilities,,344.0,397.0,386.0,468.0,546.0,595.0,697.0,952.0,1564.0,1188.0,1198.0,1504.0
Total Liabilities,,1165.0,1301.0,1462.0,1675.0,2099.0,2289.0,2673.0,3387.0,4362.0,4496.0,5048.0,5812.0
Fixed Assets,,557.0,645.0,741.0,842.0,1105.0,1255.0,1314.0,1496.0,1950.0,2299.0,2712.0,2945.0
CWIP,,27.0,15.0,25.0,73.0,81.0,44.0,57.0,123.0,126.0,151.0,116.0,89.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,,582.0,641.0,695.0,759.0,913.0,990.0,1302.0,1768.0,2286.0,2046.0,2220.0,2778.0
Total Assets,,1165.0,1301.0,1462.0,1675.0,2099.0,2289.0,2673.0,3387.0,4362.0,4496.0,5048.0,5812.0
Land,Fixed Assets,79.0,89.0,123.0,142.0,170.0,189.0,222.0,291.0,306.0,414.0,424.0,
Building,Fixed Assets,107.0,122.0,135.0,148.0,225.0,291.0,334.0,403.0,584.0,724.0,994.0,
Plant Machinery,Fixed Assets,264.0,230.0,302.0,416.0,565.0,713.0,801.0,955.0,1120.0,1366.0,1699.0,
Equipments,Fixed Assets,10.0,7.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Computers,Fixed Assets,0.0,0.0,0.0,0.0,14.0,22.0,29.0,34.0,42.0,53.0,65.0,
Furniture n fittings,Fixed Assets,16.0,16.0,19.0,23.0,39.0,48.0,54.0,60.0,71.0,83.0,105.0,
Vehicles,Fixed Assets,6.0,7.0,9.0,11.0,16.0,19.0,20.0,23.0,25.0,36.0,40.0,
Intangible Assets,Fixed Assets,214.0,214.0,232.0,235.0,299.0,300.0,302.0,302.0,496.0,496.0,498.0,406.0
Other fixed assets,Fixed Assets,1.0,3.0,3.0,4.0,5.0,6.0,6.0,7.0,62.0,67.0,67.0,
Gross Block,Fixed Assets,697.0,687.0,830.0,990.0,1332.0,1589.0,1768.0,2074.0,2705.0,3240.0,3893.0,
Accumulated Depreciation,Fixed Assets,140.0,42.0,89.0,148.0,227.0,334.0,453.0,578.0,755.0,940.0,1181.0,
Long term Borrowings,Borrowings,0.0,131.0,122.0,117.0,163.0,0.0,17.0,33.0,32.0,44.0,90.0,83.0
Short term Borrowings,Borrowings,0.0,0.0,40.0,6.0,30.0,0.0,50.0,52.0,46.0,53.0,54.0,70.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,10.0,23.0,89.0,97.0
Other Borrowings,Borrowings,203.0,66.0,67.0,66.0,82.0,191.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,17.0,13.0,12.0,14.0,15.0,17.0,21.0,28.0,248.0,80.0,76.0,0.0
Trade Payables,Other Liabilities,267.0,316.0,287.0,349.0,390.0,475.0,517.0,748.0,800.0,872.0,859.0,1155.0
Advance from Customers,Other Liabilities,2.0,3.0,8.0,4.0,6.0,11.0,11.0,9.0,14.0,12.0,13.0,
Other liability items,Other Liabilities,58.0,64.0,78.0,102.0,136.0,92.0,147.0,167.0,502.0,224.0,250.0,348.0
Inventories,Other Assets,266.0,277.0,272.0,357.0,397.0,540.0,472.0,733.0,875.0,913.0,1011.0,1117.0
Trade receivables,Other Assets,233.0,227.0,338.0,307.0,339.0,228.0,277.0,269.0,354.0,376.0,435.0,475.0
Cash Equivalents,Other Assets,12.0,50.0,18.0,44.0,98.0,130.0,476.0,642.0,682.0,610.0,608.0,943.0
Loans n Advances,Other Assets,16.0,9.0,15.0,16.0,9.0,25.0,31.0,71.0,114.0,51.0,37.0,31.0
Other asset items,Other Assets,56.0,78.0,52.0,36.0,69.0,67.0,46.0,52.0,260.0,96.0,128.0,211.0
