,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,80.0,240.0,223.0,244.0,244.0,244.0,244.0,244.0,731.0,731.0,731.0,731.0
Reserves,,8037.0,9006.0,7512.0,7772.0,8968.0,9828.0,10816.0,12042.0,13131.0,15595.0,19243.0,23257.0
Borrowings,,25.0,28.0,64.0,80.0,34.0,8.0,3.0,53.0,61.0,63.0,61.0,65.0
Other Liabilities,,7587.0,9330.0,9800.0,10868.0,11575.0,14271.0,18430.0,21574.0,21567.0,23136.0,20788.0,20484.0
Total Liabilities,,15729.0,18605.0,17600.0,18965.0,20821.0,24351.0,29492.0,33912.0,35490.0,39524.0,40824.0,44538.0
Fixed Assets,,1073.0,1232.0,1501.0,1839.0,2298.0,2713.0,2652.0,2675.0,2963.0,3035.0,3419.0,4366.0
CWIP,,140.0,430.0,743.0,940.0,849.0,828.0,883.0,1006.0,855.0,894.0,1052.0,486.0
Investments,,0.0,462.0,491.0,937.0,964.0,1110.0,1306.0,1572.0,650.0,682.0,743.0,800.0
Other Assets,,14516.0,16481.0,14865.0,15248.0,16710.0,19700.0,24651.0,28659.0,31022.0,34913.0,35610.0,38886.0
Total Assets,,15729.0,18605.0,17600.0,18965.0,20821.0,24351.0,29492.0,33912.0,35490.0,39524.0,40824.0,44538.0
Land,Fixed Assets,31.0,114.0,122.0,134.0,142.0,344.0,346.0,354.0,354.0,354.0,363.0,
Building,Fixed Assets,342.0,243.0,293.0,414.0,587.0,792.0,855.0,908.0,1021.0,1117.0,1426.0,
Plant Machinery,Fixed Assets,1072.0,468.0,661.0,899.0,1250.0,1482.0,1613.0,1760.0,2047.0,2187.0,2369.0,
Equipments,Fixed Assets,453.0,211.0,224.0,331.0,484.0,538.0,592.0,666.0,776.0,923.0,1128.0,
Furniture n fittings,Fixed Assets,88.0,198.0,381.0,504.0,587.0,670.0,696.0,750.0,791.0,874.0,978.0,
Vehicles,Fixed Assets,11.0,2.0,3.0,5.0,7.0,7.0,9.0,11.0,13.0,14.0,17.0,
Intangible Assets,Fixed Assets,0.0,185.0,186.0,187.0,184.0,184.0,184.0,257.0,387.0,405.0,406.0,885.0
Other fixed assets,Fixed Assets,897.0,1.0,34.0,38.0,67.0,75.0,121.0,127.0,153.0,165.0,182.0,
Gross Block,Fixed Assets,2894.0,1422.0,1902.0,2512.0,3309.0,4092.0,4415.0,4832.0,5541.0,6038.0,6869.0,
Accumulated Depreciation,Fixed Assets,1821.0,190.0,401.0,673.0,1011.0,1380.0,1763.0,2157.0,2578.0,3003.0,3449.0,
Long term Borrowings,Borrowings,0.0,0.0,17.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,25.0,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,3.0,53.0,61.0,63.0,61.0,65.0
Other Borrowings,Borrowings,0.0,0.0,33.0,33.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,6.0,5.0,14.0,13.0,13.0,14.0,15.0,16.0,18.0,18.0,19.0,19.0
Trade Payables,Other Liabilities,1184.0,1162.0,1297.0,1369.0,1434.0,2450.0,3299.0,3369.0,3330.0,3706.0,3339.0,3583.0
Advance from Customers,Other Liabilities,4964.0,6306.0,6078.0,7024.0,0.0,36.0,35.0,14508.0,14823.0,15891.0,13900.0,
Other liability items,Other Liabilities,1433.0,1857.0,2411.0,2462.0,10128.0,11770.0,15080.0,3680.0,3396.0,3520.0,3531.0,16882.0
Inventories,Other Assets,3428.0,4158.0,4885.0,4583.0,4443.0,3961.0,4970.0,5595.0,6450.0,7450.0,9120.0,10176.0
Trade receivables,Other Assets,3805.0,3722.0,4368.0,5014.0,5374.0,6724.0,6562.0,6108.0,7033.0,7392.0,9116.0,12876.0
Cash Equivalents,Other Assets,6038.0,7216.0,3827.0,841.0,972.0,1660.0,5074.0,7564.0,8112.0,11057.0,9545.0,8572.0
Loans n Advances,Other Assets,575.0,304.0,362.0,396.0,415.0,402.0,260.0,271.0,528.0,499.0,403.0,35.0
Other asset items,Other Assets,670.0,1081.0,1422.0,4413.0,5506.0,6953.0,7785.0,9121.0,8900.0,8515.0,7425.0,7228.0
