,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,113.0,113.0,114.0,136.0,136.0,204.0,211.0,230.0,231.0,231.0,244.0,245.0
Reserves,,1244.0,1425.0,1581.0,2151.0,2033.0,2077.0,2137.0,2680.0,3014.0,3285.0,5394.0,6576.0
Borrowings,,1663.0,2459.0,2576.0,3390.0,3785.0,4522.0,5005.0,4906.0,4634.0,5470.0,5464.0,6344.0
Other Liabilities,,1278.0,2000.0,2079.0,2133.0,4845.0,5448.0,6461.0,7285.0,8486.0,8874.0,10973.0,13089.0
Total Liabilities,,4298.0,5997.0,6350.0,7810.0,10800.0,12251.0,13814.0,15101.0,16365.0,17860.0,22076.0,26253.0
Fixed Assets,,1362.0,340.0,1431.0,1805.0,2277.0,2998.0,5020.0,4905.0,4681.0,5747.0,6899.0,8545.0
CWIP,,486.0,1411.0,1564.0,2129.0,2010.0,2097.0,495.0,541.0,740.0,78.0,138.0,216.0
Investments,,34.0,994.0,54.0,236.0,98.0,72.0,89.0,509.0,62.0,50.0,43.0,60.0
Other Assets,,2416.0,3252.0,3302.0,3640.0,6416.0,7083.0,8210.0,9147.0,10882.0,11985.0,14995.0,17433.0
Total Assets,,4298.0,5997.0,6350.0,7810.0,10800.0,12251.0,13814.0,15101.0,16365.0,17860.0,22076.0,26253.0
Land,Fixed Assets,112.73,83.41,111.28,143.17,144.12,194.48,207.21,214.38,213.73,273.73,296.68,
Building,Fixed Assets,1108.86,201.89,308.85,527.53,635.61,721.24,752.04,745.53,736.27,735.8,804.96,
Plant Machinery,Fixed Assets,94.52,28.95,44.8,95.68,109.0,124.85,133.1,134.65,136.97,140.02,153.76,
Equipments,Fixed Assets,26.62,5.67,16.96,35.96,49.06,63.67,69.4,70.33,74.46,76.03,80.6,
Computers,Fixed Assets,9.89,3.04,3.7,9.51,13.71,18.18,21.53,23.53,26.62,29.66,37.85,
Furniture n fittings,Fixed Assets,155.29,34.87,62.05,137.78,172.32,187.26,199.18,199.28,199.05,202.3,224.99,
Vehicles,Fixed Assets,4.84,1.94,2.08,5.59,6.56,6.58,6.58,5.5,6.53,7.33,13.35,
Intangible Assets,Fixed Assets,190.15,7.96,7.96,7.96,7.96,7.96,16.34,16.34,34.64,34.64,34.64,43.05
Other fixed assets,Fixed Assets,11.4,4.71,1097.17,1203.5,1617.38,2364.25,4554.93,4784.56,4822.57,6110.72,7391.83,
Gross Block,Fixed Assets,1714.3,372.44,1654.85,2166.68,2755.72,3688.47,5960.31,6194.1,6250.84,7610.23,9038.66,
Accumulated Depreciation,Fixed Assets,352.38,32.31,224.2,361.86,479.05,690.63,940.43,1288.96,1569.72,1863.65,2139.17,
Long term Borrowings,Borrowings,893.0,1500.0,1588.0,2633.0,3316.0,3867.0,3934.0,4385.0,4193.0,4887.0,4361.0,5268.0
Short term Borrowings,Borrowings,61.0,177.0,229.0,245.0,62.0,44.0,73.0,448.0,355.0,450.0,913.0,842.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,72.0,74.0,86.0,133.0,189.0,234.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,710.0,782.0,759.0,512.0,408.0,611.0,925.0,-0.0,-0.0,-0.0,-0.0,
Non controlling int,Other Liabilities,26.0,124.0,227.0,223.0,188.0,166.0,116.0,-32.0,-101.0,42.0,277.0,704.0
Trade Payables,Other Liabilities,298.0,424.0,516.0,526.0,608.0,500.0,577.0,649.0,735.0,760.0,786.0,882.0
Advance from Customers,Other Liabilities,625.0,803.0,763.0,696.0,270.0,178.0,76.0,128.0,66.0,88.0,37.0,
Other liability items,Other Liabilities,329.0,650.0,572.0,687.0,3779.0,4603.0,5692.0,6540.0,7787.0,7983.0,9873.0,11504.0
Inventories,Other Assets,1544.0,2307.0,2264.0,2179.0,4816.0,5209.0,5902.0,6223.0,7327.0,7736.0,8869.0,11401.0
Trade receivables,Other Assets,15.0,43.0,37.0,177.0,421.0,431.0,527.0,504.0,462.0,500.0,629.0,601.0
Cash Equivalents,Other Assets,83.0,109.0,136.0,147.0,222.0,305.0,559.0,945.0,1478.0,1737.0,3261.0,2685.0
Loans n Advances,Other Assets,95.0,69.0,61.0,127.0,148.0,221.0,258.0,280.0,234.0,263.0,353.0,290.0
Other asset items,Other Assets,678.0,724.0,803.0,1009.0,809.0,918.0,963.0,1195.0,1381.0,1749.0,1883.0,2456.0
