,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,125.0,125.0,125.0,125.0,125.0,125.0,268.0,288.0,305.0,305.0,306.0,315.0
Reserves,,4172.0,4464.0,3977.0,2757.0,2005.0,-2081.0,-352.0,715.0,1485.0,2712.0,3538.0,7655.0
Borrowings,,2092.0,1528.0,1502.0,3041.0,3297.0,2757.0,1484.0,367.0,16.0,17.0,41.0,118.0
Other Liabilities,,5370.0,4831.0,4557.0,4887.0,4883.0,3816.0,2997.0,2852.0,2861.0,2590.0,3528.0,4579.0
Total Liabilities,,11760.0,10949.0,10161.0,10811.0,10311.0,4617.0,4397.0,4222.0,4668.0,5625.0,7413.0,12668.0
Fixed Assets,,4127.0,2588.0,1705.0,2364.0,2050.0,1489.0,1146.0,1081.0,971.0,1059.0,1479.0,2086.0
CWIP,,104.0,90.0,61.0,85.0,91.0,28.0,20.0,35.0,38.0,94.0,386.0,647.0
Investments,,442.0,231.0,209.0,279.0,130.0,2.0,2.0,41.0,1.0,588.0,438.0,453.0
Other Assets,,7088.0,8040.0,8186.0,8083.0,8040.0,3098.0,3229.0,3064.0,3658.0,3884.0,5110.0,9481.0
Total Assets,,11760.0,10949.0,10161.0,10811.0,10311.0,4617.0,4397.0,4222.0,4668.0,5625.0,7413.0,12668.0
Land,Fixed Assets,864.0,451.0,421.0,570.0,314.0,117.0,73.0,73.0,49.0,49.0,75.0,
Building,Fixed Assets,1694.0,786.0,728.0,1137.0,1128.0,873.0,670.0,673.0,647.0,657.0,680.0,
Plant Machinery,Fixed Assets,1974.0,1006.0,1072.0,867.0,931.0,614.0,508.0,536.0,510.0,570.0,626.0,
Equipments,Fixed Assets,113.0,63.0,47.0,32.0,31.0,28.0,23.0,25.0,32.0,38.0,47.0,
Furniture n fittings,Fixed Assets,111.0,81.0,50.0,65.0,65.0,32.0,30.0,30.0,30.0,32.0,33.0,
Vehicles,Fixed Assets,39.0,19.0,17.0,22.0,18.0,18.0,8.0,9.0,10.0,14.0,18.0,
Intangible Assets,Fixed Assets,1940.0,1734.0,649.0,707.0,704.0,761.0,760.0,630.0,612.0,623.0,991.0,864.0
Other fixed assets,Fixed Assets,267.0,101.0,93.0,144.0,145.0,217.0,191.0,191.0,177.0,240.0,296.0,
Gross Block,Fixed Assets,7003.0,4241.0,3077.0,3543.0,3337.0,2659.0,2263.0,2168.0,2068.0,2222.0,2766.0,
Accumulated Depreciation,Fixed Assets,2876.0,1654.0,1373.0,1178.0,1287.0,1170.0,1118.0,1087.0,1097.0,1163.0,1287.0,
Long term Borrowings,Borrowings,1277.0,599.0,504.0,1495.0,1448.0,587.0,836.0,307.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,657.0,692.0,711.0,1243.0,1283.0,1067.0,629.0,45.0,0.0,0.0,0.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,16.0,17.0,41.0,118.0
Other Borrowings,Borrowings,158.0,237.0,288.0,304.0,567.0,1103.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,10.0,8.0,8.0,39.0,55.0,0.0,0.0,1.0,1.0,1.0,194.0,228.0
Trade Payables,Other Liabilities,2055.0,1303.0,1383.0,1870.0,2314.0,1302.0,1035.0,1149.0,1244.0,1484.0,1870.0,2468.0
Advance from Customers,Other Liabilities,636.0,294.0,447.0,1156.0,1071.0,845.0,753.0,763.0,198.0,319.0,410.0,
Other liability items,Other Liabilities,2670.0,3227.0,2718.0,1822.0,1442.0,1669.0,1210.0,939.0,1418.0,786.0,1054.0,1883.0
Inventories,Other Assets,1300.0,585.0,882.0,1226.0,1193.0,384.0,428.0,512.0,541.0,751.0,1137.0,1584.0
Trade receivables,Other Assets,3088.0,2077.0,1877.0,2400.0,1696.0,522.0,587.0,944.0,1297.0,1534.0,2009.0,2924.0
Cash Equivalents,Other Assets,683.0,797.0,761.0,427.0,271.0,242.0,534.0,488.0,705.0,854.0,1259.0,1028.0
Loans n Advances,Other Assets,359.0,292.0,796.0,157.0,103.0,165.0,195.0,141.0,51.0,73.0,79.0,1403.0
Other asset items,Other Assets,1658.0,4289.0,3871.0,3873.0,4778.0,1784.0,1486.0,980.0,1064.0,672.0,626.0,2543.0
