,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,414.0,416.0,416.0,416.0,416.0,416.0,416.0,416.0,416.0,401.0,401.0,401.0
Reserves,,1837.0,1451.0,1707.0,2089.0,2467.0,3123.0,4833.0,5983.0,6652.0,6873.0,8327.0,10007.0
Borrowings,,4089.0,5317.0,4619.0,6079.0,9045.0,10113.0,3936.0,4337.0,3358.0,1874.0,99.0,1068.0
Other Liabilities,,1298.0,939.0,1315.0,877.0,1997.0,880.0,1062.0,2553.0,2344.0,2361.0,2580.0,2927.0
Total Liabilities,,7638.0,8123.0,8057.0,9462.0,13925.0,14533.0,10247.0,13289.0,12770.0,11509.0,11407.0,14402.0
Fixed Assets,,2948.0,1793.0,1162.0,1234.0,6905.0,6701.0,6480.0,6358.0,6262.0,6423.0,6221.0,6110.0
CWIP,,119.0,639.0,1712.0,4135.0,121.0,85.0,161.0,157.0,103.0,184.0,650.0,1389.0
Investments,,30.0,211.0,174.0,207.0,300.0,217.0,298.0,559.0,2377.0,2431.0,1372.0,1081.0
Other Assets,,4541.0,5480.0,5009.0,3886.0,6598.0,7529.0,3308.0,6215.0,4028.0,2471.0,3164.0,5823.0
Total Assets,,7638.0,8123.0,8057.0,9462.0,13925.0,14533.0,10247.0,13289.0,12770.0,11509.0,11407.0,14402.0
Land,Fixed Assets,13.3,8.63,8.63,8.63,4.5,5.5,10.05,10.05,12.11,12.12,13.09,
Building,Fixed Assets,281.05,98.55,101.02,103.59,732.72,765.07,762.67,798.11,805.51,838.57,866.8,
Plant Machinery,Fixed Assets,3575.9,935.02,1082.34,1202.31,6352.11,6434.29,6485.92,6581.67,6741.92,7140.69,7212.12,
Ships Vessels,Fixed Assets,2018.74,875.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Equipments,Fixed Assets,162.43,18.76,25.96,27.99,41.51,42.54,48.05,54.27,59.33,75.44,79.81,
Furniture n fittings,Fixed Assets,21.96,5.8,6.13,2.94,4.42,5.06,5.3,6.15,7.89,9.15,10.81,
Railway sidings,Fixed Assets,22.05,3.94,3.93,3.93,8.09,8.15,8.15,8.11,13.66,13.74,13.71,
Vehicles,Fixed Assets,11.2,14.61,15.14,15.5,16.38,17.24,18.93,20.86,22.51,23.69,25.63,
Intangible Assets,Fixed Assets,432.62,259.24,241.73,241.9,243.98,207.83,207.83,207.83,207.83,207.83,207.83,7.71
Other fixed assets,Fixed Assets,212.84,46.65,68.34,93.32,113.32,34.78,34.62,36.8,48.82,53.33,53.6,
Gross Block,Fixed Assets,6752.09,2267.05,1553.22,1700.11,7517.03,7520.46,7581.52,7723.85,7919.58,8374.56,8483.4,
Accumulated Depreciation,Fixed Assets,3803.81,474.13,391.2,466.24,611.85,819.43,1101.68,1366.18,1657.19,1951.92,2262.21,
Long term Borrowings,Borrowings,782.0,1073.0,1432.0,3516.0,4414.0,4392.0,3147.0,2471.0,1820.0,1144.0,82.0,91.0
Short term Borrowings,Borrowings,3018.0,3921.0,3186.0,2563.0,4280.0,4994.0,772.0,1852.0,1515.0,709.0,0.0,963.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,21.0,18.0,14.0,23.0,20.0,16.0,13.0
Preference Capital,Borrowings,0.0,0.0,0.0,360.0,382.0,417.0,70.0,73.0,79.0,80.0,82.0,0.0
Other Borrowings,Borrowings,290.0,324.0,1.0,-359.0,-30.0,288.0,-70.0,-73.0,-79.0,-80.0,-82.0,
Non controlling int,Other Liabilities,55.0,-77.0,-83.0,-87.0,-98.0,-108.0,-13.0,-13.0,-15.0,-15.0,-16.0,-18.0
Trade Payables,Other Liabilities,355.0,449.0,241.0,303.0,988.0,542.0,389.0,1500.0,1212.0,794.0,630.0,936.0
Advance from Customers,Other Liabilities,43.0,7.0,5.0,10.0,7.0,17.0,29.0,109.0,40.0,62.0,64.0,
Other liability items,Other Liabilities,845.0,560.0,1151.0,651.0,1099.0,430.0,656.0,957.0,1107.0,1521.0,1902.0,2009.0
Inventories,Other Assets,739.0,868.0,849.0,795.0,1323.0,1136.0,789.0,3123.0,1374.0,1255.0,1802.0,2280.0
Trade receivables,Other Assets,3171.0,3861.0,3036.0,2535.0,4827.0,5563.0,1175.0,2151.0,1760.0,192.0,368.0,2075.0
Cash Equivalents,Other Assets,204.0,54.0,132.0,78.0,81.0,168.0,907.0,554.0,58.0,133.0,236.0,557.0
Loans n Advances,Other Assets,120.0,34.0,53.0,47.0,-9.0,-1.0,-16.0,-7.0,38.0,33.0,37.0,61.0
Other asset items,Other Assets,307.0,662.0,938.0,432.0,376.0,665.0,452.0,394.0,798.0,859.0,720.0,850.0
