,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0,647.0
Reserves,,-1499.0,-1957.0,-2159.0,-2286.0,-2119.0,-1138.0,-827.0,15.0,627.0,711.0,724.0,728.0
Borrowings,,1119.0,1856.0,2402.0,2278.0,2274.0,1821.0,1822.0,1838.0,1842.0,1810.0,1805.0,3837.0
Other Liabilities,,1451.0,1174.0,715.0,1215.0,1547.0,1316.0,1756.0,2276.0,2379.0,2682.0,2860.0,1466.0
Total Liabilities,,1718.0,1720.0,1605.0,1854.0,2348.0,2646.0,3399.0,4775.0,5494.0,5850.0,6036.0,6677.0
Fixed Assets,,330.0,314.0,297.0,295.0,296.0,299.0,286.0,816.0,814.0,827.0,951.0,948.0
CWIP,,25.0,22.0,25.0,18.0,18.0,39.0,55.0,43.0,105.0,224.0,216.0,243.0
Investments,,4.0,4.0,46.0,59.0,69.0,78.0,86.0,98.0,113.0,130.0,158.0,158.0
Other Assets,,1359.0,1381.0,1238.0,1482.0,1966.0,2229.0,2972.0,3819.0,4463.0,4669.0,4710.0,5328.0
Total Assets,,1718.0,1720.0,1605.0,1854.0,2348.0,2646.0,3399.0,4775.0,5494.0,5850.0,6036.0,6677.0
Land,Fixed Assets,18.55,18.55,17.45,17.07,17.07,15.96,15.96,495.52,495.59,534.02,534.02,
Building,Fixed Assets,90.14,90.38,16.7,16.7,17.32,21.38,23.81,23.84,23.84,24.0,23.82,
Plant Machinery,Fixed Assets,1373.64,1377.7,242.39,252.22,273.3,285.93,296.0,369.67,393.41,429.51,588.32,
Equipments,Fixed Assets,12.18,12.09,1.28,3.2,3.54,7.29,7.74,9.93,10.91,11.56,12.3,
Furniture n fittings,Fixed Assets,4.81,4.81,0.34,0.34,0.34,0.37,0.38,0.58,0.68,0.75,0.94,
Railway sidings,Fixed Assets,3.12,3.12,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,
Vehicles,Fixed Assets,4.17,4.17,0.66,0.78,0.78,1.49,3.75,3.78,3.72,3.64,4.04,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
Other fixed assets,Fixed Assets,20.05,19.71,42.8,43.23,44.92,46.43,44.2,45.63,46.17,10.36,10.66,
Gross Block,Fixed Assets,1526.66,1530.53,321.78,333.7,357.43,379.01,392.0,949.11,974.48,1014.0,1174.26,
Accumulated Depreciation,Fixed Assets,1196.72,1216.43,24.98,38.98,61.88,79.78,106.26,133.45,160.7,186.87,223.3,
Long term Borrowings,Borrowings,202.0,1668.0,1770.0,1770.0,1796.0,906.0,15.0,10.0,5.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,792.0,183.0,632.0,507.0,478.0,25.0,1776.0,1795.0,1804.0,1776.0,1770.0,3802.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,31.0,32.0,33.0,35.0,34.0,34.0
Other Borrowings,Borrowings,126.0,4.0,-0.0,0.0,0.0,890.0,0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,724.0,577.0,321.0,423.0,419.0,211.0,374.0,578.0,378.0,484.0,467.0,935.0
Advance from Customers,Other Liabilities,69.0,48.0,28.0,38.0,20.0,19.0,38.0,39.0,44.0,57.0,47.0,
Other liability items,Other Liabilities,658.0,549.0,367.0,754.0,1108.0,1086.0,1344.0,1658.0,1957.0,2141.0,2346.0,530.0
Inventories,Other Assets,589.0,428.0,467.0,517.0,686.0,597.0,550.0,698.0,1038.0,1196.0,999.0,1218.0
Trade receivables,Other Assets,10.0,11.0,506.0,364.0,405.0,390.0,104.0,175.0,479.0,158.0,283.0,561.0
Cash Equivalents,Other Assets,89.0,58.0,52.0,64.0,75.0,667.0,1667.0,1876.0,2388.0,2679.0,2777.0,2222.0
Loans n Advances,Other Assets,-35.0,-43.0,8.0,9.0,16.0,22.0,20.0,14.0,-255.0,-332.0,-377.0,518.0
Other asset items,Other Assets,707.0,926.0,205.0,528.0,784.0,554.0,631.0,1056.0,814.0,967.0,1027.0,809.0
