,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Reserves,,4756.0,3499.0,3705.0,3482.0,4244.0,5510.0,5925.0,7242.0,7855.0
Borrowings,,2000.0,968.0,1718.0,1581.0,1556.0,1515.0,2096.0,2080.0,2290.0
Other Liabilities,,2986.0,441.0,634.0,895.0,1067.0,1335.0,1201.0,1270.0,1727.0
Total Liabilities,,9753.0,4919.0,6067.0,5969.0,6878.0,8371.0,9233.0,10602.0,11883.0
Fixed Assets,,3813.0,2305.0,2414.0,2367.0,2514.0,3111.0,4264.0,4285.0,4831.0
CWIP,,724.0,229.0,318.0,400.0,680.0,1158.0,1128.0,1568.0,1890.0
Investments,,524.0,342.0,259.0,88.0,20.0,1.0,1.0,289.0,278.0
Other Assets,,4691.0,2042.0,3076.0,3114.0,3665.0,4101.0,3840.0,4460.0,4884.0
Total Assets,,9753.0,4919.0,6067.0,5969.0,6878.0,8371.0,9233.0,10602.0,11883.0
Land,Fixed Assets,45.0,0.0,45.0,44.0,45.0,99.0,106.0,129.0,
Building,Fixed Assets,851.0,247.0,290.0,323.0,352.0,407.0,772.0,847.0,
Plant Machinery,Fixed Assets,3405.0,2559.0,2763.0,2853.0,3171.0,3874.0,4911.0,4933.0,
Equipments,Fixed Assets,69.0,13.0,16.0,17.0,20.0,24.0,30.0,43.0,
Furniture n fittings,Fixed Assets,122.0,11.0,11.0,12.0,12.0,14.0,21.0,21.0,
Vehicles,Fixed Assets,7.0,3.0,3.0,5.0,8.0,8.0,18.0,21.0,
Intangible Assets,Fixed Assets,112.0,52.0,52.0,52.0,59.0,23.0,52.0,58.0,139.0
Other fixed assets,Fixed Assets,50.0,31.0,32.0,33.0,15.0,63.0,38.0,78.0,
Gross Block,Fixed Assets,4662.0,2916.0,3211.0,3339.0,3680.0,4511.0,5948.0,6130.0,
Accumulated Depreciation,Fixed Assets,848.0,611.0,797.0,972.0,1167.0,1400.0,1684.0,1845.0,
Long term Borrowings,Borrowings,595.0,186.0,479.0,392.0,435.0,183.0,373.0,397.0,566.0
Short term Borrowings,Borrowings,1073.0,705.0,1042.0,1018.0,1117.0,1295.0,1623.0,1591.0,1633.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,3.0,37.0,100.0,92.0,91.0
Other Borrowings,Borrowings,332.0,77.0,197.0,170.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,1193.0,-3.0,-11.0,-14.0,-25.0,0.0,0.0,46.0,47.0
Trade Payables,Other Liabilities,842.0,232.0,367.0,339.0,513.0,691.0,519.0,605.0,552.0
Advance from Customers,Other Liabilities,185.0,3.0,10.0,8.0,6.0,4.0,4.0,3.0,
Other liability items,Other Liabilities,766.0,209.0,268.0,563.0,573.0,640.0,678.0,615.0,1128.0
Inventories,Other Assets,1314.0,642.0,813.0,864.0,947.0,1485.0,1571.0,1820.0,1933.0
Trade receivables,Other Assets,1944.0,574.0,565.0,667.0,778.0,1107.0,845.0,1197.0,1282.0
Cash Equivalents,Other Assets,195.0,41.0,17.0,22.0,153.0,161.0,198.0,222.0,350.0
Loans n Advances,Other Assets,274.0,102.0,432.0,248.0,355.0,412.0,414.0,331.0,45.0
Other asset items,Other Assets,964.0,683.0,1250.0,1313.0,1431.0,936.0,811.0,890.0,1274.0
