,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,34.0,34.0,34.0,68.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
Reserves,,4277.0,4233.0,5268.0,6190.0,7165.0,7796.0,9337.0,11454.0,13692.0,12496.0,11897.0,12551.0
Borrowings,,2717.0,2891.0,4001.0,3508.0,3382.0,3575.0,1864.0,1704.0,1130.0,3222.0,4009.0,4416.0
Other Liabilities,,2097.0,2521.0,3637.0,4098.0,3445.0,3407.0,2941.0,2822.0,2513.0,2571.0,3289.0,4265.0
Total Liabilities,,9125.0,9679.0,12940.0,13864.0,14094.0,14880.0,14244.0,16082.0,17437.0,18392.0,19298.0,21334.0
Fixed Assets,,5551.0,5931.0,8083.0,8315.0,8670.0,9231.0,8905.0,9219.0,9934.0,10440.0,10676.0,12565.0
CWIP,,225.0,44.0,97.0,84.0,52.0,57.0,57.0,116.0,45.0,83.0,464.0,220.0
Investments,,186.0,190.0,934.0,997.0,516.0,672.0,679.0,1015.0,3029.0,3504.0,3645.0,2767.0
Other Assets,,3164.0,3514.0,3826.0,4468.0,4855.0,4920.0,4602.0,5731.0,4429.0,4365.0,4513.0,5782.0
Total Assets,,9125.0,9679.0,12940.0,13864.0,14094.0,14880.0,14244.0,16082.0,17437.0,18392.0,19298.0,21334.0
Land,Fixed Assets,54.0,86.0,108.0,118.0,147.0,146.0,144.0,147.0,145.0,157.0,154.0,
Building,Fixed Assets,249.0,390.0,430.0,537.0,627.0,699.0,757.0,812.0,854.0,791.0,760.0,
Plant Machinery,Fixed Assets,547.0,343.0,435.0,517.0,634.0,713.0,809.0,942.0,1178.0,1186.0,1260.0,
Ships Vessels,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,17.0,0.0,
Equipments,Fixed Assets,19.0,14.0,17.0,24.0,30.0,33.0,36.0,41.0,51.0,47.0,47.0,
Computers,Fixed Assets,34.0,24.0,38.0,47.0,55.0,59.0,64.0,75.0,78.0,67.0,80.0,
Furniture n fittings,Fixed Assets,29.0,21.0,25.0,32.0,35.0,35.0,37.0,36.0,35.0,30.0,30.0,
Vehicles,Fixed Assets,49.0,41.0,47.0,47.0,48.0,44.0,60.0,65.0,63.0,31.0,38.0,
Intangible Assets,Fixed Assets,5285.0,5050.0,7123.0,7245.0,7433.0,8036.0,7753.0,8083.0,8687.0,10696.0,10872.0,10215.0
Other fixed assets,Fixed Assets,67.0,55.0,67.0,107.0,119.0,126.0,130.0,144.0,145.0,151.0,262.0,
Gross Block,Fixed Assets,6333.0,6024.0,8291.0,8674.0,9127.0,9892.0,9791.0,10347.0,11248.0,13172.0,13504.0,
Accumulated Depreciation,Fixed Assets,782.0,93.0,208.0,359.0,457.0,661.0,886.0,1127.0,1315.0,2732.0,2828.0,
Long term Borrowings,Borrowings,2023.0,2449.0,3108.0,2380.0,2605.0,2145.0,480.0,381.0,189.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,147.0,182.0,233.0,154.0,271.0,519.0,1288.0,1227.0,845.0,3155.0,3883.0,4136.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,57.0,96.0,97.0,96.0,68.0,122.0,280.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Other Borrowings,Borrowings,547.0,260.0,660.0,973.0,506.0,855.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,162.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,1088.0,1485.0,1724.0,2353.0,2540.0,2480.0,2012.0,2163.0,1823.0,1675.0,2142.0,2302.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,0.0,0.0,25.0,27.0,30.0,38.0,30.0,27.0,
Other liability items,Other Liabilities,847.0,1026.0,1913.0,1745.0,905.0,901.0,901.0,629.0,652.0,865.0,1120.0,1963.0
Inventories,Other Assets,1072.0,1307.0,1412.0,1578.0,1559.0,1703.0,1716.0,2130.0,1537.0,1271.0,1419.0,1659.0
Trade receivables,Other Assets,805.0,1118.0,1029.0,1246.0,1293.0,1157.0,1004.0,1116.0,1245.0,1535.0,1819.0,1837.0
Cash Equivalents,Other Assets,894.0,754.0,913.0,960.0,895.0,770.0,672.0,1108.0,391.0,547.0,483.0,1005.0
Loans n Advances,Other Assets,-0.0,-1.0,-2.0,-2.0,-1.0,-0.0,-2.0,-1.0,-1.0,-2.0,-6.0,47.0
Other asset items,Other Assets,394.0,336.0,474.0,686.0,1110.0,1290.0,1211.0,1378.0,1257.0,1014.0,798.0,1233.0
