,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,92.0,93.0,93.0,131.0,132.0,132.0,132.0,132.0,132.0,133.0,136.0,136.0
Reserves,,23048.0,27336.0,31294.0,57230.0,57888.0,56501.0,65362.0,75567.0,78610.0,88520.0,97373.0,103334.0
Borrowings,,11930.0,12505.0,9213.0,67070.0,84487.0,84777.0,79078.0,74744.0,103039.0,137155.0,186326.0,227853.0
Other Liabilities,,18963.0,19642.0,22147.0,83467.0,98620.0,102772.0,122777.0,138706.0,155042.0,186309.0,216206.0,238232.0
Total Liabilities,,54033.0,59576.0,62747.0,207899.0,241127.0,244181.0,267349.0,289149.0,336823.0,412116.0,500040.0,569555.0
Fixed Assets,,31828.0,34271.0,34786.0,69257.0,87129.0,87736.0,85023.0,88996.0,94896.0,100494.0,141148.0,150040.0
CWIP,,2755.0,1788.0,1297.0,2290.0,2766.0,3904.0,5769.0,6615.0,7778.0,18358.0,14765.0,15877.0
Investments,,7255.0,10601.0,14200.0,65995.0,62747.0,66337.0,88017.0,96766.0,105355.0,129306.0,140496.0,114564.0
Other Assets,,12194.0,12916.0,12464.0,70356.0,88484.0,86204.0,88540.0,96771.0,128793.0,163959.0,203632.0,289074.0
Total Assets,,54033.0,59576.0,62747.0,207899.0,241127.0,244181.0,267349.0,289149.0,336823.0,412116.0,500040.0,569555.0
Land,Fixed Assets,3663.0,3965.0,4122.0,7586.0,8842.0,9341.0,9290.0,10078.0,10850.0,11512.0,22334.0,
Building,Fixed Assets,3865.0,3469.0,3794.0,5899.0,6862.0,8050.0,8280.0,9300.0,10147.0,11330.0,15760.0,
Plant Machinery,Fixed Assets,33592.0,24790.0,26356.0,36733.0,47106.0,50198.0,50610.0,56252.0,64129.0,71780.0,96124.0,
Ships Vessels,Fixed Assets,0.0,0.0,0.0,0.0,0.0,717.0,830.0,719.0,793.0,801.0,792.0,
Equipments,Fixed Assets,324.0,141.0,170.0,272.0,368.0,448.0,490.0,651.0,758.0,913.0,1136.0,
Computers,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,22.0,
Furniture n fittings,Fixed Assets,203.0,84.0,103.0,144.0,194.0,211.0,213.0,230.0,256.0,315.0,441.0,
Railway sidings,Fixed Assets,542.0,414.0,460.0,673.0,909.0,926.0,979.0,1011.0,1033.0,1114.0,1331.0,
Vehicles,Fixed Assets,415.0,137.0,159.0,233.0,273.0,300.0,304.0,347.0,420.0,557.0,760.0,
Intangible Assets,Fixed Assets,3286.0,3041.0,3033.0,18810.0,24128.0,22885.0,22724.0,22803.0,22882.0,22043.0,23483.0,34497.0
Other fixed assets,Fixed Assets,214.0,373.0,475.0,5431.0,8384.0,8514.0,8720.0,8941.0,9170.0,10358.0,14871.0,
Gross Block,Fixed Assets,46105.0,36415.0,38672.0,75780.0,97066.0,101591.0,102442.0,110332.0,120450.0,130740.0,177054.0,
Accumulated Depreciation,Fixed Assets,14277.0,2145.0,3886.0,6523.0,9937.0,13855.0,17419.0,21336.0,25554.0,30246.0,35907.0,
Long term Borrowings,Borrowings,6384.0,5544.0,6769.0,40793.0,55587.0,58738.0,52488.0,46546.0,66712.0,86116.0,123927.0,156829.0
Short term Borrowings,Borrowings,3071.0,3479.0,1158.0,20520.0,17434.0,12109.0,24921.0,26641.0,34635.0,48986.0,59722.0,68119.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,1564.0,1669.0,1558.0,1691.0,2053.0,2677.0,2905.0
Preference Capital,Borrowings,0.0,0.0,0.0,56.0,69.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0
Other Borrowings,Borrowings,2474.0,3482.0,1286.0,5700.0,11397.0,12355.0,-11.0,-11.0,-11.0,-11.0,-11.0,
Non controlling int,Other Liabilities,7682.0,8729.0,9702.0,26337.0,30503.0,34305.0,37068.0,40476.0,44171.0,50286.0,60304.0,66395.0
Trade Payables,Other Liabilities,2352.0,2396.0,3048.0,5030.0,6084.0,6583.0,7917.0,11393.0,13353.0,15357.0,15438.0,18041.0
Advance from Customers,Other Liabilities,206.0,202.0,254.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,8723.0,8316.0,9143.0,51513.0,62034.0,61884.0,77793.0,86836.0,97518.0,120666.0,140464.0,153795.0
Inventories,Other Assets,4788.0,4149.0,4231.0,5860.0,7059.0,6841.0,6197.0,9536.0,11159.0,13545.0,15614.0,15429.0
Trade receivables,Other Assets,2647.0,3002.0,3010.0,5203.0,6690.0,5793.0,4342.0,5429.0,5915.0,6979.0,9159.0,10970.0
Cash Equivalents,Other Assets,440.0,2307.0,2307.0,1316.0,1908.0,3804.0,5337.0,3253.0,3713.0,4649.0,7905.0,6188.0
Loans n Advances,Other Assets,118.0,465.0,680.0,14156.0,17990.0,14856.0,15413.0,15390.0,23864.0,32858.0,33250.0,233163.0
Other asset items,Other Assets,4201.0,2994.0,2236.0,43822.0,54837.0,54911.0,57251.0,63163.0,84142.0,105928.0,137704.0,23325.0
