,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,124.0,124.0,124.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0
Reserves,,883.0,1013.0,959.0,907.0,924.0,926.0,1023.0,1143.0,1299.0,1559.0,1965.0,2512.0
Borrowings,,0.0,0.0,25.0,0.0,0.0,0.0,4.0,11.0,312.0,66.0,10.0,37.0
Other Liabilities,,2994.0,3317.0,3458.0,3302.0,3152.0,4355.0,5656.0,6374.0,9057.0,8524.0,8274.0,7973.0
Total Liabilities,,4001.0,4454.0,4567.0,4323.0,4191.0,5395.0,6797.0,7643.0,10783.0,10263.0,10362.0,10636.0
Fixed Assets,,366.0,344.0,358.0,389.0,302.0,304.0,340.0,501.0,508.0,493.0,515.0,584.0
CWIP,,11.0,22.0,23.0,16.0,34.0,52.0,151.0,10.0,6.0,25.0,28.0,16.0
Investments,,0.0,0.0,0.0,0.0,2.0,54.0,826.0,197.0,234.0,0.0,0.0,0.0
Other Assets,,3624.0,4088.0,4185.0,3918.0,3852.0,4986.0,5480.0,6936.0,10036.0,9746.0,9819.0,10036.0
Total Assets,,4001.0,4454.0,4567.0,4323.0,4191.0,5395.0,6797.0,7643.0,10783.0,10263.0,10362.0,10636.0
Land,Fixed Assets,51.26,51.26,51.26,51.26,51.26,57.59,57.59,58.84,58.84,58.84,58.84,
Building,Fixed Assets,42.29,42.29,21.82,51.77,65.19,76.25,110.49,114.88,121.74,126.09,144.64,
Plant Machinery,Fixed Assets,235.84,237.07,167.9,217.59,123.85,128.94,131.1,299.2,304.82,312.89,326.33,
Ships Vessels,Fixed Assets,0.75,0.75,0.61,0.61,0.61,1.17,1.17,1.17,1.17,1.17,1.17,
Equipments,Fixed Assets,2.64,2.5,3.45,3.63,3.87,4.08,6.97,7.39,7.44,7.74,8.21,
Computers,Fixed Assets,20.75,21.17,6.92,15.06,18.29,19.65,25.56,30.18,36.59,40.65,41.99,
Furniture n fittings,Fixed Assets,19.48,20.04,6.96,13.35,13.84,17.11,30.35,35.28,36.11,40.07,44.92,
Vehicles,Fixed Assets,1.55,1.43,0.55,106.18,109.1,111.13,115.06,119.19,137.56,139.49,151.95,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.05
Other fixed assets,Fixed Assets,189.25,189.89,153.16,12.88,13.58,14.89,17.85,20.9,25.43,27.27,38.13,
Gross Block,Fixed Assets,563.81,566.4,412.63,472.33,399.59,430.81,496.14,687.03,729.7,754.21,816.18,
Accumulated Depreciation,Fixed Assets,198.07,222.7,54.29,83.16,97.33,127.12,155.94,186.37,222.09,261.64,301.02,
Long term Borrowings,Borrowings,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,301.17,55.58,0.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,3.69,11.21,10.93,10.09,9.67,37.39
Other Borrowings,Borrowings,-21.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.01,0.0,0.0,
Trade Payables,Other Liabilities,508.0,529.0,368.0,689.0,370.0,547.0,783.0,412.0,1174.0,992.0,1151.0,1828.0
Advance from Customers,Other Liabilities,2215.0,2630.0,2862.0,2352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,271.0,158.0,228.0,261.0,2782.0,3808.0,4873.0,5963.0,7883.0,7531.0,7122.0,6145.0
Inventories,Other Assets,841.0,655.0,486.0,517.0,350.0,452.0,802.0,1184.0,2925.0,3996.0,3561.0,3402.0
Trade receivables,Other Assets,159.0,154.0,199.0,202.0,220.0,535.0,178.0,151.0,51.0,194.0,259.0,1221.0
Cash Equivalents,Other Assets,1734.0,1852.0,1620.0,1022.0,1989.0,2611.0,2281.0,2558.0,4328.0,3720.0,3732.0,3388.0
Loans n Advances,Other Assets,175.0,130.0,249.0,271.0,427.0,811.0,1122.0,1282.0,1520.0,367.0,566.0,221.0
Other asset items,Other Assets,715.0,1297.0,1631.0,1906.0,866.0,577.0,1097.0,1761.0,1211.0,1469.0,1702.0,1804.0
