,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,25.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
Reserves,,539.0,584.0,701.0,724.0,739.0,745.0,754.0,838.0,924.0,1193.0,1455.0,2187.0
Borrowings,,686.0,549.0,479.0,366.0,232.0,161.0,70.0,63.0,86.0,67.0,74.0,67.0
Other Liabilities,,311.0,277.0,258.0,224.0,162.0,169.0,184.0,204.0,257.0,366.0,422.0,661.0
Total Liabilities,,1562.0,1435.0,1467.0,1342.0,1161.0,1103.0,1036.0,1133.0,1294.0,1654.0,1980.0,2942.0
Fixed Assets,,456.0,415.0,417.0,363.0,321.0,304.0,279.0,265.0,320.0,354.0,397.0,441.0
CWIP,,49.0,48.0,33.0,26.0,37.0,27.0,43.0,81.0,50.0,20.0,68.0,127.0
Investments,,2.0,8.0,8.0,5.0,5.0,6.0,7.0,8.0,9.0,108.0,290.0,402.0
Other Assets,,1054.0,964.0,1008.0,947.0,797.0,766.0,707.0,779.0,915.0,1171.0,1225.0,1972.0
Total Assets,,1562.0,1435.0,1467.0,1342.0,1161.0,1103.0,1036.0,1133.0,1294.0,1654.0,1980.0,2942.0
Land,Fixed Assets,41.04,40.13,41.1,40.52,38.04,36.47,36.31,40.47,38.61,38.49,52.04,
Building,Fixed Assets,189.28,190.88,202.64,198.95,183.85,166.42,167.61,158.02,179.56,189.42,200.9,
Plant Machinery,Fixed Assets,429.51,433.97,459.34,461.29,451.4,441.1,406.22,380.24,409.7,440.61,482.27,
Equipments,Fixed Assets,19.98,20.14,22.4,22.97,19.19,18.83,17.13,22.31,23.74,34.28,45.49,
Furniture n fittings,Fixed Assets,8.2,8.35,8.53,7.96,6.11,4.98,5.18,5.69,9.04,9.75,11.7,
Vehicles,Fixed Assets,13.25,11.99,12.32,11.14,9.25,8.97,8.94,10.93,11.94,16.85,17.12,
Intangible Assets,Fixed Assets,14.18,41.0,9.21,10.26,10.26,10.26,10.26,10.26,16.69,20.22,20.22,1.9
Other fixed assets,Fixed Assets,39.84,11.5,45.22,47.44,30.57,57.64,58.03,65.58,66.62,66.94,67.26,
Gross Block,Fixed Assets,755.28,757.96,800.76,800.53,748.67,744.67,709.68,693.5,755.9,816.56,897.0,
Accumulated Depreciation,Fixed Assets,298.88,342.55,383.87,437.1,427.97,440.97,430.67,428.99,435.5,462.32,500.37,
Long term Borrowings,Borrowings,201.46,106.8,28.12,5.79,7.39,0.75,10.53,27.66,39.3,22.96,5.88,4.04
Short term Borrowings,Borrowings,426.67,415.49,430.09,338.2,208.51,139.59,47.78,22.5,38.35,36.36,48.85,39.95
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,10.85,11.64,12.45,8.37,8.14,19.56,22.88
Other Borrowings,Borrowings,58.33,26.61,20.82,22.29,16.2,9.77,-0.01,0.0,0.0,0.0,0.01,
Non controlling int,Other Liabilities,0.0,-1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0,-1.0
Trade Payables,Other Liabilities,185.0,165.0,164.0,126.0,76.0,78.0,67.0,88.0,98.0,130.0,181.0,185.0
Advance from Customers,Other Liabilities,42.0,32.0,20.0,12.0,12.0,13.0,11.0,19.0,24.0,49.0,56.0,
Other liability items,Other Liabilities,83.0,82.0,76.0,88.0,74.0,78.0,106.0,98.0,134.0,187.0,186.0,476.0
Inventories,Other Assets,518.0,396.0,408.0,367.0,325.0,304.0,290.0,307.0,336.0,433.0,534.0,562.0
Trade receivables,Other Assets,394.0,427.0,471.0,453.0,363.0,305.0,254.0,293.0,312.0,352.0,373.0,646.0
Cash Equivalents,Other Assets,48.0,34.0,26.0,20.0,33.0,75.0,68.0,105.0,146.0,235.0,143.0,552.0
Loans n Advances,Other Assets,39.0,12.0,34.0,28.0,17.0,24.0,17.0,24.0,60.0,24.0,27.0,81.0
Other asset items,Other Assets,56.0,95.0,70.0,79.0,59.0,58.0,78.0,50.0,60.0,128.0,148.0,131.0
