,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,58.0,61.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
Reserves,,5332.0,5061.0,5322.0,5432.0,6218.0,6700.0,6919.0,7300.0,7857.0,10029.0,11347.0,12510.0
Borrowings,,8102.0,7547.0,6222.0,6311.0,5692.0,5649.0,5335.0,6031.0,4961.0,5761.0,4859.0,4691.0
Other Liabilities,,2507.0,1676.0,1248.0,1389.0,2807.0,2669.0,3497.0,3048.0,5001.0,4824.0,4395.0,4307.0
Total Liabilities,,15999.0,14346.0,12856.0,13197.0,14781.0,15082.0,15815.0,16443.0,17883.0,20679.0,20665.0,21572.0
Fixed Assets,,8239.0,7977.0,7455.0,7120.0,7163.0,7491.0,7316.0,7357.0,7484.0,8853.0,9341.0,10409.0
CWIP,,531.0,254.0,102.0,126.0,260.0,423.0,404.0,293.0,300.0,632.0,641.0,453.0
Investments,,309.0,154.0,119.0,110.0,190.0,129.0,198.0,224.0,175.0,178.0,168.0,105.0
Other Assets,,6921.0,5961.0,5180.0,5840.0,7169.0,7039.0,7898.0,8570.0,9924.0,11016.0,10516.0,10606.0
Total Assets,,15999.0,14346.0,12856.0,13197.0,14781.0,15082.0,15815.0,16443.0,17883.0,20679.0,20665.0,21572.0
Land,Fixed Assets,1194.0,1064.0,1064.0,1082.0,1104.0,1253.0,1248.0,1258.0,1302.0,1363.0,1416.0,1888.0
Building,Fixed Assets,1360.0,1300.0,1073.0,1093.0,1147.0,1298.0,1341.0,1525.0,1553.0,1845.0,1831.0,2012.0
Plant Machinery,Fixed Assets,5525.0,5730.0,5591.0,5738.0,6056.0,6512.0,6657.0,6923.0,7368.0,8864.0,9753.0,10795.0
Ships Vessels,Fixed Assets,178.0,206.0,406.0,173.0,173.0,173.0,173.0,173.0,0.0,0.0,240.0,240.0
Equipments,Fixed Assets,19.0,20.0,36.0,42.0,54.0,65.0,69.0,76.0,83.0,91.0,101.0,106.0
Computers,Fixed Assets,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,240.0,0.0,0.0
Furniture n fittings,Fixed Assets,16.0,15.0,18.0,18.0,23.0,26.0,28.0,30.0,31.0,37.0,40.0,47.0
Vehicles,Fixed Assets,46.0,33.0,29.0,32.0,36.0,47.0,50.0,48.0,55.0,60.0,72.0,78.0
Intangible Assets,Fixed Assets,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,61.0,61.0
Other fixed assets,Fixed Assets,316.0,323.0,273.0,273.0,267.0,268.0,270.0,272.0,32.0,34.0,35.0,34.0
Gross Block,Fixed Assets,8679.0,8713.0,8490.0,8451.0,8858.0,9643.0,9836.0,10305.0,10725.0,12595.0,13550.0,15262.0
Accumulated Depreciation,Fixed Assets,440.0,736.0,1036.0,1331.0,1695.0,2152.0,2521.0,2948.0,3240.0,3742.0,4208.0,4854.0
Long term Borrowings,Borrowings,4376.0,4047.0,3302.0,3311.0,2633.0,2361.0,2298.0,1833.0,1822.0,2108.0,1583.0,1490.0
Short term Borrowings,Borrowings,3229.0,2932.0,2198.0,2726.0,2684.0,2550.0,2785.0,3955.0,2960.0,3479.0,3062.0,2550.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,277.0,251.0,244.0,179.0,175.0,213.0,651.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,34.0,17.0
Other Borrowings,Borrowings,497.0,568.0,722.0,274.0,375.0,461.0,0.0,0.0,-34.0,-34.0,-34.0,-17.0
Non controlling int,Other Liabilities,45.0,-6.0,-127.0,-296.0,-382.0,-475.0,-444.0,-515.0,-642.0,-726.0,-457.0,-292.0
Trade Payables,Other Liabilities,893.0,500.0,411.0,566.0,1804.0,1401.0,1937.0,1540.0,3004.0,2953.0,2522.0,2623.0
Advance from Customers,Other Liabilities,232.0,113.0,50.0,90.0,141.0,172.0,284.0,269.0,605.0,498.0,363.0,558.0
Other liability items,Other Liabilities,1337.0,1070.0,914.0,1029.0,1244.0,1571.0,1721.0,1753.0,2034.0,2099.0,1967.0,1417.0
Inventories,Other Assets,2988.0,2466.0,2310.0,2463.0,3187.0,2687.0,2919.0,3756.0,4105.0,4895.0,4921.0,5267.0
Trade receivables,Other Assets,2042.0,1746.0,1370.0,1930.0,2213.0,1864.0,2125.0,1806.0,3563.0,3470.0,3564.0,3094.0
Cash Equivalents,Other Assets,333.0,208.0,132.0,144.0,232.0,342.0,724.0,672.0,213.0,895.0,770.0,543.0
Loans n Advances,Other Assets,140.0,360.0,420.0,397.0,380.0,472.0,453.0,437.0,300.0,358.0,342.0,258.0
Other asset items,Other Assets,1418.0,1181.0,947.0,906.0,1157.0,1674.0,1678.0,1899.0,1744.0,1398.0,919.0,1444.0
