,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,66.0,66.0,66.0,66.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0
Reserves,,581.0,696.0,739.0,902.0,1128.0,990.0,1295.0,1813.0,1906.0,2039.0,1971.0,2160.0
Borrowings,,0.0,0.0,0.0,0.0,0.0,1670.0,1620.0,2106.0,2554.0,4207.0,4372.0,4902.0
Other Liabilities,,429.0,460.0,485.0,529.0,596.0,578.0,720.0,731.0,791.0,1660.0,1929.0,2366.0
Total Liabilities,,1075.0,1222.0,1291.0,1497.0,1856.0,3370.0,3767.0,4782.0,5382.0,8038.0,8404.0,9561.0
Fixed Assets,,737.0,828.0,800.0,789.0,809.0,2189.0,2146.0,2737.0,3488.0,6184.0,6434.0,7402.0
CWIP,,20.0,26.0,61.0,14.0,16.0,41.0,29.0,47.0,184.0,118.0,255.0,111.0
Investments,,75.0,91.0,94.0,263.0,181.0,51.0,517.0,927.0,822.0,308.0,176.0,199.0
Other Assets,,243.0,277.0,336.0,430.0,850.0,1089.0,1076.0,1072.0,888.0,1428.0,1538.0,1848.0
Total Assets,,1075.0,1222.0,1291.0,1497.0,1856.0,3370.0,3767.0,4782.0,5382.0,8038.0,8404.0,9561.0
Land,Fixed Assets,34.0,34.0,0.0,0.0,0.0,34.0,56.0,112.0,149.0,153.0,153.0,
Building,Fixed Assets,362.0,315.0,356.0,400.0,432.0,489.0,560.0,646.0,835.0,1221.0,1396.0,
Plant Machinery,Fixed Assets,474.0,425.0,482.0,546.0,620.0,719.0,799.0,955.0,1145.0,1575.0,1715.0,
Equipments,Fixed Assets,24.0,31.0,33.0,32.0,34.0,39.0,42.0,45.0,61.0,61.0,53.0,
Furniture n fittings,Fixed Assets,87.0,71.0,86.0,91.0,99.0,116.0,129.0,146.0,171.0,335.0,394.0,
Vehicles,Fixed Assets,60.0,37.0,40.0,37.0,44.0,60.0,79.0,113.0,153.0,252.0,361.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1742.0,1677.0,2203.0
Other fixed assets,Fixed Assets,40.0,34.0,53.0,68.0,81.0,2294.0,2229.0,2644.0,3190.0,3906.0,4283.0,
Gross Block,Fixed Assets,1081.0,947.0,1050.0,1173.0,1310.0,3751.0,3895.0,4660.0,5702.0,9245.0,10032.0,
Accumulated Depreciation,Fixed Assets,344.0,118.0,250.0,384.0,501.0,1562.0,1750.0,1924.0,2214.0,3061.0,3598.0,
Long term Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,183.0,1195.0,1283.0,340.0
Short term Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,219.0,1406.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,1670.0,1620.0,1986.0,2371.0,2700.0,2870.0,3157.0
Other Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,3.0,11.0,9.0,10.0,0.0,73.0,80.0,96.0
Trade Payables,Other Liabilities,242.0,296.0,314.0,389.0,421.0,447.0,533.0,537.0,561.0,922.0,901.0,1052.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,26.0,20.0,
Other liability items,Other Liabilities,186.0,164.0,171.0,140.0,173.0,119.0,176.0,180.0,225.0,640.0,928.0,1219.0
Inventories,Other Assets,43.0,55.0,61.0,64.0,77.0,95.0,133.0,161.0,177.0,410.0,406.0,309.0
Trade receivables,Other Assets,12.0,12.0,16.0,16.0,27.0,17.0,17.0,22.0,29.0,265.0,330.0,375.0
Cash Equivalents,Other Assets,39.0,33.0,35.0,129.0,494.0,656.0,539.0,563.0,257.0,157.0,154.0,235.0
Loans n Advances,Other Assets,-2.0,5.0,5.0,5.0,7.0,-2.0,-3.0,-2.0,-1.0,-1.0,-5.0,280.0
Other asset items,Other Assets,151.0,171.0,219.0,216.0,244.0,324.0,389.0,327.0,427.0,597.0,653.0,650.0
