,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,776.0,778.0,781.0,786.0,789.0,790.0,790.0,791.0,792.0,792.0,792.0,792.0
Reserves,,34.0,30.0,27.0,28.0,86.0,199.0,127.0,40.0,62.0,175.0,372.0,600.0
Borrowings,,571.0,625.0,799.0,1011.0,1196.0,2017.0,2159.0,2128.0,2177.0,2336.0,2148.0,2004.0
Other Liabilities,,515.0,572.0,604.0,632.0,701.0,756.0,738.0,674.0,698.0,725.0,763.0,889.0
Total Liabilities,,1896.0,2004.0,2212.0,2458.0,2772.0,3763.0,3815.0,3633.0,3729.0,4028.0,4075.0,4285.0
Fixed Assets,,1236.0,1231.0,1418.0,1460.0,1604.0,3307.0,3194.0,3051.0,2957.0,3641.0,3556.0,3563.0
CWIP,,167.0,259.0,351.0,559.0,664.0,190.0,242.0,297.0,482.0,25.0,59.0,108.0
Investments,,31.0,6.0,6.0,15.0,35.0,14.0,6.0,10.0,6.0,13.0,45.0,73.0
Other Assets,,462.0,508.0,436.0,425.0,469.0,252.0,374.0,276.0,284.0,348.0,415.0,540.0
Total Assets,,1896.0,2004.0,2212.0,2458.0,2772.0,3763.0,3815.0,3633.0,3729.0,4028.0,4075.0,4285.0
Land,Fixed Assets,281.0,281.0,369.0,429.0,431.0,505.0,501.0,501.0,501.0,501.0,499.0,
Building,Fixed Assets,772.0,745.0,849.0,869.0,1007.0,1896.0,1899.0,1911.0,1911.0,2416.0,2436.0,
Plant Machinery,Fixed Assets,143.0,120.0,142.0,145.0,173.0,268.0,270.0,272.0,277.0,347.0,355.0,
Equipments,Fixed Assets,7.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,
Computers,Fixed Assets,7.0,2.0,3.0,3.0,4.0,7.0,7.0,8.0,9.0,12.0,14.0,
Furniture n fittings,Fixed Assets,157.0,115.0,124.0,129.0,142.0,191.0,193.0,195.0,198.0,337.0,350.0,
Vehicles,Fixed Assets,10.0,4.0,5.0,8.0,10.0,14.0,14.0,14.0,16.0,21.0,23.0,
Intangible Assets,Fixed Assets,0.0,0.0,7.0,7.0,7.0,96.0,96.0,96.0,96.0,96.0,96.0,137.0
Other fixed assets,Fixed Assets,32.0,12.0,16.0,18.0,31.0,603.0,757.0,703.0,704.0,779.0,779.0,
Gross Block,Fixed Assets,1410.0,1282.0,1518.0,1611.0,1809.0,3585.0,3742.0,3706.0,3717.0,4514.0,4557.0,
Accumulated Depreciation,Fixed Assets,173.0,51.0,100.0,151.0,205.0,278.0,548.0,655.0,760.0,873.0,1001.0,
Long term Borrowings,Borrowings,,524.0,691.0,931.0,1135.0,1451.0,1514.0,1553.0,1517.0,1677.0,1493.0,1311.0
Short term Borrowings,Borrowings,,69.0,67.0,36.0,1.0,60.0,172.0,145.0,228.0,212.0,205.0,189.0
Lease Liabilities,Borrowings,,0.0,0.0,0.0,0.0,463.0,474.0,429.0,431.0,447.0,449.0,503.0
Other Borrowings,Borrowings,571.0,32.0,41.0,44.0,60.0,44.0,0.0,0.0,-0.0,0.0,0.0,
Non controlling int,Other Liabilities,422.0,428.0,428.0,429.0,432.0,556.0,617.0,568.0,560.0,580.0,626.0,687.0
Trade Payables,Other Liabilities,33.0,52.0,60.0,81.0,96.0,84.0,77.0,59.0,67.0,65.0,62.0,67.0
Advance from Customers,Other Liabilities,2.0,6.0,10.0,9.0,11.0,8.0,9.0,7.0,10.0,16.0,14.0,
Other liability items,Other Liabilities,57.0,86.0,106.0,114.0,162.0,109.0,34.0,41.0,62.0,65.0,61.0,135.0
Inventories,Other Assets,5.0,5.0,5.0,5.0,6.0,8.0,7.0,8.0,11.0,14.0,14.0,14.0
Trade receivables,Other Assets,18.0,24.0,31.0,53.0,84.0,50.0,31.0,29.0,56.0,71.0,79.0,116.0
Cash Equivalents,Other Assets,30.0,14.0,18.0,21.0,31.0,41.0,141.0,54.0,27.0,54.0,81.0,98.0
Loans n Advances,Other Assets,4.0,4.0,6.0,5.0,8.0,7.0,8.0,8.0,10.0,13.0,14.0,100.0
Other asset items,Other Assets,404.0,460.0,376.0,341.0,340.0,145.0,187.0,177.0,180.0,196.0,228.0,212.0
