,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,101.0,101.0,101.0,101.0,101.0,101.0,101.0,110.0,110.0,110.0,110.0,110.0
Reserves,,7779.0,9114.0,11055.0,14210.0,16230.0,18164.0,20500.0,24641.0,27075.0,31367.0,36242.0,41319.0
Borrowing,,96532.0,110931.0,126337.0,150913.0,170657.0,191428.0,207925.0,223757.0,244913.0,252618.0,270726.0,277539.0
Other Liabilities,,8218.0,10441.0,13504.0,6004.0,13719.0,7227.0,7195.0,6179.0,6461.0,7198.0,6963.0,6245.0
Total Liabilities,,112630.0,130587.0,150997.0,171228.0,200707.0,216920.0,235721.0,254687.0,278559.0,291293.0,314040.0,325213.0
Fixed Assets,,90.0,102.0,102.0,129.0,168.0,294.0,282.0,315.0,388.0,389.0,377.0,416.0
CWIP,,0.0,0.0,5.0,3.0,2.0,3.0,6.0,4.0,1.0,0.0,52.0,0.0
Investments,,241.0,280.0,537.0,2008.0,3617.0,5485.0,4644.0,6279.0,7050.0,6337.0,7201.0,5132.0
Other Assets,,112298.0,130204.0,150352.0,169088.0,196920.0,211138.0,230789.0,248088.0,271120.0,284567.0,306411.0,319664.0
Total Assets,,112630.0,130587.0,150997.0,171228.0,200707.0,216920.0,235721.0,254687.0,278559.0,291293.0,314040.0,325213.0
Land,Fixed Assets,5.42,5.42,0.93,29.62,30.59,28.82,28.82,16.86,18.69,6.73,6.73,
Building,Fixed Assets,76.82,92.15,100.99,83.52,120.59,128.7,130.85,133.35,140.87,124.04,127.83,
Equipments,Fixed Assets,8.76,8.7,9.19,3.23,4.42,6.09,7.05,8.14,9.5,7.75,9.78,
Computers,Fixed Assets,39.86,40.73,35.28,12.84,18.36,21.92,24.45,34.28,54.76,76.53,87.73,
Furniture n fittings,Fixed Assets,10.79,10.78,11.95,4.88,8.33,9.33,10.03,11.66,14.65,14.37,15.46,
Vehicles,Fixed Assets,0.78,0.67,0.67,0.22,0.38,0.57,0.64,0.64,0.82,0.82,1.46,
Intangible Assets,Fixed Assets,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,39.46
Other fixed assets,Fixed Assets,20.08,21.13,21.69,4.23,6.36,168.64,125.91,167.87,414.73,499.04,563.89,
Gross Block,Fixed Assets,162.72,179.79,180.91,138.75,189.24,364.28,327.96,373.01,654.23,729.49,813.09,
Accumulated Depreciation,Fixed Assets,72.55,77.39,78.54,9.29,21.16,69.85,46.09,58.19,265.75,340.7,435.84,
Non controlling int,Other Liabilities,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0
Trade Payables,Other Liabilities,27.0,37.0,51.0,53.0,75.0,31.0,86.0,54.0,34.0,184.0,216.0,95.0
Other liability items,Other Liabilities,8190.0,10403.0,13451.0,5950.0,13642.0,7194.0,7106.0,6122.0,6424.0,7011.0,6743.0,6146.0
Trade receivables,Other Assets,73.0,88.0,112.0,14.0,12.0,22.0,8.0,8.0,1.0,10.0,12.0,8.0
Cash Equivalents,Other Assets,2993.0,3987.0,4523.0,2143.0,3053.0,2037.0,1385.0,985.0,822.0,1655.0,1474.0,1348.0
Loans n Advances,Other Assets,6552.0,7523.0,9122.0,186.0,209.0,396.0,40.0,175.0,43.0,495.0,636.0,316066.0
Other asset items,Other Assets,102681.0,118606.0,136596.0,166745.0,193645.0,208683.0,229357.0,246920.0,270254.0,282406.0,304289.0,2242.0
