,parent_line_item,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,48.0,48.0,49.0,49.0,50.0,51.0,54.0,54.0,54.0,54.0
Reserves,,976.0,1136.0,1246.0,1300.0,1333.0,1565.0,2375.0,2852.0,3333.0,3908.0
Borrowings,,165.0,456.0,787.0,929.0,931.0,1109.0,1122.0,802.0,718.0,1190.0
Other Liabilities,,295.0,343.0,347.0,388.0,380.0,421.0,547.0,572.0,662.0,753.0
Total Liabilities,,1485.0,1984.0,2430.0,2666.0,2694.0,3146.0,4097.0,4280.0,4766.0,5905.0
Fixed Assets,,914.0,1094.0,1194.0,1703.0,1616.0,1776.0,2050.0,2236.0,2514.0,3795.0
CWIP,,12.0,317.0,666.0,382.0,464.0,439.0,327.0,388.0,533.0,132.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Other Assets,,559.0,573.0,570.0,581.0,615.0,930.0,1720.0,1656.0,1716.0,1975.0
Total Assets,,1485.0,1984.0,2430.0,2666.0,2694.0,3146.0,4097.0,4280.0,4766.0,5905.0
Land,Fixed Assets,205.08,400.49,468.52,468.52,468.52,468.52,468.52,226.5,225.58,
Building,Fixed Assets,377.73,332.87,437.91,794.95,796.14,883.82,1133.52,427.87,578.45,
Plant Machinery,Fixed Assets,515.68,122.18,127.32,179.18,182.12,200.88,245.66,165.56,165.19,
Equipments,Fixed Assets,4.34,3.61,414.36,545.99,565.56,717.72,800.74,1983.22,2224.92,
Computers,Fixed Assets,28.32,15.35,16.44,35.46,38.18,0.0,0.0,0.0,0.0,
Furniture n fittings,Fixed Assets,28.44,23.9,55.39,99.06,103.22,115.65,139.26,270.55,298.03,
Vehicles,Fixed Assets,1.75,1.89,5.89,6.51,6.78,7.43,10.35,47.69,56.34,
Intangible Assets,Fixed Assets,9.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.21
Other fixed assets,Fixed Assets,52.52,432.6,2.74,11.23,12.07,63.97,79.23,24.25,29.55,
Gross Block,Fixed Assets,1222.87,1332.89,1528.57,2140.9,2172.59,2457.99,2877.28,3145.64,3578.06,
Accumulated Depreciation,Fixed Assets,308.98,239.34,334.89,437.79,556.92,682.13,827.19,909.73,1064.06,
Long term Borrowings,Borrowings,0.0,336.0,503.0,606.0,578.0,768.0,737.0,283.0,264.0,1127.0
Short term Borrowings,Borrowings,0.0,67.0,0.0,0.0,67.0,70.0,105.0,136.0,64.0,63.0
Lease Liabilities,Borrowings,0.0,0.0,273.0,307.0,287.0,271.0,280.0,383.0,390.0,0.0
Preference Capital,Borrowings,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,133.0,20.0,11.0,16.0,0.0,0.0,-0.0,-0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,23.0
Trade Payables,Other Liabilities,92.0,106.0,126.0,131.0,132.0,134.0,195.0,187.0,195.0,242.0
Advance from Customers,Other Liabilities,6.0,20.0,16.0,21.0,29.0,38.0,49.0,59.0,49.0,
Other liability items,Other Liabilities,196.0,217.0,205.0,236.0,220.0,249.0,304.0,326.0,418.0,488.0
Inventories,Other Assets,28.0,23.0,23.0,39.0,40.0,53.0,60.0,67.0,67.0,79.0
Trade receivables,Other Assets,75.0,152.0,164.0,149.0,134.0,180.0,194.0,215.0,292.0,411.0
Cash Equivalents,Other Assets,376.0,260.0,266.0,250.0,289.0,512.0,1278.0,1175.0,1122.0,1130.0
Loans n Advances,Other Assets,14.0,2.0,7.0,6.0,9.0,8.0,14.0,16.0,18.0,112.0
Other asset items,Other Assets,66.0,137.0,109.0,138.0,143.0,177.0,173.0,183.0,217.0,243.0
