,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,99.0,99.0,99.0,99.0
Reserves,,4035.0,5040.0,5781.0,6329.0
Borrowings,,115.0,141.0,201.0,223.0
Other Liabilities,,1783.0,1974.0,2189.0,2331.0
Total Liabilities,,6032.0,7253.0,8270.0,8981.0
Fixed Assets,,3026.0,4235.0,4854.0,5392.0
CWIP,,709.0,823.0,1068.0,1270.0
Investments,,1310.0,1069.0,1162.0,1148.0
Other Assets,,988.0,1126.0,1186.0,1171.0
Total Assets,,6032.0,7253.0,8270.0,8981.0
Land,Fixed Assets,10.0,15.0,26.0,
Building,Fixed Assets,152.0,181.0,257.0,
Plant Machinery,Fixed Assets,3645.0,4544.0,5306.0,
Equipments,Fixed Assets,20.0,37.0,46.0,
Computers,Fixed Assets,24.0,28.0,31.0,
Furniture n fittings,Fixed Assets,30.0,42.0,62.0,
Vehicles,Fixed Assets,0.0,2.0,2.0,
Intangible Assets,Fixed Assets,0.0,453.0,453.0,407.0
Other fixed assets,Fixed Assets,302.0,367.0,451.0,
Gross Block,Fixed Assets,4183.0,5670.0,6635.0,
Accumulated Depreciation,Fixed Assets,1158.0,1435.0,1781.0,
Lease Liabilities,Borrowings,115.0,141.0,201.0,223.0
Non controlling int,Other Liabilities,0.0,5.0,15.0,14.0
Trade Payables,Other Liabilities,322.0,348.0,431.0,479.0
Advance from Customers,Other Liabilities,27.0,33.0,40.0,
Other liability items,Other Liabilities,1434.0,1587.0,1703.0,1837.0
Inventories,Other Assets,34.0,42.0,52.0,63.0
Trade receivables,Other Assets,294.0,296.0,364.0,459.0
Cash Equivalents,Other Assets,228.0,426.0,333.0,114.0
Loans n Advances,Other Assets,24.0,16.0,14.0,109.0
Other asset items,Other Assets,409.0,345.0,423.0,427.0
