,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,100.0,100.0,100.0,100.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Reserves,,1264.0,1168.0,1101.0,1103.0,1119.0,733.0,-50.0,-298.0,1262.0,1476.0,1552.0,1971.0
Borrowings,,436.0,273.0,440.0,519.0,961.0,3850.0,2422.0,2626.0,203.0,159.0,2.0,0.0
Other Liabilities,,4499.0,2117.0,4207.0,3450.0,2150.0,1677.0,2952.0,2306.0,2064.0,1902.0,1774.0,675.0
Total Liabilities,,6300.0,3659.0,5848.0,5172.0,4380.0,6410.0,5474.0,4783.0,3678.0,3687.0,3478.0,2796.0
Fixed Assets,,122.0,57.0,57.0,52.0,49.0,49.0,42.0,38.0,34.0,29.0,24.0,19.0
CWIP,,153.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,,275.0,214.0,247.0,128.0,147.0,80.0,82.0,102.0,127.0,276.0,328.0,533.0
Other Assets,,5749.0,3386.0,5544.0,4992.0,4184.0,6282.0,5350.0,4643.0,3517.0,3382.0,3126.0,2244.0
Total Assets,,6300.0,3659.0,5848.0,5172.0,4380.0,6410.0,5474.0,4783.0,3678.0,3687.0,3478.0,2796.0
Land,Fixed Assets,4.73,3.35,3.35,10.03,3.25,3.42,3.42,3.42,3.42,3.45,3.46,
Building,Fixed Assets,23.12,7.94,8.3,1.43,8.11,8.03,7.74,7.77,7.77,7.77,7.77,
Plant Machinery,Fixed Assets,79.5,40.88,40.87,41.29,41.29,41.11,40.6,40.59,40.59,40.59,40.59,
Equipments,Fixed Assets,6.1,1.35,1.5,1.69,1.77,1.88,1.88,1.79,1.86,1.8,1.79,
Computers,Fixed Assets,18.42,1.4,2.04,2.11,2.46,2.47,2.39,2.39,2.45,2.32,2.18,
Furniture n fittings,Fixed Assets,11.5,4.62,5.43,5.42,5.7,5.95,5.94,5.97,5.97,4.86,4.86,
Railway sidings,Fixed Assets,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Vehicles,Fixed Assets,57.47,0.28,0.42,0.48,0.55,0.5,0.48,0.48,0.48,0.48,0.47,
Intangible Assets,Fixed Assets,22.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Other fixed assets,Fixed Assets,75.2,3.36,7.82,8.05,9.67,16.39,12.47,16.81,16.75,15.82,11.03,
Gross Block,Fixed Assets,301.45,63.18,69.73,70.5,72.8,79.75,74.92,79.22,79.29,77.09,72.15,
Accumulated Depreciation,Fixed Assets,179.44,5.81,12.76,18.0,23.66,31.05,32.73,40.95,45.72,48.1,47.85,
Long term Borrowings,Borrowings,50.17,0.0,0.0,0.0,0.0,166.7,0.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,386.29,272.85,440.18,519.26,961.49,3682.84,2417.85,2621.65,195.84,153.12,0.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,3.96,4.27,6.7,6.17,2.44,0.02
Other Borrowings,Borrowings,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,3302.0,926.0,689.0,1065.0,1139.0,666.0,998.0,534.0,346.0,337.0,240.0,238.0
Advance from Customers,Other Liabilities,129.0,193.0,2523.0,1374.0,291.0,456.0,419.0,377.0,276.0,260.0,233.0,
Other liability items,Other Liabilities,1068.0,998.0,994.0,1012.0,720.0,556.0,1535.0,1394.0,1442.0,1304.0,1302.0,437.0
Inventories,Other Assets,334.0,402.0,2367.0,1711.0,280.0,218.0,46.0,30.0,1.0,0.0,0.0,0.0
Trade receivables,Other Assets,3044.0,823.0,509.0,355.0,427.0,2047.0,834.0,402.0,405.0,393.0,119.0,24.0
Cash Equivalents,Other Assets,418.0,182.0,527.0,144.0,134.0,227.0,254.0,202.0,1346.0,1328.0,1339.0,1789.0
Loans n Advances,Other Assets,17.0,683.0,1075.0,1822.0,2617.0,2983.0,3000.0,3467.0,164.0,54.0,208.0,37.0
Other asset items,Other Assets,1936.0,1298.0,1066.0,959.0,725.0,807.0,1216.0,542.0,1601.0,1607.0,1460.0,394.0
