,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,398.0,399.0,399.0,400.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0
Reserves,,4686.0,5223.0,6139.0,7457.0,9531.0,11428.0,15174.0,18384.0,21264.0,24706.0,28965.0,38729.0
Borrowing,,19621.0,18854.0,22177.0,23891.0,30128.0,40952.0,50414.0,54569.0,55804.0,68125.0,99383.0,151806.0
Other Liabilities,,2292.0,2918.0,3469.0,1925.0,1675.0,2085.0,2638.0,2946.0,2664.0,3221.0,4085.0,4817.0
Total Liabilities,,26996.0,27395.0,32184.0,33672.0,41734.0,54867.0,68627.0,76300.0,80134.0,96453.0,132835.0,195754.0
Fixed Assets,,269.0,235.0,257.0,251.0,259.0,314.0,327.0,342.0,386.0,482.0,682.0,721.0
CWIP,,7.0,11.0,10.0,6.0,23.0,29.0,39.0,52.0,67.0,89.0,13.0,10.0
Investments,,20.0,49.0,97.0,177.0,211.0,630.0,809.0,523.0,546.0,712.0,2401.0,550.0
Other Assets,,26700.0,27100.0,31820.0,33237.0,41241.0,53894.0,67453.0,75382.0,79135.0,95170.0,129739.0,194472.0
Total Assets,,26996.0,27395.0,32184.0,33672.0,41734.0,54867.0,68627.0,76300.0,80134.0,96453.0,132835.0,195754.0
Land,Fixed Assets,54.65,61.34,68.73,54.67,54.67,69.15,69.15,84.22,84.22,84.22,119.25,
Building,Fixed Assets,72.97,70.22,77.33,58.91,61.95,72.72,72.56,74.96,107.52,181.35,268.76,
Plant Machinery,Fixed Assets,177.49,189.54,205.87,71.04,85.95,118.6,155.72,184.1,225.39,273.9,328.85,
Equipments,Fixed Assets,0.0,0.0,0.0,4.09,7.99,10.49,0.0,0.0,0.0,0.0,0.0,
Computers,Fixed Assets,81.92,84.82,94.52,19.16,33.79,44.03,52.14,62.96,77.6,95.77,123.17,
Furniture n fittings,Fixed Assets,118.83,122.94,131.24,32.69,41.08,53.66,88.2,109.74,131.36,161.95,252.3,
Vehicles,Fixed Assets,10.14,10.34,11.12,7.31,8.47,12.73,12.81,12.33,12.05,12.81,15.29,
Intangible Assets,Fixed Assets,4.22,3.58,21.15,21.22,30.0,30.0,30.0,30.0,30.0,30.0,30.0,34.46
Other fixed assets,Fixed Assets,27.05,28.05,37.45,35.28,38.09,60.02,62.94,67.31,65.71,66.36,74.5,
Gross Block,Fixed Assets,547.27,570.83,647.41,304.37,361.99,471.4,543.52,625.62,733.85,906.36,1212.12,
Accumulated Depreciation,Fixed Assets,278.4,335.62,390.02,52.93,102.73,157.78,216.44,283.94,348.31,424.79,530.26,
Non controlling int,Other Liabilities,29.0,38.0,72.0,73.0,142.0,172.0,185.0,352.0,487.0,647.0,627.0,644.0
Trade Payables,Other Liabilities,53.0,62.0,101.0,126.0,166.0,226.0,211.0,120.0,88.0,144.0,137.0,145.0
Other liability items,Other Liabilities,2210.0,2818.0,3296.0,1725.0,1366.0,1687.0,2242.0,2473.0,2089.0,2430.0,3322.0,4028.0
Inventories,Other Assets,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Trade receivables,Other Assets,1155.0,1468.0,1277.0,27.0,22.0,9.0,10.0,7.0,10.0,18.0,12.0,12.0
Cash Equivalents,Other Assets,1757.0,714.0,1645.0,747.0,2203.0,6131.0,8021.0,10315.0,8036.0,6272.0,8346.0,12868.0
Loans n Advances,Other Assets,23492.0,24212.0,4.0,0.0,15.0,30.0,34.0,30.0,71.0,100.0,44.0,178857.0
Other asset items,Other Assets,296.0,706.0,28894.0,32464.0,38999.0,47724.0,59387.0,65029.0,71018.0,88780.0,121337.0,2736.0
