,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,296.0,270.0,311.0,543.0,544.0,554.0,555.0,556.0,557.0,557.0,558.0,559.0
Reserves,,25561.0,26222.0,29467.0,36232.0,39439.0,39415.0,41027.0,46567.0,55809.0,65633.0,76481.0,92538.0
Borrowings,,37911.0,41553.0,48762.0,55898.0,70848.0,82092.0,80625.0,77605.0,92247.0,108647.0,129025.0,133963.0
Other Liabilities,,30608.0,31806.0,35296.0,43696.0,51057.0,43655.0,42762.0,47661.0,55670.0,59884.0,69950.0,90575.0
Total Liabilities,,94376.0,99852.0,113835.0,136369.0,161889.0,165716.0,164968.0,172388.0,204283.0,234722.0,276013.0,317635.0
Fixed Assets,,19047.0,20585.0,20989.0,26182.0,28983.0,29689.0,21380.0,26018.0,27140.0,28129.0,34636.0,43831.0
CWIP,,3032.0,2371.0,4279.0,4269.0,4760.0,6856.0,7873.0,6703.0,3969.0,8039.0,8298.0,2368.0
Investments,,10027.0,11603.0,14662.0,16018.0,18268.0,19210.0,28778.0,30060.0,35272.0,35208.0,41309.0,40324.0
Other Assets,,62270.0,65293.0,73905.0,89900.0,109878.0,109960.0,106938.0,109607.0,137902.0,163345.0,191771.0,231112.0
Total Assets,,94376.0,99852.0,113835.0,136369.0,161889.0,165716.0,164968.0,172388.0,204283.0,234722.0,276013.0,317635.0
Land,Fixed Assets,3693.0,3575.0,4027.0,4285.0,4295.0,4511.0,1712.0,1931.0,1977.0,2098.0,2115.0,
Building,Fixed Assets,7666.0,7958.0,8084.0,8842.0,9037.0,11956.0,8482.0,9728.0,10862.0,11496.0,13100.0,
Plant Machinery,Fixed Assets,25285.0,27333.0,28316.0,32713.0,35762.0,38492.0,22386.0,26484.0,24928.0,27230.0,32547.0,
Equipments,Fixed Assets,268.0,317.0,351.0,372.0,384.0,417.0,418.0,445.0,452.0,481.0,493.0,
Furniture n fittings,Fixed Assets,909.0,944.0,974.0,1059.0,1079.0,1160.0,805.0,844.0,925.0,1011.0,1118.0,
Vehicles,Fixed Assets,615.0,652.0,703.0,788.0,847.0,1068.0,986.0,1090.0,1238.0,1356.0,1593.0,
Intangible Assets,Fixed Assets,890.0,3298.0,3915.0,7216.0,9696.0,9733.0,6932.0,7046.0,10625.0,11589.0,13723.0,14819.0
Other fixed assets,Fixed Assets,2236.0,646.0,758.0,1064.0,1113.0,1265.0,937.0,958.0,1084.0,1202.0,1454.0,
Gross Block,Fixed Assets,41563.0,44723.0,47128.0,56339.0,62211.0,68602.0,42658.0,48526.0,52090.0,56462.0,66143.0,
Accumulated Depreciation,Fixed Assets,22516.0,24138.0,26139.0,30157.0,33229.0,38913.0,21278.0,22508.0,24950.0,28333.0,31506.0,
Long term Borrowings,Borrowings,22327.0,23599.0,30125.0,33809.0,43526.0,52298.0,52778.0,48625.0,55027.0,69741.0,83782.0,73470.0
Short term Borrowings,Borrowings,7177.0,7077.0,10122.0,11326.0,10541.0,10218.0,4647.0,26042.0,33740.0,35484.0,41466.0,56145.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,2666.0,2938.0,3480.0,3422.0,3776.0,4349.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,4075.0,0.0
Other Borrowings,Borrowings,8407.0,10877.0,8516.0,10763.0,16781.0,19577.0,20533.0,0.0,0.0,-2022.0,-4075.0,
Non controlling int,Other Liabilities,5892.0,5920.0,6357.0,8250.0,8361.0,7692.0,9070.0,9703.0,10716.0,11319.0,12059.0,16395.0
Trade Payables,Other Liabilities,11421.0,13376.0,14797.0,18287.0,20992.0,14985.0,15506.0,19037.0,23836.0,25666.0,30855.0,37889.0
Advance from Customers,Other Liabilities,0.0,801.0,515.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,13295.0,11709.0,13627.0,16314.0,21704.0,20977.0,18185.0,18921.0,21119.0,22900.0,27035.0,36292.0
Inventories,Other Assets,8453.0,9116.0,8886.0,9336.0,12200.0,11112.0,9615.0,11596.0,16855.0,18590.0,20331.0,22044.0
Trade receivables,Other Assets,5476.0,5818.0,7199.0,8490.0,8678.0,6928.0,6008.0,6374.0,7028.0,7459.0,8280.0,9064.0
Cash Equivalents,Other Assets,4912.0,4528.0,4654.0,6548.0,8735.0,7911.0,12852.0,11118.0,11273.0,12013.0,20615.0,31979.0
Loans n Advances,Other Assets,-772.0,-1096.0,20566.0,24614.0,29130.0,27859.0,29080.0,29242.0,34685.0,39060.0,44645.0,149070.0
Other asset items,Other Assets,44201.0,46928.0,32599.0,40913.0,51135.0,56150.0,49383.0,51277.0,68061.0,86222.0,97900.0,18955.0
