,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Reserves,,376.0,519.0,655.0,836.0,764.0,809.0,874.0,1077.0,1360.0,1586.0,1396.0,1491.0
Borrowings,,157.0,95.0,88.0,69.0,85.0,176.0,127.0,110.0,406.0,185.0,262.0,277.0
Other Liabilities,,279.0,321.0,401.0,497.0,491.0,517.0,688.0,908.0,915.0,901.0,974.0,1077.0
Total Liabilities,,823.0,946.0,1154.0,1412.0,1351.0,1513.0,1700.0,2107.0,2693.0,2683.0,2643.0,2856.0
Fixed Assets,,217.0,217.0,236.0,238.0,301.0,406.0,386.0,402.0,485.0,488.0,758.0,871.0
CWIP,,0.0,0.0,24.0,59.0,7.0,29.0,28.0,65.0,150.0,239.0,72.0,1.0
Investments,,0.0,0.0,52.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,,606.0,729.0,842.0,898.0,1043.0,1079.0,1286.0,1639.0,2057.0,1956.0,1813.0,1984.0
Total Assets,,823.0,946.0,1154.0,1412.0,1351.0,1513.0,1700.0,2107.0,2693.0,2683.0,2643.0,2856.0
Land,Fixed Assets,3.67,4.09,2.97,2.98,5.78,5.8,5.8,8.6,8.55,8.5,8.45,
Building,Fixed Assets,59.81,54.35,54.35,54.35,108.49,210.99,234.06,196.33,251.53,274.3,526.27,
Plant Machinery,Fixed Assets,172.05,139.41,173.73,185.89,204.55,232.55,242.72,285.72,337.2,347.17,391.87,
Equipments,Fixed Assets,4.07,3.28,3.51,4.37,6.48,6.72,7.12,8.37,11.13,12.16,15.13,
Computers,Fixed Assets,6.81,4.19,5.11,7.33,12.15,16.17,17.23,19.96,23.86,25.29,32.75,
Furniture n fittings,Fixed Assets,34.21,26.75,26.61,32.44,41.89,44.08,49.31,56.49,57.27,58.68,59.64,
Vehicles,Fixed Assets,5.04,4.12,4.85,4.9,5.51,6.12,5.47,6.95,7.41,8.4,10.08,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23
Other fixed assets,Fixed Assets,20.19,4.61,5.3,12.59,13.39,14.0,14.96,15.33,16.71,19.1,20.75,
Gross Block,Fixed Assets,305.85,240.8,276.43,304.85,398.24,536.43,576.67,597.75,713.66,753.6,1064.94,
Accumulated Depreciation,Fixed Assets,88.59,24.12,40.34,66.91,97.61,130.9,190.38,195.33,228.49,265.81,307.38,
Long term Borrowings,Borrowings,35.0,24.0,40.0,33.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,9.0
Short term Borrowings,Borrowings,100.0,49.0,27.0,17.0,53.0,7.0,0.0,0.0,248.0,0.0,0.0,3.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,138.0,127.0,110.0,158.0,185.0,262.0,265.0
Other Borrowings,Borrowings,23.0,21.0,20.0,19.0,12.0,11.0,-0.0,0.0,0.0,0.0,-0.0,
Trade Payables,Other Liabilities,82.0,94.0,111.0,136.0,122.0,94.0,251.0,363.0,288.0,184.0,255.0,323.0
Advance from Customers,Other Liabilities,1.0,2.0,2.0,4.0,4.0,15.0,8.0,14.0,9.0,11.0,9.0,
Other liability items,Other Liabilities,196.0,225.0,287.0,356.0,365.0,408.0,429.0,532.0,618.0,706.0,710.0,754.0
Inventories,Other Assets,443.0,541.0,623.0,568.0,750.0,719.0,555.0,975.0,1595.0,1170.0,859.0,1056.0
Trade receivables,Other Assets,88.0,102.0,113.0,148.0,124.0,74.0,137.0,165.0,146.0,159.0,192.0,201.0
Cash Equivalents,Other Assets,4.0,9.0,21.0,67.0,44.0,117.0,435.0,283.0,8.0,323.0,471.0,432.0
Loans n Advances,Other Assets,13.0,22.0,17.0,24.0,29.0,26.0,25.0,22.0,28.0,27.0,36.0,23.0
Other asset items,Other Assets,57.0,55.0,69.0,91.0,96.0,144.0,133.0,194.0,280.0,278.0,255.0,272.0
