,parent_line_item,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,4.0,4.0,5.0,5.0,5.0,5.0,5.0,13.0,14.0,15.0,15.0,
Reserves,,58.0,65.0,108.0,115.0,122.0,150.0,163.0,293.0,631.0,1372.0,1492.0,
Borrowings,,68.0,69.0,25.0,60.0,122.0,181.0,196.0,177.0,182.0,61.0,261.0,
Other Liabilities,,24.0,27.0,21.0,23.0,31.0,61.0,61.0,70.0,68.0,136.0,188.0,
Total Liabilities,,154.0,165.0,160.0,202.0,279.0,397.0,426.0,553.0,896.0,1584.0,1956.0,
Fixed Assets,,50.0,48.0,43.0,44.0,49.0,211.0,237.0,228.0,233.0,449.0,644.0,
CWIP,,9.0,18.0,35.0,66.0,136.0,37.0,23.0,67.0,159.0,185.0,311.0,
Investments,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,
Other Assets,,96.0,99.0,82.0,92.0,95.0,149.0,166.0,258.0,504.0,947.0,998.0,
Total Assets,,154.0,165.0,160.0,202.0,279.0,397.0,426.0,553.0,896.0,1584.0,1956.0,
Land,Fixed Assets,6.0,6.0,6.0,7.0,8.0,,12.0,12.0,16.0,33.0,38.0,
Building,Fixed Assets,8.0,9.0,9.0,9.0,9.0,,45.0,47.0,47.0,48.0,49.0,
Plant Machinery,Fixed Assets,46.0,48.0,47.0,53.0,59.0,,208.0,243.0,242.0,242.0,412.0,
Equipments,Fixed Assets,13.0,14.0,15.0,15.0,17.0,,20.0,23.0,25.0,26.0,36.0,
Computers,Fixed Assets,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,3.0,3.0,4.0,
Furniture n fittings,Fixed Assets,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,
Vehicles,Fixed Assets,2.0,2.0,2.0,2.0,2.0,,3.0,4.0,4.0,4.0,6.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,63.0,104.0
Other fixed assets,Fixed Assets,1.0,1.0,1.0,1.0,1.0,,4.0,5.0,5.0,6.0,7.0,
Gross Block,Fixed Assets,79.0,83.0,83.0,89.0,99.0,,297.0,338.0,345.0,364.0,616.0,
Accumulated Depreciation,Fixed Assets,29.0,35.0,40.0,45.0,50.0,,86.0,101.0,116.0,131.0,167.0,
Long term Borrowings,Borrowings,11.0,46.0,2.0,26.0,79.0,,94.0,94.0,96.0,81.0,47.0,151.0
Short term Borrowings,Borrowings,50.0,20.0,20.0,29.0,39.0,,72.0,103.0,80.0,101.0,14.0,110.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,7.0,3.0,3.0,5.0,4.0,,15.0,0.0,0.0,0.0,-0.0,
Trade Payables,Other Liabilities,13.0,9.0,8.0,10.0,9.0,,27.0,19.0,21.0,15.0,49.0,65.0
Advance from Customers,Other Liabilities,2.0,1.0,0.0,0.0,0.0,,1.0,3.0,8.0,12.0,12.0,
Other liability items,Other Liabilities,9.0,18.0,13.0,13.0,22.0,,33.0,39.0,40.0,41.0,76.0,122.0
Inventories,Other Assets,35.0,29.0,32.0,35.0,38.0,,52.0,65.0,78.0,74.0,208.0,299.0
Trade receivables,Other Assets,42.0,32.0,32.0,31.0,27.0,,63.0,62.0,66.0,111.0,144.0,274.0
Cash Equivalents,Other Assets,3.0,15.0,1.0,1.0,4.0,,4.0,4.0,30.0,158.0,382.0,137.0
Loans n Advances,Other Assets,0.0,1.0,1.0,1.0,1.0,,4.0,2.0,9.0,15.0,20.0,9.0
Other asset items,Other Assets,15.0,23.0,16.0,24.0,25.0,,25.0,35.0,76.0,146.0,193.0,280.0
