,parent_line_item,Mar 2007,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,19.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
Reserves,,166.0,951.0,1018.0,1130.0,1309.0,1516.0,1766.0,2000.0,2181.0,2413.0,2727.0,3289.0
Borrowings,,690.0,960.0,799.0,592.0,337.0,400.0,288.0,202.0,754.0,818.0,750.0,498.0
Other Liabilities,,133.0,390.0,392.0,498.0,581.0,540.0,543.0,555.0,762.0,846.0,1163.0,1157.0
Total Liabilities,,1007.0,2327.0,2235.0,2247.0,2253.0,2483.0,2624.0,2784.0,3724.0,4104.0,4668.0,4972.0
Fixed Assets,,285.0,729.0,704.0,685.0,714.0,743.0,810.0,821.0,1234.0,1700.0,1811.0,1911.0
CWIP,,44.0,2.0,2.0,20.0,16.0,18.0,38.0,30.0,327.0,54.0,23.0,75.0
Investments,,10.0,220.0,220.0,220.0,176.0,178.0,184.0,175.0,191.0,198.0,198.0,240.0
Other Assets,,668.0,1376.0,1309.0,1321.0,1347.0,1543.0,1592.0,1757.0,1971.0,2152.0,2635.0,2746.0
Total Assets,,1007.0,2327.0,2235.0,2247.0,2253.0,2483.0,2624.0,2784.0,3724.0,4104.0,4668.0,4972.0
Land,Fixed Assets,38.43,163.42,163.84,163.96,163.96,176.33,163.33,166.26,208.51,247.37,250.03,
Building,Fixed Assets,33.75,87.67,88.18,90.49,90.71,103.57,176.16,189.8,249.77,313.11,376.18,
Plant Machinery,Fixed Assets,216.99,484.95,493.92,507.66,566.64,611.03,654.23,702.1,1033.14,1499.05,1659.38,
Equipments,Fixed Assets,0.0,0.55,0.96,1.17,1.75,2.0,3.74,4.11,5.59,6.0,6.72,
Furniture n fittings,Fixed Assets,3.69,1.49,1.65,1.82,4.81,4.89,15.13,18.69,23.24,24.22,27.35,
Vehicles,Fixed Assets,8.29,5.0,9.32,8.89,10.04,9.36,12.77,14.26,17.99,19.82,32.49,
Intangible Assets,Fixed Assets,59.6,25.52,25.52,25.52,25.52,25.52,25.52,25.52,25.52,25.52,25.52,8.94
Other fixed assets,Fixed Assets,0.0,3.73,3.95,3.94,4.56,3.95,3.94,4.12,5.05,5.93,7.49,
Gross Block,Fixed Assets,360.75,772.33,787.34,803.45,867.99,936.65,1054.82,1124.86,1568.81,2141.02,2385.16,
Accumulated Depreciation,Fixed Assets,76.13,42.94,83.52,117.96,154.05,193.22,244.92,304.26,334.64,440.63,574.34,
Long term Borrowings,Borrowings,,196.0,103.0,34.0,22.0,2.0,0.0,5.0,287.0,290.0,154.0,19.0
Short term Borrowings,Borrowings,,620.0,551.0,488.0,302.0,397.0,273.0,185.0,410.0,447.0,476.0,313.0
Lease Liabilities,Borrowings,,0.0,0.0,0.0,0.0,0.0,15.0,12.0,57.0,81.0,120.0,167.0
Preference Capital,Borrowings,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,632.0,144.0,145.0,70.0,14.0,1.0,0.0,0.0,0.0,-0.0,0.0,
Trade Payables,Other Liabilities,76.0,176.0,0.0,214.0,245.0,264.0,262.0,235.0,275.0,460.0,665.0,326.0
Advance from Customers,Other Liabilities,0.0,67.0,41.0,38.0,76.0,56.0,81.0,68.0,85.0,33.0,32.0,
Other liability items,Other Liabilities,56.0,147.0,351.0,246.0,260.0,219.0,200.0,252.0,402.0,353.0,467.0,832.0
Inventories,Other Assets,74.0,276.0,294.0,312.0,362.0,374.0,491.0,539.0,720.0,789.0,1105.0,1166.0
Trade receivables,Other Assets,153.0,611.0,624.0,630.0,642.0,823.0,697.0,756.0,824.0,978.0,1182.0,1190.0
Cash Equivalents,Other Assets,210.0,13.0,14.0,22.0,18.0,18.0,130.0,110.0,131.0,101.0,58.0,88.0
Loans n Advances,Other Assets,11.0,-51.0,26.0,14.0,7.0,28.0,76.0,93.0,98.0,114.0,112.0,89.0
Other asset items,Other Assets,221.0,527.0,352.0,343.0,319.0,300.0,198.0,259.0,198.0,171.0,178.0,213.0
