,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,4137.0,4137.0,4137.0,3930.0,3930.0,3930.0,3930.0,3930.0,3930.0,3930.0,3930.0,3930.0
Reserves,,6066.0,7166.0,7353.0,6770.0,7316.0,8121.0,8861.0,9241.0,9930.0,10141.0,10249.0,10309.0
Borrowings,,2648.0,2646.0,2416.0,2231.0,2155.0,2238.0,2174.0,6906.0,14059.0,20323.0,27025.0,32278.0
Other Liabilities,,1781.0,1440.0,1486.0,1460.0,1572.0,1666.0,2508.0,3172.0,4392.0,4797.0,4859.0,5248.0
Total Liabilities,,14632.0,15389.0,15392.0,14391.0,14974.0,15955.0,17473.0,23248.0,32311.0,39191.0,46063.0,51766.0
Fixed Assets,,9054.0,8775.0,8425.0,8087.0,8142.0,8051.0,8007.0,7866.0,8489.0,10906.0,11610.0,23471.0
CWIP,,429.0,505.0,661.0,944.0,1303.0,2265.0,4298.0,8369.0,15674.0,20033.0,26414.0,19143.0
Investments,,3.0,36.0,90.0,120.0,160.0,195.0,222.0,275.0,36.0,37.0,61.0,52.0
Other Assets,,5147.0,6073.0,6216.0,5239.0,5368.0,5444.0,4946.0,6738.0,8112.0,8215.0,7978.0,9100.0
Total Assets,,14632.0,15389.0,15392.0,14391.0,14974.0,15955.0,17473.0,23248.0,32311.0,39191.0,46063.0,51766.0
Land,Fixed Assets,138.15,499.01,594.27,595.3,601.51,640.89,740.91,791.36,1194.49,1314.7,1986.63,
Building,Fixed Assets,1367.81,1361.09,1191.12,1217.2,1377.34,1443.12,1637.28,1679.45,1739.18,1866.16,1866.71,
Plant Machinery,Fixed Assets,3493.35,3503.97,2563.87,2603.23,2871.85,3010.93,3011.34,3032.4,3449.04,4917.86,5619.4,
Equipments,Fixed Assets,16.15,17.17,30.62,33.42,34.76,38.43,39.8,42.05,42.65,43.05,48.17,
Computers,Fixed Assets,13.53,13.95,6.51,7.55,10.0,12.49,15.0,17.53,18.72,25.58,31.84,
Furniture n fittings,Fixed Assets,39.83,45.22,44.31,48.18,55.26,73.9,78.41,84.99,111.29,117.5,135.13,
Vehicles,Fixed Assets,3.54,4.74,3.4,5.46,6.53,31.3,32.07,35.08,22.77,30.91,33.25,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.43
Other fixed assets,Fixed Assets,8150.98,8080.03,5352.32,5304.4,5302.56,5312.53,5353.19,5491.78,5590.62,6848.81,6834.19,
Gross Block,Fixed Assets,13223.34,13525.18,9786.42,9814.74,10259.81,10563.59,10908.0,11174.64,12168.76,15164.57,16555.32,
Accumulated Depreciation,Fixed Assets,4169.43,4749.92,1361.62,1727.77,2117.88,2512.44,2900.97,3309.14,3679.27,4258.21,4945.22,
Long term Borrowings,Borrowings,2481.0,2464.0,2229.0,2035.0,1940.0,1972.0,1856.0,6170.0,13248.0,19690.0,26220.0,27132.0
Short term Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,299.0,724.0,745.0,562.0,705.0,4971.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,25.0,19.0,12.0,66.0,72.0,100.0,175.0
Other Borrowings,Borrowings,167.0,182.0,187.0,195.0,215.0,242.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0
Trade Payables,Other Liabilities,15.0,17.0,27.0,26.0,24.0,40.0,45.0,37.0,47.0,120.0,199.0,184.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,37.0,4.0,3.0,8.0,7.0,
Other liability items,Other Liabilities,1766.0,1423.0,1459.0,1434.0,1548.0,1625.0,2426.0,3131.0,4343.0,4670.0,4643.0,5053.0
Inventories,Other Assets,37.0,39.0,40.0,51.0,45.0,50.0,56.0,63.0,73.0,82.0,83.0,136.0
Trade receivables,Other Assets,1507.0,1001.0,613.0,289.0,277.0,744.0,522.0,575.0,277.0,627.0,554.0,2009.0
Cash Equivalents,Other Assets,2858.0,3889.0,4320.0,3615.0,2967.0,2335.0,1306.0,2902.0,3731.0,3750.0,3371.0,2523.0
Loans n Advances,Other Assets,96.0,28.0,102.0,110.0,54.0,62.0,45.0,50.0,47.0,72.0,42.0,389.0
Other asset items,Other Assets,649.0,1115.0,1142.0,1175.0,2025.0,2253.0,3017.0,3148.0,3984.0,3683.0,3927.0,4043.0
