,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,58.0,58.0,58.0,58.0,58.0,58.0,58.0,66.0,66.0,67.0,67.0,75.0
Reserves,,381.0,360.0,282.0,311.0,335.0,396.0,547.0,670.0,983.0,1125.0,1330.0,3332.0
Borrowings,,356.0,320.0,238.0,249.0,252.0,287.0,228.0,245.0,361.0,308.0,330.0,398.0
Other Liabilities,,94.0,106.0,171.0,150.0,141.0,140.0,176.0,189.0,219.0,385.0,363.0,509.0
Total Liabilities,,889.0,843.0,749.0,767.0,785.0,881.0,1010.0,1170.0,1629.0,1885.0,2089.0,4314.0
Fixed Assets,,231.0,234.0,296.0,287.0,284.0,266.0,296.0,298.0,548.0,600.0,623.0,665.0
CWIP,,17.0,8.0,8.0,5.0,4.0,9.0,7.0,10.0,12.0,11.0,48.0,107.0
Investments,,83.0,71.0,73.0,60.0,77.0,158.0,201.0,199.0,217.0,279.0,262.0,227.0
Other Assets,,558.0,530.0,373.0,415.0,420.0,448.0,505.0,663.0,852.0,995.0,1157.0,3315.0
Total Assets,,889.0,843.0,749.0,767.0,785.0,881.0,1010.0,1170.0,1629.0,1885.0,2089.0,4314.0
Land,Fixed Assets,12.0,12.0,10.0,11.0,19.0,18.0,19.0,19.0,153.0,157.0,181.0,
Building,Fixed Assets,80.0,80.0,72.0,76.0,87.0,83.0,109.0,106.0,272.0,276.0,274.0,
Plant Machinery,Fixed Assets,198.0,223.0,147.0,168.0,196.0,210.0,239.0,261.0,503.0,582.0,661.0,
Equipments,Fixed Assets,14.0,16.0,6.0,7.0,7.0,8.0,9.0,11.0,14.0,14.0,20.0,
Furniture n fittings,Fixed Assets,9.0,9.0,6.0,6.0,7.0,7.0,10.0,15.0,25.0,26.0,27.0,
Railway sidings,Fixed Assets,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
Vehicles,Fixed Assets,14.0,13.0,6.0,7.0,8.0,10.0,12.0,13.0,16.0,18.0,20.0,
Intangible Assets,Fixed Assets,-0.0,-0.0,57.0,58.0,56.0,52.0,63.0,64.0,65.0,64.0,64.0,83.0
Other fixed assets,Fixed Assets,8.0,9.0,27.0,29.0,6.0,6.0,8.0,9.0,34.0,40.0,45.0,
Gross Block,Fixed Assets,338.0,364.0,331.0,361.0,386.0,396.0,469.0,499.0,1082.0,1177.0,1292.0,
Accumulated Depreciation,Fixed Assets,106.0,130.0,35.0,74.0,102.0,130.0,173.0,201.0,533.0,577.0,669.0,
Long term Borrowings,Borrowings,,,85.0,91.0,60.0,95.0,86.0,61.0,142.0,116.0,99.0,128.0
Short term Borrowings,Borrowings,,,145.0,150.0,128.0,137.0,102.0,154.0,168.0,127.0,163.0,190.0
Lease Liabilities,Borrowings,,,0.0,0.0,31.0,34.0,32.0,30.0,51.0,65.0,68.0,81.0
Preference Capital,Borrowings,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,347.0,311.0,0.0,0.0,24.0,12.0,0.0,-0.0,0.0,-0.0,0.0,
Non controlling int,Other Liabilities,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,63.0,54.0,79.0,71.0,81.0,65.0,99.0,97.0,112.0,183.0,222.0,334.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,0.0,12.0,18.0,11.0,18.0,23.0,61.0,38.0,
Other liability items,Other Liabilities,30.0,50.0,92.0,80.0,48.0,57.0,66.0,74.0,84.0,141.0,102.0,175.0
Inventories,Other Assets,105.0,97.0,112.0,110.0,121.0,133.0,159.0,252.0,290.0,370.0,415.0,437.0
Trade receivables,Other Assets,183.0,186.0,160.0,170.0,201.0,183.0,221.0,277.0,403.0,447.0,501.0,452.0
Cash Equivalents,Other Assets,44.0,29.0,31.0,59.0,20.0,37.0,48.0,40.0,49.0,87.0,121.0,2122.0
Loans n Advances,Other Assets,18.0,14.0,1.0,1.0,15.0,15.0,11.0,17.0,30.0,28.0,33.0,5.0
Other asset items,Other Assets,207.0,205.0,68.0,76.0,64.0,81.0,67.0,77.0,80.0,62.0,87.0,299.0
