,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
Reserves,,2975.0,3668.0,4444.0,4840.0,5415.0,6137.0,7353.0,8614.0,9021.0,10288.0,11961.0,13796.0
Borrowings,,1306.0,658.0,659.0,998.0,944.0,1616.0,1707.0,2668.0,1397.0,1418.0,1381.0,2047.0
Other Liabilities,,986.0,1184.0,1440.0,1803.0,1824.0,2169.0,2435.0,2763.0,3315.0,3844.0,4325.0,4991.0
Total Liabilities,,5291.0,5534.0,6568.0,7664.0,8208.0,9946.0,11519.0,14069.0,13757.0,15575.0,17691.0,20858.0
Fixed Assets,,1374.0,1450.0,1797.0,2284.0,2530.0,2908.0,2793.0,2902.0,2683.0,2873.0,2852.0,3871.0
CWIP,,111.0,172.0,299.0,381.0,493.0,363.0,393.0,339.0,323.0,159.0,548.0,282.0
Investments,,481.0,509.0,553.0,444.0,324.0,261.0,333.0,371.0,622.0,484.0,1846.0,1869.0
Other Assets,,3325.0,3403.0,3918.0,4555.0,4861.0,6413.0,8000.0,10457.0,10129.0,12060.0,12445.0,14836.0
Total Assets,,5291.0,5534.0,6568.0,7664.0,8208.0,9946.0,11519.0,14069.0,13757.0,15575.0,17691.0,20858.0
Land,Fixed Assets,142.0,151.0,173.0,201.0,202.0,202.0,201.0,137.0,375.0,192.0,152.0,153.0
Building,Fixed Assets,313.0,299.0,422.0,619.0,726.0,863.0,881.0,967.0,879.0,1348.0,1420.0,1930.0
Plant Machinery,Fixed Assets,737.0,590.0,857.0,1183.0,1438.0,1631.0,1751.0,2004.0,1930.0,2083.0,2139.0,2544.0
Equipments,Fixed Assets,37.0,26.0,46.0,79.0,98.0,116.0,129.0,149.0,139.0,169.0,201.0,244.0
Furniture n fittings,Fixed Assets,39.0,23.0,27.0,40.0,45.0,46.0,53.0,61.0,61.0,72.0,81.0,94.0
Vehicles,Fixed Assets,29.0,21.0,28.0,36.0,40.0,40.0,40.0,42.0,40.0,45.0,63.0,65.0
Intangible Assets,Fixed Assets,413.0,417.0,392.0,402.0,422.0,518.0,515.0,523.0,537.0,534.0,546.0,649.0
Other fixed assets,Fixed Assets,35.0,12.0,32.0,44.0,56.0,190.0,198.0,302.0,89.0,101.0,117.0,392.0
Gross Block,Fixed Assets,1745.0,1539.0,1977.0,2604.0,3026.0,3607.0,3769.0,4186.0,4050.0,4544.0,4720.0,6070.0
Accumulated Depreciation,Fixed Assets,371.0,89.0,180.0,320.0,496.0,699.0,976.0,1284.0,1367.0,1671.0,1867.0,2199.0
Long term Borrowings,Borrowings,33.0,123.0,182.0,131.0,231.0,74.0,34.0,9.0,0.0,40.0,311.0,492.0
Short term Borrowings,Borrowings,1129.0,464.0,472.0,761.0,671.0,1504.0,1636.0,2571.0,1307.0,1174.0,752.0,1131.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,90.0,204.0,318.0,424.0
Other Borrowings,Borrowings,144.0,70.0,6.0,106.0,42.0,38.0,37.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,86.0,95.0,115.0,122.0,133.0,148.0,181.0,209.0,390.0,402.0,449.0,529.0
Trade Payables,Other Liabilities,466.0,580.0,741.0,961.0,962.0,954.0,1069.0,1173.0,1165.0,1748.0,1937.0,2244.0
Advance from Customers,Other Liabilities,8.0,22.0,33.0,34.0,30.0,37.0,40.0,73.0,74.0,112.0,220.0,235.0
Other liability items,Other Liabilities,426.0,487.0,551.0,686.0,699.0,1030.0,1145.0,1307.0,1686.0,1582.0,1719.0,1983.0
Inventories,Other Assets,784.0,909.0,1206.0,1442.0,1500.0,1819.0,2312.0,3006.0,2608.0,2661.0,2922.0,3333.0
Trade receivables,Other Assets,527.0,568.0,714.0,1080.0,1248.0,1649.0,1607.0,1885.0,2132.0,2253.0,2466.0,2979.0
Cash Equivalents,Other Assets,791.0,781.0,399.0,577.0,662.0,1092.0,1990.0,2579.0,2617.0,1579.0,1563.0,1733.0
Loans n Advances,Other Assets,56.0,56.0,68.0,99.0,88.0,114.0,68.0,134.0,173.0,181.0,199.0,202.0
Other asset items,Other Assets,1168.0,1089.0,1532.0,1356.0,1363.0,1738.0,2022.0,2854.0,2600.0,5385.0,5294.0,6589.0
