,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,1377.0,1358.0,1358.0,1369.0,1369.0,221.0,497.0,497.0,497.0,497.0,497.0,497.0
Reserves,,2265.0,3197.0,331.0,-18044.0,-15986.0,-12541.0,-18166.0,-18404.0,-19397.0,-20272.0,-21127.0,-22024.0
Borrowings,,18009.0,22037.0,25506.0,27415.0,25346.0,29390.0,24186.0,24341.0,24163.0,26015.0,25963.0,26106.0
Other Liabilities,,8290.0,6791.0,5511.0,7962.0,7286.0,839.0,1526.0,1793.0,2199.0,1168.0,1397.0,1897.0
Total Liabilities,,29941.0,33383.0,32706.0,18702.0,18015.0,17908.0,8043.0,8228.0,7461.0,7407.0,6730.0,6475.0
Fixed Assets,,8687.0,16645.0,16763.0,16063.0,15572.0,15033.0,6043.0,5820.0,5520.0,5215.0,4762.0,4692.0
CWIP,,100.0,41.0,6.0,4.0,1.0,0.0,11.0,8.0,15.0,18.0,35.0,98.0
Investments,,1303.0,1189.0,184.0,95.0,96.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,,19852.0,15508.0,15753.0,2540.0,2346.0,2780.0,1989.0,2400.0,1927.0,2174.0,1933.0,1685.0
Total Assets,,29941.0,33383.0,32706.0,18702.0,18015.0,17908.0,8043.0,8228.0,7461.0,7407.0,6730.0,6475.0
Land,Fixed Assets,132.15,4624.77,4661.04,4663.38,4664.15,4664.16,4664.16,4664.7,4689.36,4687.96,4618.46,
Building,Fixed Assets,2906.3,3258.47,3317.49,3268.13,3277.1,3277.08,3279.91,3280.02,3286.91,3287.35,3139.82,
Plant Machinery,Fixed Assets,10429.94,9401.92,9072.68,9091.16,9238.41,9235.68,9444.99,9557.24,9549.35,9544.2,9462.0,
Equipments,Fixed Assets,103.86,278.31,63.01,62.47,61.91,7.34,7.48,7.44,6.67,65.98,70.95,
Computers,Fixed Assets,37.88,14.27,5.95,5.49,5.12,5.87,9.06,12.19,11.45,11.51,11.5,
Furniture n fittings,Fixed Assets,463.78,115.61,156.96,52.55,50.57,105.48,107.43,109.06,102.09,45.79,37.62,
Vehicles,Fixed Assets,28.11,5.05,12.35,11.95,11.29,11.1,10.94,11.14,10.84,9.86,2.85,
Intangible Assets,Fixed Assets,107.01,12.52,10.9,13.42,12.08,12.08,12.45,12.45,12.45,12.45,12.45,4.61
Other fixed assets,Fixed Assets,29.28,3.89,910.25,846.62,860.56,860.56,860.33,860.34,860.28,866.12,855.46,
Gross Block,Fixed Assets,14238.31,17714.81,18210.63,18015.17,18181.19,18179.35,18396.75,18514.58,18529.4,18531.22,18211.11,
Accumulated Depreciation,Fixed Assets,5551.76,1070.08,1447.67,1952.35,2608.78,3146.32,12353.65,12695.08,13009.87,13316.33,13449.4,
Long term Borrowings,Borrowings,8491.0,8709.0,9262.0,7367.0,6125.0,28041.0,22765.0,22435.0,21831.0,24405.0,25700.0,25616.0
Short term Borrowings,Borrowings,6818.0,11563.0,14183.0,17846.0,17675.0,1073.0,1152.0,1906.0,2321.0,1602.0,261.0,489.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,2.0,1.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,0.0,12.0,12.0,239.0,240.0,3541.0,3543.0,0.0
Other Borrowings,Borrowings,2700.0,1765.0,2061.0,2202.0,1546.0,263.0,256.0,-239.0,-240.0,-3541.0,-3543.0,
Trade Payables,Other Liabilities,3649.0,1378.0,1456.0,1063.0,1058.0,464.0,1095.0,1326.0,1625.0,489.0,411.0,714.0
Advance from Customers,Other Liabilities,365.0,387.0,200.0,225.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,4275.0,5026.0,3854.0,6675.0,6000.0,375.0,431.0,468.0,574.0,679.0,986.0,1182.0
Inventories,Other Assets,8543.0,8300.0,3330.0,510.0,421.0,420.0,964.0,1284.0,1039.0,942.0,866.0,886.0
Trade receivables,Other Assets,7677.0,6041.0,10070.0,310.0,240.0,241.0,348.0,504.0,345.0,465.0,440.0,318.0
Cash Equivalents,Other Assets,694.0,169.0,98.0,67.0,38.0,489.0,271.0,59.0,60.0,217.0,72.0,123.0
Loans n Advances,Other Assets,2180.0,602.0,483.0,35.0,-18.0,32.0,-24.0,-20.0,-25.0,-25.0,-19.0,4.0
Other asset items,Other Assets,758.0,396.0,1772.0,1618.0,1666.0,1597.0,430.0,573.0,508.0,576.0,574.0,354.0
