,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,310.0,310.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,440.0,493.0,494.0
Reserves,,9760.0,9961.0,19424.0,20275.0,21973.0,23681.0,22360.0,24957.0,31301.0,41012.0,53086.0,58853.0
Borrowings,,34.0,35.0,29.0,24.0,40.0,41.0,471.0,477.0,523.0,699.0,788.0,866.0
Other Liabilities,,3774.0,3827.0,12974.0,14813.0,14981.0,16059.0,16490.0,19374.0,19501.0,22916.0,26735.0,29361.0
Total Liabilities,,13878.0,14133.0,32824.0,35509.0,37391.0,40178.0,39718.0,45205.0,51721.0,65067.0,81102.0,89574.0
Fixed Assets,,6310.0,6170.0,21410.0,20898.0,20636.0,20701.0,20486.0,22254.0,23551.0,32194.0,42766.0,58263.0
CWIP,,692.0,416.0,582.0,667.0,1008.0,1554.0,2422.0,2168.0,2526.0,2658.0,9858.0,9121.0
Investments,,2097.0,2149.0,175.0,153.0,133.0,150.0,167.0,198.0,214.0,849.0,1912.0,113.0
Other Assets,,4780.0,5398.0,10657.0,13791.0,15613.0,17773.0,16643.0,20585.0,25430.0,29365.0,26566.0,22077.0
Total Assets,,13878.0,14133.0,32824.0,35509.0,37391.0,40178.0,39718.0,45205.0,51721.0,65067.0,81102.0,89574.0
Land,Fixed Assets,,937.0,1355.0,1488.0,1692.0,1898.0,2100.0,2216.0,2434.0,2781.0,4299.0,5533.0
Building,Fixed Assets,,1961.0,3031.0,3082.0,3154.0,3281.0,3366.0,3645.0,3872.0,4736.0,5889.0,6725.0
Plant Machinery,Fixed Assets,,8445.0,0.0,10057.0,10516.0,11207.0,11581.0,13864.0,15975.0,20912.0,25637.0,34751.0
Ships Vessels,Fixed Assets,,250.0,126.0,127.0,127.0,127.0,442.0,444.0,466.0,509.0,632.0,646.0
Equipments,Fixed Assets,,146.0,9764.0,110.0,123.0,138.0,146.0,170.0,192.0,200.0,245.0,357.0
Furniture n fittings,Fixed Assets,,52.0,44.0,47.0,51.0,55.0,60.0,65.0,77.0,368.0,391.0,420.0
Railway sidings,Fixed Assets,,84.0,242.0,294.0,302.0,308.0,324.0,444.0,486.0,754.0,530.0,557.0
Vehicles,Fixed Assets,,130.0,113.0,143.0,168.0,208.0,228.0,240.0,268.0,244.0,271.0,308.0
Intangible Assets,Fixed Assets,,47.0,8117.0,8117.0,8117.0,8117.0,8112.0,8106.0,8203.0,9136.0,11378.0,14014.0
Other fixed assets,Fixed Assets,,68.0,75.0,102.0,178.0,260.0,276.0,296.0,364.0,2765.0,6103.0,10968.0
Gross Block,Fixed Assets,,12119.0,22869.0,23567.0,24427.0,25598.0,26636.0,29488.0,32336.0,42406.0,55374.0,74279.0
Accumulated Depreciation,Fixed Assets,,5949.0,1458.0,2669.0,3791.0,4897.0,6150.0,7235.0,8784.0,10212.0,12607.0,16016.0
Long term Borrowings,Borrowings,,24.0,16.0,24.0,40.0,35.0,44.0,44.0,34.0,19.0,14.0,45.0
Short term Borrowings,Borrowings,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,18.0,12.0,8.0
Lease Liabilities,Borrowings,,0.0,0.0,0.0,0.0,0.0,427.0,430.0,475.0,662.0,762.0,813.0
Other Borrowings,Borrowings,,11.0,13.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,,1.0,4370.0,4608.0,5231.0,5737.0,6341.0,7145.0,7058.0,9391.0,10368.0,12499.0
Trade Payables,Other Liabilities,,680.0,2068.0,2816.0,3006.0,2333.0,2213.0,2913.0,2774.0,2964.0,2995.0,4185.0
Advance from Customers,Other Liabilities,,52.0,285.0,289.0,314.0,236.0,279.0,395.0,278.0,527.0,420.0,240.0
Other liability items,Other Liabilities,,3094.0,6251.0,7100.0,6430.0,7754.0,7656.0,8922.0,9390.0,10034.0,12952.0,12437.0
Inventories,Other Assets,,898.0,2164.0,2458.0,2958.0,2096.0,1649.0,2738.0,3273.0,3609.0,4248.0,4552.0
Trade receivables,Other Assets,,290.0,924.0,932.0,1305.0,1069.0,561.0,619.0,1154.0,1190.0,1590.0,1868.0
Cash Equivalents,Other Assets,,2853.0,4564.0,6232.0,6439.0,9355.0,8936.0,11693.0,2961.0,10363.0,6172.0,959.0
Loans n Advances,Other Assets,,0.0,35.0,51.0,49.0,65.0,163.0,52.0,84.0,1780.0,2481.0,2399.0
Other asset items,Other Assets,,1356.0,2970.0,4118.0,4863.0,5188.0,5334.0,5483.0,17959.0,12425.0,12075.0,12299.0
