,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,40.0,40.0,40.0
Reserves,,691.0,815.0,998.0,1070.0,1164.0,1128.0,1361.0,1677.0,2198.0,3836.0,4463.0,5353.0
Borrowings,,494.0,384.0,305.0,363.0,253.0,372.0,325.0,359.0,376.0,476.0,585.0,956.0
Other Liabilities,,1732.0,1680.0,2107.0,2805.0,3501.0,3116.0,3275.0,4533.0,5605.0,5264.0,6175.0,7362.0
Total Liabilities,,2956.0,2919.0,3448.0,4276.0,4957.0,4654.0,4999.0,6608.0,8218.0,9616.0,11264.0,13711.0
Fixed Assets,,395.0,398.0,574.0,649.0,709.0,885.0,878.0,881.0,950.0,1193.0,1540.0,1717.0
CWIP,,10.0,56.0,28.0,20.0,103.0,55.0,29.0,38.0,99.0,122.0,130.0,539.0
Investments,,5.0,112.0,119.0,0.0,187.0,0.0,60.0,31.0,54.0,11.0,219.0,59.0
Other Assets,,2546.0,2352.0,2728.0,3608.0,3958.0,3714.0,4032.0,5657.0,7114.0,8290.0,9373.0,11396.0
Total Assets,,2956.0,2919.0,3448.0,4276.0,4957.0,4654.0,4999.0,6608.0,8218.0,9616.0,11264.0,13711.0
Land,Fixed Assets,38.01,36.55,36.55,37.27,37.55,49.31,49.86,50.34,50.41,122.61,233.07,
Building,Fixed Assets,130.95,113.1,168.41,205.66,243.79,273.62,297.54,315.2,347.39,418.59,558.74,
Plant Machinery,Fixed Assets,388.03,251.62,405.63,488.5,565.02,709.99,744.86,802.0,916.31,1106.84,1406.46,
Equipments,Fixed Assets,18.91,0.0,0.0,0.0,0.0,33.28,42.65,45.46,48.68,52.5,55.21,
Furniture n fittings,Fixed Assets,10.18,10.78,4.6,5.88,6.73,10.21,13.98,14.36,15.41,16.01,17.25,
Vehicles,Fixed Assets,8.23,6.38,7.29,8.17,9.12,9.65,9.49,10.36,10.86,13.83,13.57,
Intangible Assets,Fixed Assets,21.72,12.74,10.08,7.42,4.76,0.0,0.0,0.0,0.0,0.0,0.0,4.6
Other fixed assets,Fixed Assets,8.33,3.72,17.36,23.09,30.84,66.92,77.42,88.78,100.82,106.37,9.95,
Gross Block,Fixed Assets,624.36,434.89,649.92,775.99,897.81,1152.98,1235.8,1326.5,1489.88,1836.75,2294.25,
Accumulated Depreciation,Fixed Assets,229.8,37.04,76.05,127.47,188.97,268.32,357.89,445.26,539.4,643.92,753.85,
Long term Borrowings,Borrowings,95.0,83.0,91.0,162.0,130.0,188.0,192.0,195.0,151.0,334.0,298.0,433.0
Short term Borrowings,Borrowings,387.0,264.0,186.0,170.0,88.0,94.0,73.0,97.0,153.0,71.0,172.0,408.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,54.0,61.0,67.0,72.0,70.0,115.0,115.0
Other Borrowings,Borrowings,13.0,37.0,28.0,31.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,1573.0,1396.0,1772.0,2551.0,3264.0,2848.0,3038.0,4083.0,5206.0,4813.0,5549.0,6856.0
Other liability items,Other Liabilities,158.0,284.0,335.0,254.0,238.0,268.0,237.0,450.0,399.0,451.0,626.0,507.0
Inventories,Other Assets,944.0,770.0,994.0,1212.0,1283.0,1331.0,1563.0,2139.0,2576.0,2864.0,3310.0,4153.0
Trade receivables,Other Assets,1267.0,1090.0,1254.0,1734.0,2142.0,1899.0,1861.0,2531.0,3198.0,3929.0,4078.0,5334.0
Cash Equivalents,Other Assets,100.0,134.0,123.0,274.0,225.0,176.0,222.0,266.0,530.0,646.0,761.0,732.0
Loans n Advances,Other Assets,0.0,43.0,0.0,159.0,80.0,23.0,59.0,190.0,148.0,295.0,492.0,37.0
Other asset items,Other Assets,234.0,315.0,357.0,228.0,228.0,285.0,327.0,531.0,662.0,555.0,731.0,1139.0
