,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,19.0,19.0
Reserves,,-162.0,2.0,-20.0,-65.0,-378.0,329.0,417.0,503.0,646.0,912.0,1223.0,1630.0
Borrowings,,188.0,204.0,144.0,185.0,209.0,441.0,664.0,639.0,758.0,984.0,1163.0,1444.0
Other Liabilities,,1092.0,1207.0,1163.0,1148.0,1203.0,1033.0,1135.0,1264.0,1609.0,1397.0,1526.0,1605.0
Total Liabilities,,1136.0,1430.0,1305.0,1286.0,1051.0,1820.0,2233.0,2424.0,3032.0,3311.0,3931.0,4698.0
Fixed Assets,,333.0,345.0,336.0,308.0,254.0,544.0,527.0,539.0,584.0,577.0,1349.0,1499.0
CWIP,,29.0,110.0,5.0,21.0,9.0,54.0,204.0,254.0,262.0,504.0,55.0,51.0
Investments,,63.0,146.0,243.0,267.0,180.0,274.0,290.0,268.0,288.0,321.0,344.0,371.0
Other Assets,,711.0,828.0,721.0,689.0,608.0,947.0,1212.0,1363.0,1897.0,1909.0,2181.0,2778.0
Total Assets,,1136.0,1430.0,1305.0,1286.0,1051.0,1820.0,2233.0,2424.0,3032.0,3311.0,3931.0,4698.0
Land,Fixed Assets,19.0,20.0,20.0,21.0,17.0,24.0,22.0,22.0,21.0,24.0,25.0,
Building,Fixed Assets,103.0,107.0,99.0,103.0,72.0,348.0,325.0,402.0,471.0,457.0,666.0,
Plant Machinery,Fixed Assets,358.0,372.0,336.0,334.0,308.0,382.0,379.0,363.0,355.0,385.0,956.0,
Equipments,Fixed Assets,11.0,13.0,13.0,14.0,12.0,14.0,15.0,16.0,15.0,17.0,18.0,
Furniture n fittings,Fixed Assets,16.0,19.0,20.0,20.0,17.0,67.0,69.0,36.0,37.0,37.0,40.0,
Vehicles,Fixed Assets,12.0,42.0,14.0,16.0,11.0,295.0,287.0,316.0,343.0,355.0,377.0,
Intangible Assets,Fixed Assets,0.0,0.0,11.0,11.0,10.0,41.0,41.0,39.0,39.0,47.0,47.0,165.0
Other fixed assets,Fixed Assets,4.0,4.0,9.0,9.0,36.0,41.0,69.0,73.0,99.0,117.0,156.0,
Gross Block,Fixed Assets,523.0,577.0,521.0,526.0,483.0,1212.0,1206.0,1267.0,1381.0,1439.0,2287.0,
Accumulated Depreciation,Fixed Assets,190.0,232.0,185.0,218.0,229.0,668.0,679.0,727.0,797.0,863.0,938.0,
Long term Borrowings,Borrowings,48.0,99.0,63.0,106.0,153.0,391.0,552.0,529.0,603.0,687.0,856.0,1019.0
Short term Borrowings,Borrowings,109.0,80.0,59.0,69.0,47.0,40.0,111.0,107.0,153.0,294.0,304.0,422.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0
Other Borrowings,Borrowings,31.0,24.0,23.0,10.0,9.0,10.0,-0.0,0.0,0.0,0.0,-0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,62.0,-0.0,-0.0,-0.0,-7.0,-13.0,-20.0,-4.0
Trade Payables,Other Liabilities,194.0,274.0,205.0,160.0,119.0,138.0,366.0,354.0,564.0,554.0,616.0,934.0
Advance from Customers,Other Liabilities,25.0,51.0,33.0,48.0,55.0,106.0,176.0,254.0,285.0,214.0,272.0,
Other liability items,Other Liabilities,873.0,882.0,925.0,939.0,967.0,790.0,593.0,656.0,767.0,642.0,657.0,675.0
Inventories,Other Assets,208.0,285.0,254.0,245.0,161.0,224.0,289.0,414.0,532.0,520.0,654.0,585.0
Trade receivables,Other Assets,269.0,296.0,234.0,206.0,104.0,185.0,288.0,310.0,490.0,269.0,547.0,1001.0
Cash Equivalents,Other Assets,58.0,69.0,45.0,42.0,61.0,47.0,44.0,33.0,78.0,145.0,122.0,329.0
Loans n Advances,Other Assets,87.0,77.0,97.0,72.0,135.0,215.0,327.0,331.0,462.0,585.0,514.0,36.0
Other asset items,Other Assets,89.0,101.0,91.0,124.0,148.0,277.0,263.0,275.0,335.0,390.0,344.0,827.0
