,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,19.0,19.0,19.0
Reserves,,275.0,382.0,433.0,484.0,482.0,523.0,541.0,568.0,625.0,947.0,1079.0,1296.0
Borrowings,,92.0,70.0,138.0,95.0,17.0,60.0,122.0,70.0,186.0,238.0,424.0,288.0
Other Liabilities,,111.0,82.0,61.0,80.0,99.0,296.0,265.0,313.0,228.0,270.0,329.0,386.0
Total Liabilities,,495.0,551.0,649.0,676.0,615.0,895.0,945.0,969.0,1057.0,1474.0,1851.0,1988.0
Fixed Assets,,142.0,137.0,150.0,194.0,178.0,161.0,153.0,160.0,167.0,170.0,229.0,267.0
CWIP,,0.0,1.0,37.0,1.0,2.0,12.0,0.0,0.0,2.0,13.0,3.0,9.0
Investments,,0.0,0.0,57.0,126.0,35.0,26.0,30.0,14.0,11.0,24.0,32.0,50.0
Other Assets,,354.0,413.0,405.0,355.0,400.0,696.0,762.0,795.0,877.0,1267.0,1587.0,1662.0
Total Assets,,495.0,551.0,649.0,676.0,615.0,895.0,945.0,969.0,1057.0,1474.0,1851.0,1988.0
Land,Fixed Assets,19.02,19.02,19.02,19.87,20.46,20.46,20.46,20.52,23.56,23.96,23.96,
Building,Fixed Assets,52.39,54.84,29.16,67.84,68.04,68.05,76.62,79.1,79.19,79.19,94.47,
Plant Machinery,Fixed Assets,147.2,157.61,98.64,121.76,130.72,136.91,141.59,162.56,186.76,212.0,268.13,
Equipments,Fixed Assets,1.4,1.9,0.73,2.66,3.05,3.22,3.52,3.81,3.9,3.94,4.88,
Computers,Fixed Assets,15.68,20.48,7.16,9.28,3.65,4.71,8.88,11.69,13.17,15.67,21.31,
Furniture n fittings,Fixed Assets,16.53,17.27,18.44,23.46,31.06,31.78,26.01,27.43,28.1,16.65,25.8,
Vehicles,Fixed Assets,2.31,2.18,0.93,0.8,1.21,1.1,1.07,0.89,0.98,1.16,1.18,
Wind turbines,Fixed Assets,14.58,14.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95
Other fixed assets,Fixed Assets,0.01,-0.01,-0.03,-0.01,0.01,0.01,3.54,4.42,4.98,8.79,15.18,
Gross Block,Fixed Assets,269.12,287.87,174.05,245.66,258.2,266.24,281.69,310.42,340.64,361.36,454.91,
Accumulated Depreciation,Fixed Assets,127.51,151.03,24.32,51.18,80.03,105.53,128.97,150.78,173.81,191.13,225.96,
Long term Borrowings,Borrowings,33.0,56.0,67.0,14.0,5.0,0.0,0.0,3.0,3.0,15.0,39.0,63.0
Short term Borrowings,Borrowings,49.0,1.0,64.0,22.0,3.0,55.0,122.0,67.0,183.0,222.0,384.0,224.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Other Borrowings,Borrowings,11.0,13.0,7.0,59.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,75.0,41.0,18.0,15.0,25.0,61.0,38.0,55.0,46.0,84.0,77.0,114.0
Advance from Customers,Other Liabilities,0.0,0.0,18.0,0.0,0.0,203.0,195.0,181.0,70.0,78.0,96.0,
Other liability items,Other Liabilities,36.0,42.0,26.0,65.0,74.0,31.0,33.0,76.0,112.0,108.0,157.0,272.0
Inventories,Other Assets,173.0,122.0,130.0,107.0,140.0,284.0,330.0,419.0,419.0,515.0,616.0,616.0
Trade receivables,Other Assets,112.0,177.0,220.0,190.0,192.0,249.0,267.0,205.0,284.0,505.0,786.0,688.0
Cash Equivalents,Other Assets,29.0,87.0,2.0,30.0,28.0,53.0,43.0,77.0,111.0,131.0,98.0,253.0
Loans n Advances,Other Assets,20.0,13.0,16.0,7.0,17.0,59.0,65.0,58.0,33.0,79.0,49.0,22.0
Other asset items,Other Assets,19.0,14.0,37.0,21.0,23.0,51.0,59.0,35.0,30.0,38.0,38.0,83.0
