,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,20.0,22.0,22.0,24.0,24.0,23.0,23.0,23.0,23.0,25.0,54.0,54.0
Reserves,,464.0,572.0,302.0,386.0,474.0,521.0,314.0,374.0,475.0,905.0,1450.0,1684.0
Borrowings,,209.0,195.0,110.0,73.0,115.0,154.0,124.0,61.0,88.0,81.0,31.0,61.0
Other Liabilities,,132.0,136.0,267.0,331.0,305.0,279.0,154.0,189.0,263.0,386.0,414.0,536.0
Total Liabilities,,825.0,925.0,701.0,814.0,917.0,976.0,615.0,647.0,849.0,1398.0,1948.0,2335.0
Fixed Assets,,201.0,225.0,370.0,310.0,296.0,317.0,143.0,144.0,213.0,449.0,732.0,892.0
CWIP,,105.0,106.0,23.0,28.0,97.0,134.0,13.0,14.0,6.0,23.0,20.0,0.0
Investments,,4.0,6.0,3.0,3.0,18.0,42.0,36.0,40.0,36.0,0.0,0.0,0.0
Other Assets,,515.0,588.0,305.0,474.0,507.0,484.0,423.0,448.0,594.0,926.0,1196.0,1443.0
Total Assets,,825.0,925.0,701.0,814.0,917.0,976.0,615.0,647.0,849.0,1398.0,1948.0,2335.0
Building,Fixed Assets,11.0,12.0,30.0,29.0,32.0,64.0,56.0,37.0,47.0,52.0,100.0,
Plant Machinery,Fixed Assets,10.0,32.0,44.0,43.0,34.0,28.0,27.0,33.0,62.0,67.0,69.0,
Equipments,Fixed Assets,4.0,4.0,4.0,4.0,5.0,5.0,6.0,4.0,5.0,6.0,24.0,
Computers,Fixed Assets,358.0,355.0,414.0,412.0,412.0,181.0,77.0,140.0,160.0,173.0,228.0,
Furniture n fittings,Fixed Assets,6.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,9.0,12.0,
Vehicles,Fixed Assets,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,
Intangible Assets,Fixed Assets,202.0,212.0,254.0,223.0,236.0,213.0,66.0,68.0,86.0,316.0,497.0,748.0
Other fixed assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,
Gross Block,Fixed Assets,592.0,623.0,753.0,719.0,728.0,501.0,243.0,292.0,370.0,626.0,931.0,
Accumulated Depreciation,Fixed Assets,391.0,398.0,383.0,410.0,432.0,184.0,100.0,148.0,157.0,177.0,200.0,
Long term Borrowings,Borrowings,53.83,32.12,32.94,19.68,56.15,55.53,49.57,32.16,29.0,4.15,4.44,1.48
Short term Borrowings,Borrowings,123.99,119.27,49.64,33.05,35.27,40.39,64.18,25.13,45.64,65.04,13.01,49.88
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,24.65,10.33,4.06,13.67,12.06,13.06,9.32
Other Borrowings,Borrowings,31.18,43.29,27.14,20.46,23.22,33.67,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,1.0,1.0,95.0,121.0,44.0,88.0,3.0,7.0,17.0,16.0,5.0,7.0
Trade Payables,Other Liabilities,61.0,50.0,54.0,67.0,141.0,78.0,54.0,73.0,120.0,146.0,167.0,123.0
Advance from Customers,Other Liabilities,2.0,5.0,9.0,14.0,5.0,7.0,1.0,9.0,1.0,2.0,6.0,
Other liability items,Other Liabilities,69.0,79.0,109.0,129.0,114.0,106.0,96.0,100.0,124.0,222.0,237.0,407.0
Inventories,Other Assets,7.0,7.0,9.0,16.0,29.0,27.0,26.0,21.0,28.0,33.0,33.0,33.0
Trade receivables,Other Assets,183.0,182.0,126.0,128.0,190.0,133.0,103.0,130.0,199.0,291.0,306.0,377.0
Cash Equivalents,Other Assets,25.0,32.0,37.0,135.0,47.0,32.0,39.0,58.0,43.0,269.0,362.0,205.0
Loans n Advances,Other Assets,114.0,135.0,22.0,19.0,27.0,24.0,47.0,103.0,143.0,101.0,142.0,88.0
Other asset items,Other Assets,186.0,233.0,111.0,177.0,214.0,267.0,208.0,136.0,180.0,232.0,354.0,741.0
