,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,50.0,54.0,109.0,115.0,115.0,120.0,120.0,121.0,121.0,124.0,124.0,622.0
Reserves,,4750.0,7373.0,9491.0,15733.0,19582.0,32208.0,36798.0,43592.0,54251.0,76572.0,96569.0,113377.0
Borrowing,,26655.0,37025.0,49250.0,66557.0,101588.0,129806.0,131634.0,165232.0,216690.0,293346.0,361249.0,435112.0
Other Liabilities,,1325.0,2522.0,4881.0,2393.0,2948.0,2257.0,2918.0,3561.0,4164.0,5700.0,8185.0,10841.0
Total Liabilities,,32780.0,46973.0,63731.0,84798.0,124233.0,164391.0,171470.0,212505.0,275226.0,375742.0,466127.0,559952.0
Fixed Assets,,252.0,290.0,366.0,470.0,695.0,1321.0,1316.0,1716.0,2308.0,3250.0,3780.0,3947.0
CWIP,,0.0,0.0,0.0,0.0,0.0,0.0,51.0,34.0,80.0,43.0,41.0,119.0
Investments,,326.0,1029.0,4070.0,3139.0,8599.0,17544.0,18397.0,12246.0,22752.0,30881.0,34441.0,30578.0
Other Assets,,32201.0,45654.0,59295.0,81189.0,114939.0,145526.0,151707.0,198509.0,250087.0,341568.0,427865.0,525309.0
Total Assets,,32780.0,46973.0,63731.0,84798.0,124233.0,164391.0,171470.0,212505.0,275226.0,375742.0,466127.0,559952.0
Land,Fixed Assets,2.0,2.0,2.0,2.0,2.0,101.0,105.0,197.0,272.0,273.0,273.0,273.0
Building,Fixed Assets,180.0,195.0,207.0,222.0,318.0,772.0,850.0,1080.0,1332.0,1912.0,2213.0,2533.0
Equipments,Fixed Assets,29.0,38.0,53.0,82.0,139.0,204.0,211.0,223.0,268.0,343.0,432.0,475.0
Computers,Fixed Assets,55.0,78.0,94.0,124.0,165.0,265.0,278.0,347.0,465.0,600.0,704.0,819.0
Furniture n fittings,Fixed Assets,36.0,49.0,78.0,117.0,171.0,214.0,215.0,197.0,227.0,300.0,340.0,370.0
Vehicles,Fixed Assets,11.0,17.0,24.0,41.0,55.0,85.0,100.0,143.0,242.0,373.0,522.0,618.0
Intangible Assets,Fixed Assets,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Other fixed assets,Fixed Assets,31.0,44.0,130.0,198.0,279.0,389.0,515.0,674.0,988.0,1429.0,1786.0,2118.0
Gross Block,Fixed Assets,347.0,426.0,592.0,789.0,1133.0,2032.0,2278.0,2864.0,3797.0,5234.0,6275.0,7208.0
Accumulated Depreciation,Fixed Assets,94.0,136.0,226.0,319.0,438.0,711.0,962.0,1148.0,1490.0,1984.0,2494.0,3261.0
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2244.0,2987.0
Trade Payables,Other Liabilities,274.0,335.0,309.0,446.0,564.0,762.0,884.0,1169.0,1452.0,2064.0,1878.0,2105.0
Other liability items,Other Liabilities,1052.0,2187.0,4571.0,1947.0,2384.0,1495.0,2034.0,2391.0,2712.0,3636.0,4063.0,5750.0
Trade receivables,Other Assets,0.0,0.0,0.0,585.0,809.0,953.0,1097.0,1266.0,1300.0,1733.0,1913.0,1908.0
Cash Equivalents,Other Assets,230.0,1331.0,326.0,340.0,349.0,1383.0,2164.0,3680.0,4305.0,10624.0,13544.0,15755.0
Loans n Advances,Other Assets,13342.0,18869.0,26115.0,232.0,188.0,304.0,254.0,265.0,229.0,373.0,674.0,343.0
Other asset items,Other Assets,18630.0,25454.0,32854.0,80032.0,113593.0,142887.0,148191.0,193298.0,244254.0,328837.0,411734.0,507302.0
