,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,29.0,29.0
Reserves,,605.0,674.0,705.0,793.0,818.0,696.0,814.0,967.0,987.0,1037.0,1274.0,1656.0
Borrowings,,36.0,36.0,38.0,34.0,40.0,92.0,14.0,115.0,418.0,423.0,573.0,614.0
Other Liabilities,,164.0,232.0,211.0,356.0,322.0,287.0,344.0,405.0,435.0,508.0,868.0,760.0
Total Liabilities,,819.0,956.0,969.0,1197.0,1195.0,1089.0,1187.0,1502.0,1855.0,1982.0,2744.0,3058.0
Fixed Assets,,227.0,221.0,192.0,191.0,184.0,193.0,190.0,297.0,359.0,454.0,516.0,472.0
CWIP,,11.0,3.0,4.0,13.0,13.0,3.0,1.0,15.0,18.0,10.0,5.0,11.0
Investments,,1.0,1.0,91.0,24.0,69.0,9.0,1.0,1.0,0.0,0.0,38.0,79.0
Other Assets,,581.0,731.0,682.0,969.0,929.0,883.0,995.0,1190.0,1477.0,1518.0,2185.0,2496.0
Total Assets,,819.0,956.0,969.0,1197.0,1195.0,1089.0,1187.0,1502.0,1855.0,1982.0,2744.0,3058.0
Land,Fixed Assets,18.1,18.57,16.06,16.47,15.4,15.56,15.64,117.53,8.7,8.7,8.7,
Building,Fixed Assets,132.93,141.23,121.64,134.23,125.15,132.04,135.39,142.71,177.33,191.47,201.17,
Plant Machinery,Fixed Assets,386.95,412.85,405.19,455.19,441.21,477.05,484.15,426.36,449.17,492.05,533.01,
Equipments,Fixed Assets,9.73,14.56,14.91,15.72,15.84,16.46,16.65,17.13,16.36,17.0,17.18,
Furniture n fittings,Fixed Assets,30.56,36.07,32.96,39.65,37.76,35.5,35.73,38.24,47.42,53.14,59.17,
Vehicles,Fixed Assets,10.15,10.49,11.65,11.93,5.31,5.47,6.11,7.3,8.17,9.32,13.94,
Intangible Assets,Fixed Assets,1.31,1.41,1.33,1.48,1.41,21.14,24.67,5.03,4.75,4.78,4.92,6.72
Other fixed assets,Fixed Assets,5.03,5.66,6.07,6.92,6.8,7.45,8.06,28.83,192.25,295.19,385.85,
Gross Block,Fixed Assets,594.76,640.84,609.81,681.59,648.88,710.67,726.4,783.13,904.15,1071.65,1223.94,
Accumulated Depreciation,Fixed Assets,368.14,419.57,417.33,490.15,464.63,517.25,536.62,486.62,545.09,617.6,708.22,
Long term Borrowings,Borrowings,8.0,0.0,0.0,1.0,6.0,6.0,6.0,5.0,38.0,36.0,25.0,22.0
Short term Borrowings,Borrowings,10.0,36.0,38.0,33.0,33.0,85.0,8.0,15.0,253.0,186.0,294.0,406.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,126.0,201.0,255.0,186.0
Other Borrowings,Borrowings,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,65.0,122.0,96.0,182.0,256.0,222.0,285.0,303.0,349.0,397.0,609.0,569.0
Advance from Customers,Other Liabilities,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,
Other liability items,Other Liabilities,97.0,109.0,113.0,172.0,66.0,65.0,59.0,101.0,86.0,111.0,230.0,191.0
Inventories,Other Assets,256.0,327.0,322.0,439.0,479.0,476.0,564.0,720.0,995.0,922.0,1381.0,1498.0
Trade receivables,Other Assets,176.0,220.0,205.0,257.0,272.0,294.0,270.0,324.0,413.0,481.0,611.0,738.0
Cash Equivalents,Other Assets,63.0,108.0,85.0,200.0,127.0,70.0,123.0,82.0,18.0,63.0,119.0,81.0
Loans n Advances,Other Assets,10.0,21.0,28.0,26.0,22.0,15.0,16.0,27.0,24.0,32.0,51.0,4.0
Other asset items,Other Assets,77.0,54.0,41.0,48.0,29.0,28.0,23.0,37.0,26.0,20.0,22.0,175.0
