,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,24.0,24.0,25.0,25.0,25.0,25.0,25.0
Reserves,,505.0,581.0,796.0,931.0,1193.0,1358.0,1582.0
Borrowings,,54.0,87.0,160.0,170.0,166.0,231.0,299.0
Other Liabilities,,94.0,124.0,122.0,146.0,145.0,313.0,333.0
Total Liabilities,,677.0,817.0,1102.0,1271.0,1530.0,1927.0,2240.0
Fixed Assets,,407.0,423.0,511.0,661.0,812.0,986.0,1034.0
CWIP,,3.0,36.0,49.0,70.0,12.0,98.0,150.0
Investments,,36.0,69.0,126.0,20.0,31.0,56.0,44.0
Other Assets,,230.0,290.0,416.0,520.0,674.0,787.0,1011.0
Total Assets,,677.0,817.0,1102.0,1271.0,1530.0,1927.0,2240.0
Land,Fixed Assets,2.0,13.0,4.0,4.0,4.0,21.0,
Building,Fixed Assets,144.0,150.0,169.0,243.0,283.0,314.0,
Plant Machinery,Fixed Assets,321.0,362.0,444.0,527.0,655.0,716.0,
Equipments,Fixed Assets,3.0,3.0,5.0,5.0,5.0,8.0,
Computers,Fixed Assets,3.0,3.0,4.0,4.0,5.0,6.0,
Furniture n fittings,Fixed Assets,13.0,13.0,14.0,15.0,16.0,20.0,
Vehicles,Fixed Assets,12.0,13.0,14.0,16.0,18.0,24.0,
Intangible Assets,Fixed Assets,1.0,1.0,1.0,1.0,5.0,94.0,92.0
Other fixed assets,Fixed Assets,19.0,7.0,34.0,63.0,83.0,114.0,
Gross Block,Fixed Assets,517.0,565.0,689.0,878.0,1074.0,1318.0,
Accumulated Depreciation,Fixed Assets,110.0,143.0,179.0,217.0,263.0,331.0,
Long term Borrowings,Borrowings,17.0,14.0,41.0,47.0,18.0,11.0,6.0
Short term Borrowings,Borrowings,22.0,72.0,100.0,96.0,100.0,143.0,204.0
Lease Liabilities,Borrowings,2.0,1.0,19.0,26.0,48.0,77.0,90.0
Other Borrowings,Borrowings,14.0,-0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,2.0,-0.0,-1.0,-2.0,97.0,100.0
Trade Payables,Other Liabilities,14.0,42.0,43.0,53.0,59.0,69.0,65.0
Advance from Customers,Other Liabilities,10.0,0.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,69.0,80.0,79.0,94.0,88.0,147.0,168.0
Inventories,Other Assets,36.0,57.0,73.0,78.0,82.0,108.0,117.0
Trade receivables,Other Assets,42.0,47.0,73.0,79.0,104.0,101.0,107.0
Cash Equivalents,Other Assets,88.0,87.0,90.0,96.0,177.0,219.0,316.0
Loans n Advances,Other Assets,12.0,19.0,15.0,42.0,37.0,48.0,106.0
Other asset items,Other Assets,52.0,79.0,164.0,225.0,274.0,311.0,364.0
