,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,113.0,113.0,114.0,136.0,136.0,204.0,211.0,230.0,231.0,231.0,244.0,245.0
Reserves,,1244.0,1425.0,1581.0,2151.0,2033.0,2077.0,2137.0,2680.0,3014.0,3418.0,5394.0,6576.0
Borrowings,,1663.0,2459.0,2576.0,3390.0,3785.0,4522.0,5005.0,4906.0,4634.0,5470.0,5464.0,6344.0
Other Liabilities,,1278.0,2000.0,2079.0,2133.0,4845.0,5448.0,6461.0,7285.0,8486.0,8740.0,10973.0,13040.0
Total Liabilities,,4298.0,5997.0,6350.0,7810.0,10800.0,12251.0,13814.0,15101.0,16365.0,17860.0,22076.0,26204.0
Fixed Assets,,1362.0,340.0,1431.0,1805.0,2277.0,2998.0,5020.0,4905.0,4681.0,4593.0,6899.0,8537.0
CWIP,,486.0,1411.0,1564.0,2129.0,2010.0,2097.0,495.0,541.0,740.0,1232.0,138.0,222.0
Investments,,34.0,994.0,54.0,236.0,98.0,72.0,89.0,509.0,62.0,50.0,43.0,62.0
Other Assets,,2416.0,3252.0,3302.0,3640.0,6416.0,7083.0,8210.0,9147.0,10882.0,11985.0,14995.0,17383.0
Total Assets,,4298.0,5997.0,6350.0,7810.0,10800.0,12251.0,13814.0,15101.0,16365.0,17860.0,22076.0,26204.0
Land,Fixed Assets,113.0,83.0,111.0,143.0,144.0,194.0,207.0,214.0,214.0,274.0,297.0,380.0
Building,Fixed Assets,1109.0,202.0,309.0,528.0,636.0,721.0,752.0,746.0,736.0,736.0,805.0,814.0
Plant Machinery,Fixed Assets,95.0,29.0,45.0,96.0,109.0,125.0,133.0,135.0,137.0,140.0,154.0,165.0
Equipments,Fixed Assets,27.0,6.0,17.0,36.0,49.0,64.0,69.0,70.0,74.0,76.0,81.0,89.0
Computers,Fixed Assets,10.0,3.0,4.0,10.0,14.0,18.0,22.0,24.0,27.0,30.0,38.0,46.0
Furniture n fittings,Fixed Assets,155.0,35.0,62.0,138.0,172.0,187.0,199.0,199.0,199.0,202.0,225.0,235.0
Vehicles,Fixed Assets,5.0,2.0,2.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,13.0,23.0
Intangible Assets,Fixed Assets,190.0,8.0,8.0,8.0,8.0,8.0,16.0,16.0,35.0,35.0,35.0,38.0
Other fixed assets,Fixed Assets,11.0,5.0,1097.0,1204.0,1617.0,2364.0,4555.0,4785.0,4823.0,4957.0,7392.0,9186.0
Gross Block,Fixed Assets,1714.0,372.0,1655.0,2167.0,2756.0,3688.0,5960.0,6194.0,6251.0,6457.0,9039.0,10976.0
Accumulated Depreciation,Fixed Assets,352.0,32.0,224.0,362.0,479.0,691.0,940.0,1289.0,1570.0,1864.0,2139.0,2439.0
Long term Borrowings,Borrowings,893.0,1500.0,1588.0,2633.0,3316.0,3867.0,3934.0,4385.0,4193.0,4887.0,4361.0,5268.0
Short term Borrowings,Borrowings,61.0,177.0,229.0,245.0,62.0,44.0,73.0,448.0,355.0,450.0,913.0,842.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,72.0,74.0,86.0,133.0,189.0,234.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,710.0,782.0,759.0,512.0,408.0,611.0,925.0,-0.0,-0.0,-0.0,-0.0,-0.0
Non controlling int,Other Liabilities,26.0,124.0,227.0,223.0,188.0,166.0,116.0,-32.0,-101.0,-91.0,277.0,704.0
Trade Payables,Other Liabilities,298.0,424.0,516.0,526.0,608.0,500.0,577.0,649.0,735.0,760.0,786.0,882.0
Advance from Customers,Other Liabilities,625.0,803.0,763.0,696.0,270.0,178.0,76.0,128.0,66.0,88.0,37.0,26.0
Other liability items,Other Liabilities,329.0,650.0,572.0,687.0,3779.0,4603.0,5692.0,6540.0,7787.0,7983.0,9873.0,11429.0
Inventories,Other Assets,1544.0,2307.0,2264.0,2179.0,4816.0,5209.0,5902.0,6223.0,7327.0,7736.0,8887.0,11401.0
Trade receivables,Other Assets,15.0,43.0,37.0,177.0,421.0,431.0,527.0,504.0,462.0,500.0,629.0,601.0
Cash Equivalents,Other Assets,83.0,109.0,136.0,147.0,222.0,305.0,559.0,945.0,1478.0,1737.0,3261.0,2685.0
Loans n Advances,Other Assets,95.0,69.0,61.0,127.0,148.0,221.0,258.0,280.0,234.0,263.0,354.0,531.0
Other asset items,Other Assets,678.0,724.0,803.0,1009.0,809.0,918.0,963.0,1195.0,1381.0,1749.0,1864.0,2165.0
