,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Equity Capital,,0.08,0.1,0.1,152.0,152.0,152.0
Reserves,,-1.0,298.0,202.0,133.0,161.0,275.0
Borrowings,,347.0,174.0,199.0,276.0,177.0,289.0
Other Liabilities,,170.0,134.0,106.0,162.0,199.0,247.0
Total Liabilities,,516.0,606.0,506.0,722.0,689.0,964.0
Fixed Assets,,288.0,282.0,100.0,169.0,256.0,322.0
CWIP,,0.0,13.0,25.0,35.0,0.0,2.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,,228.0,310.0,381.0,518.0,433.0,639.0
Total Assets,,516.0,606.0,506.0,722.0,689.0,964.0
Land,Fixed Assets,18.0,27.0,40.0,65.0,80.0,164.0
Building,Fixed Assets,38.0,44.0,26.0,46.0,92.0,92.0
Plant Machinery,Fixed Assets,28.0,38.0,39.0,76.0,128.0,148.0
Equipments,Fixed Assets,1.0,2.0,3.0,4.0,5.0,6.0
Computers,Fixed Assets,1.0,2.0,2.0,3.0,3.0,4.0
Furniture n fittings,Fixed Assets,4.0,7.0,7.0,12.0,17.0,22.0
Vehicles,Fixed Assets,2.0,2.0,4.0,4.0,4.0,4.0
Intangible Assets,Fixed Assets,199.0,199.0,0.0,0.0,0.0,0.0
Other fixed assets,Fixed Assets,0.0,1.0,2.0,2.0,2.0,2.0
Gross Block,Fixed Assets,291.0,321.0,124.0,212.0,332.0,444.0
Accumulated Depreciation,Fixed Assets,3.0,39.0,23.0,43.0,75.0,121.0
Long term Borrowings,Borrowings,23.0,9.0,23.0,64.0,66.0,45.0
Short term Borrowings,Borrowings,166.0,162.0,152.0,179.0,69.0,129.0
Lease Liabilities,Borrowings,0.0,0.0,24.0,32.0,42.0,115.0
Preference Capital,Borrowings,153.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,5.0,3.0,0.0,-0.0,0.0,0.0
Non controlling int,Other Liabilities,17.0,-3.0,-3.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,120.0,98.0,81.0,123.0,171.0,197.0
Advance from Customers,Other Liabilities,4.0,2.0,0.0,0.0,0.0,0.0
Other liability items,Other Liabilities,29.0,37.0,28.0,39.0,28.0,50.0
Inventories,Other Assets,69.0,94.0,119.0,173.0,207.0,358.0
Trade receivables,Other Assets,148.0,190.0,162.0,144.0,98.0,134.0
Cash Equivalents,Other Assets,2.0,1.0,2.0,60.0,1.0,0.0
Loans n Advances,Other Assets,5.0,4.0,4.0,4.0,3.0,8.0
Other asset items,Other Assets,4.0,21.0,95.0,137.0,124.0,140.0
