,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,162.0,162.0
Reserves,,10641.0,11356.0,12383.0,14068.0,14851.0,15602.0,18165.0,20680.0,23246.0,26545.0,31032.0,34270.0
Borrowings,,1703.0,5202.0,4113.0,4098.0,4316.0,2816.0,2014.0,1056.0,803.0,559.0,438.0,614.0
Other Liabilities,,3166.0,4331.0,4213.0,4346.0,4433.0,4843.0,4514.0,4960.0,5089.0,5267.0,5702.0,7297.0
Total Liabilities,,15670.0,21049.0,20869.0,22673.0,23762.0,23423.0,24855.0,26857.0,29300.0,32533.0,37334.0,42343.0
Fixed Assets,,6830.0,9368.0,9492.0,9950.0,9608.0,9683.0,9516.0,9683.0,9160.0,9607.0,10006.0,12434.0
CWIP,,581.0,2061.0,1683.0,981.0,676.0,825.0,969.0,766.0,1093.0,1153.0,1566.0,2042.0
Investments,,640.0,759.0,973.0,1259.0,2554.0,1471.0,2710.0,2551.0,3662.0,5449.0,7933.0,8223.0
Other Assets,,7620.0,8862.0,8721.0,10483.0,10923.0,11444.0,11661.0,13857.0,15384.0,16323.0,17828.0,19643.0
Total Assets,,15670.0,21049.0,20869.0,22673.0,23762.0,23423.0,24855.0,26857.0,29300.0,32533.0,37334.0,42343.0
Land,Fixed Assets,148.0,95.0,97.0,107.0,115.0,161.0,194.0,219.0,251.0,238.0,240.0,244.0
Building,Fixed Assets,2011.0,2033.0,2247.0,2550.0,2547.0,2866.0,2805.0,3051.0,3116.0,3075.0,3177.0,3589.0
Plant Machinery,Fixed Assets,4389.0,2776.0,3476.0,4168.0,4585.0,4916.0,5291.0,5811.0,5931.0,6305.0,6954.0,7970.0
Equipments,Fixed Assets,114.0,66.0,77.0,93.0,98.0,103.0,92.0,99.0,109.0,131.0,153.0,195.0
Computers,Fixed Assets,0.0,0.0,0.0,0.0,0.0,35.0,8.0,1.0,0.0,0.0,0.0,0.0
Furniture n fittings,Fixed Assets,176.0,104.0,122.0,138.0,150.0,156.0,147.0,156.0,159.0,164.0,176.0,209.0
Vehicles,Fixed Assets,20.0,10.0,13.0,10.0,11.0,13.0,12.0,14.0,10.0,10.0,11.0,13.0
Intangible Assets,Fixed Assets,2569.0,3874.0,4003.0,3134.0,3427.0,3566.0,3779.0,3951.0,3825.0,4155.0,4475.0,6327.0
Other fixed assets,Fixed Assets,135.0,1209.0,1319.0,2760.0,2925.0,3336.0,3458.0,3666.0,3721.0,3980.0,4287.0,4875.0
Gross Block,Fixed Assets,9562.0,10168.0,11355.0,12961.0,13858.0,15151.0,15787.0,16968.0,17122.0,18058.0,19472.0,23422.0
Accumulated Depreciation,Fixed Assets,2732.0,799.0,1863.0,3011.0,4250.0,5468.0,6271.0,7285.0,7962.0,8451.0,9466.0,10987.0
Long term Borrowings,Borrowings,309.0,222.0,3645.0,3662.0,3830.0,2369.0,1203.0,416.0,0.0,0.0,12.0,117.0
Short term Borrowings,Borrowings,1392.0,4970.0,467.0,436.0,486.0,447.0,553.0,408.0,520.0,247.0,80.0,140.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,259.0,232.0,283.0,312.0,346.0,356.0
Other Borrowings,Borrowings,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,180.0,350.0,438.0,352.0,332.0,294.0,259.0,276.0,306.0,96.0,96.0,88.0
Trade Payables,Other Liabilities,1452.0,1476.0,1571.0,2119.0,1948.0,2282.0,2067.0,2508.0,2535.0,2474.0,2837.0,3230.0
Advance from Customers,Other Liabilities,106.0,29.0,52.0,71.0,44.0,34.0,40.0,74.0,63.0,14.0,11.0,0.0
Other liability items,Other Liabilities,1427.0,2476.0,2152.0,1803.0,2109.0,2233.0,2149.0,2102.0,2186.0,2683.0,2757.0,3979.0
Inventories,Other Assets,3781.0,3808.0,3485.0,4045.0,3965.0,4378.0,4669.0,5350.0,5156.0,5238.0,5642.0,6597.0
Trade receivables,Other Assets,1998.0,2356.0,2563.0,3102.0,4151.0,3891.0,3446.0,3424.0,4057.0,4771.0,5506.0,5620.0
Cash Equivalents,Other Assets,564.0,871.0,624.0,966.0,619.0,1004.0,1401.0,1928.0,1565.0,875.0,800.0,1307.0
Loans n Advances,Other Assets,-4.0,240.0,149.0,284.0,304.0,287.0,277.0,316.0,332.0,345.0,357.0,367.0
Other asset items,Other Assets,1282.0,1586.0,1899.0,2086.0,1885.0,1885.0,1868.0,2838.0,4274.0,5095.0,5523.0,5752.0
