,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,148.0,148.0,148.0,148.0,153.0,154.0,163.0,164.0,165.0
Reserves,,526.0,598.0,702.0,836.0,1103.0,1408.0,1784.0,2102.0,2268.0
Borrowings,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0
Other Liabilities,,228.0,347.0,482.0,627.0,600.0,539.0,712.0,853.0,584.0
Total Liabilities,,902.0,1093.0,1333.0,1612.0,1856.0,2101.0,2659.0,3120.0,3238.0
Fixed Assets,,264.0,381.0,426.0,533.0,750.0,869.0,836.0,857.0,1155.0
CWIP,,1.0,3.0,4.0,23.0,44.0,20.0,18.0,164.0,113.0
Investments,,92.0,12.0,57.0,112.0,124.0,279.0,485.0,616.0,374.0
Other Assets,,545.0,697.0,846.0,943.0,938.0,932.0,1319.0,1482.0,1596.0
Total Assets,,902.0,1093.0,1333.0,1612.0,1856.0,2101.0,2659.0,3120.0,3238.0
Land,Fixed Assets,0.0,0.0,0.0,159.0,236.0,275.0,281.0,315.0,
Building,Fixed Assets,8.0,12.0,13.0,15.0,16.0,20.0,25.0,34.0,
Plant Machinery,Fixed Assets,0.0,53.0,67.0,141.0,280.0,389.0,425.0,534.0,
Equipments,Fixed Assets,48.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,
Computers,Fixed Assets,31.0,41.0,36.0,38.0,41.0,44.0,42.0,47.0,
Furniture n fittings,Fixed Assets,20.0,25.0,31.0,39.0,53.0,60.0,59.0,60.0,
Vehicles,Fixed Assets,163.0,166.0,205.0,205.0,245.0,295.0,319.0,291.0,
Intangible Assets,Fixed Assets,185.0,203.0,203.0,203.0,206.0,206.0,206.0,206.0,237.0
Other fixed assets,Fixed Assets,31.0,136.0,156.0,60.0,67.0,70.0,72.0,75.0,
Gross Block,Fixed Assets,485.0,645.0,720.0,869.0,1152.0,1367.0,1438.0,1573.0,
Accumulated Depreciation,Fixed Assets,221.0,264.0,294.0,336.0,401.0,498.0,602.0,715.0,
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0
Trade Payables,Other Liabilities,64.0,76.0,171.0,306.0,246.0,225.0,403.0,350.0,312.0
Other liability items,Other Liabilities,164.0,271.0,311.0,321.0,354.0,314.0,309.0,503.0,272.0
Inventories,Other Assets,24.0,42.0,43.0,89.0,63.0,74.0,127.0,80.0,69.0
Trade receivables,Other Assets,195.0,250.0,334.0,501.0,499.0,526.0,720.0,815.0,892.0
Cash Equivalents,Other Assets,75.0,139.0,191.0,195.0,142.0,156.0,267.0,296.0,155.0
Loans n Advances,Other Assets,4.0,9.0,24.0,19.0,23.0,15.0,18.0,24.0,178.0
Other asset items,Other Assets,248.0,257.0,254.0,140.0,211.0,160.0,188.0,268.0,302.0
