,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,60.0,72.0,81.0,81.0,86.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0
Reserves,,828.0,821.0,918.0,808.0,1346.0,1787.0,2007.0,2478.0,3030.0,3630.0,4324.0,4721.0
Deposits,,14474.0,14438.0,14912.0,14691.0,15124.0,15791.0,19140.0,20188.0,24506.0,29719.0,36861.0,44246.0
Borrowing,,45.0,42.0,42.0,42.0,-0.0,794.0,1426.0,2007.0,783.0,1757.0,5546.0,7154.0
Other Liabilities,,351.0,279.0,271.0,249.0,356.0,319.0,591.0,509.0,670.0,776.0,931.0,1432.0
Total Liabilities,,15760.0,15652.0,16223.0,15870.0,16911.0,18864.0,23337.0,25356.0,29162.0,36056.0,47836.0,57727.0
Fixed Assets,,175.0,215.0,215.0,216.0,218.0,253.0,269.0,288.0,319.0,406.0,450.0,708.0
CWIP,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,179.0,2.0
Investments,,4427.0,5987.0,5762.0,4114.0,4028.0,5360.0,6126.0,7012.0,5849.0,7551.0,11389.0,11955.0
Other Assets,,11158.0,9450.0,10246.0,11540.0,12666.0,13251.0,16942.0,18057.0,22994.0,28099.0,35818.0,45061.0
Total Assets,,15760.0,15652.0,16223.0,15870.0,16911.0,18864.0,23337.0,25356.0,29162.0,36056.0,47836.0,57727.0
Building,Fixed Assets,142.0,185.0,185.0,182.0,182.0,182.0,182.0,182.0,182.0,205.0,205.0,203.0
Other fixed assets,Fixed Assets,122.0,128.0,136.0,142.0,150.0,233.0,283.0,338.0,407.0,522.0,519.0,881.0
Gross Block,Fixed Assets,264.0,313.0,321.0,324.0,331.0,415.0,465.0,520.0,589.0,727.0,724.0,1084.0
Accumulated Depreciation,Fixed Assets,89.0,98.0,106.0,108.0,114.0,162.0,195.0,232.0,270.0,321.0,274.0,376.0
Trade Payables,Other Liabilities,15.0,16.0,13.0,18.0,16.0,11.0,106.0,31.0,93.0,71.0,95.0,72.0
Other liability items,Other Liabilities,337.0,263.0,257.0,230.0,340.0,307.0,485.0,478.0,576.0,705.0,836.0,1360.0
Cash Equivalents,Other Assets,611.0,605.0,706.0,623.0,667.0,449.0,649.0,1371.0,1359.0,2949.0,3044.0,3867.0
Loans n Advances,Other Assets,26.0,30.0,42.0,41.0,49.0,66.0,60.0,62.0,42.0,63.0,66.0,85.0
Other asset items,Other Assets,10520.0,8816.0,9498.0,10876.0,11950.0,12735.0,16233.0,16623.0,21593.0,25086.0,32708.0,41110.0
