,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,16.0,16.0,16.0,16.0,16.0,16.0,32.0,32.0,32.0,32.0,32.0,32.0
Reserves,,478.0,530.0,591.0,673.0,755.0,753.0,838.0,1001.0,1339.0,1580.0,1834.0,2200.0
Borrowings,,367.0,304.0,251.0,266.0,238.0,448.0,465.0,436.0,577.0,638.0,577.0,533.0
Other Liabilities,,296.0,256.0,250.0,298.0,366.0,334.0,430.0,491.0,531.0,558.0,594.0,773.0
Total Liabilities,,1156.0,1106.0,1108.0,1253.0,1375.0,1551.0,1765.0,1959.0,2479.0,2807.0,3037.0,3538.0
Fixed Assets,,454.0,462.0,441.0,440.0,504.0,600.0,572.0,553.0,587.0,587.0,592.0,699.0
CWIP,,10.0,2.0,4.0,2.0,6.0,4.0,4.0,7.0,3.0,10.0,53.0,136.0
Investments,,15.0,15.0,15.0,15.0,14.0,12.0,24.0,31.0,37.0,41.0,81.0,165.0
Other Assets,,677.0,627.0,648.0,795.0,851.0,935.0,1165.0,1367.0,1852.0,2170.0,2312.0,2539.0
Total Assets,,1156.0,1106.0,1108.0,1253.0,1375.0,1551.0,1765.0,1959.0,2479.0,2807.0,3037.0,3538.0
Land,Fixed Assets,45.0,56.0,53.0,53.0,58.0,60.0,41.0,41.0,62.0,62.0,69.0,93.0
Building,Fixed Assets,153.0,124.0,130.0,134.0,134.0,176.0,200.0,208.0,225.0,231.0,266.0,283.0
Plant Machinery,Fixed Assets,300.0,178.0,195.0,205.0,235.0,276.0,270.0,290.0,340.0,342.0,390.0,447.0
Equipments,Fixed Assets,5.0,1.0,3.0,3.0,7.0,8.0,27.0,34.0,39.0,39.0,48.0,54.0
Furniture n fittings,Fixed Assets,29.0,13.0,14.0,16.0,18.0,22.0,27.0,29.0,32.0,32.0,40.0,51.0
Vehicles,Fixed Assets,7.0,4.0,4.0,7.0,14.0,25.0,29.0,34.0,40.0,50.0,48.0,62.0
Intangible Assets,Fixed Assets,144.0,121.0,117.0,125.0,165.0,197.0,202.0,206.0,217.0,219.0,229.0,262.0
Other fixed assets,Fixed Assets,17.0,9.0,10.0,27.0,50.0,79.0,87.0,92.0,79.0,81.0,77.0,88.0
Gross Block,Fixed Assets,701.0,506.0,526.0,570.0,681.0,844.0,883.0,933.0,1034.0,1056.0,1168.0,1340.0
Accumulated Depreciation,Fixed Assets,246.0,44.0,85.0,130.0,176.0,244.0,311.0,379.0,447.0,469.0,576.0,641.0
Long term Borrowings,Borrowings,160.0,139.0,97.0,60.0,76.0,103.0,81.0,58.0,22.0,20.0,7.0,0.0
Short term Borrowings,Borrowings,161.0,123.0,114.0,163.0,117.0,287.0,317.0,314.0,487.0,541.0,484.0,405.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,44.0,66.0,64.0,68.0,78.0,86.0,128.0
Other Borrowings,Borrowings,46.0,42.0,40.0,43.0,45.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,166.0,170.0,171.0,213.0,247.0,209.0,289.0,319.0,314.0,345.0,337.0,460.0
Advance from Customers,Other Liabilities,21.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liability items,Other Liabilities,110.0,68.0,66.0,84.0,120.0,125.0,141.0,172.0,217.0,213.0,257.0,313.0
Inventories,Other Assets,266.0,226.0,226.0,274.0,279.0,343.0,343.0,483.0,602.0,622.0,608.0,711.0
Trade receivables,Other Assets,244.0,253.0,242.0,343.0,367.0,347.0,400.0,472.0,551.0,593.0,608.0,724.0
Cash Equivalents,Other Assets,78.0,83.0,106.0,109.0,110.0,86.0,262.0,278.0,570.0,774.0,874.0,718.0
Loans n Advances,Other Assets,58.0,21.0,24.0,26.0,31.0,35.0,35.0,32.0,39.0,38.0,49.0,68.0
Other asset items,Other Assets,30.0,45.0,50.0,44.0,64.0,124.0,126.0,102.0,90.0,142.0,171.0,318.0
