,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,6.0,49.0,35.0,35.0,45.0,81.0,81.0,96.0,97.0
Reserves,,-1094.0,1472.0,2347.0,3366.0,3447.0,3368.0,3082.0,4645.0,4730.0
Borrowings,,1657.0,7.0,34.0,214.0,446.0,906.0,1430.0,1570.0,1594.0
Other Liabilities,,96.0,151.0,341.0,459.0,2147.0,2602.0,2727.0,2359.0,2608.0
Total Liabilities,,666.0,1678.0,2758.0,4073.0,6084.0,6957.0,7321.0,8670.0,9028.0
Fixed Assets,,356.0,351.0,383.0,669.0,2213.0,3533.0,3868.0,3609.0,3591.0
CWIP,,-0.0,7.0,23.0,18.0,42.0,26.0,1.0,7.0,20.0
Investments,,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,5.0,5.0,5.0
Other Assets,,310.0,1320.0,2352.0,3387.0,3830.0,3397.0,3447.0,5049.0,5412.0
Total Assets,,666.0,1678.0,2758.0,4073.0,6084.0,6957.0,7321.0,8670.0,9028.0
Land,Fixed Assets,0.0,0.0,0.0,9.0,26.0,31.0,21.0,42.0,
Building,Fixed Assets,3.0,5.0,6.0,176.0,363.0,805.0,1105.0,1155.0,
Plant Machinery,Fixed Assets,0.0,0.0,2.0,35.0,107.0,172.0,338.0,433.0,
Equipments,Fixed Assets,2.0,3.0,7.0,9.0,16.0,41.0,69.0,82.0,
Computers,Fixed Assets,4.0,6.0,11.0,15.0,23.0,32.0,36.0,44.0,
Furniture n fittings,Fixed Assets,13.0,19.0,39.0,59.0,121.0,223.0,288.0,311.0,
Vehicles,Fixed Assets,0.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,
Intangible Assets,Fixed Assets,331.0,351.0,341.0,381.0,1611.0,2416.0,2418.0,2418.0,1875.0
Other fixed assets,Fixed Assets,21.0,3.0,27.0,58.0,70.0,130.0,114.0,117.0,
Gross Block,Fixed Assets,373.0,387.0,432.0,742.0,2339.0,3852.0,4392.0,4605.0,
Accumulated Depreciation,Fixed Assets,18.0,36.0,49.0,73.0,126.0,319.0,525.0,996.0,
Long term Borrowings,Borrowings,1655.0,0.0,0.0,10.0,51.0,55.0,229.0,210.0,179.0
Short term Borrowings,Borrowings,0.0,0.0,0.0,7.0,39.0,121.0,233.0,343.0,416.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,161.0,319.0,723.0,960.0,1017.0,999.0
Preference Capital,Borrowings,1655.0,7.0,34.0,37.0,37.0,7.0,7.0,0.0,0.0
Other Borrowings,Borrowings,-1654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,98.0,760.0,743.0,621.0,539.0,529.0
Trade Payables,Other Liabilities,67.0,121.0,176.0,299.0,529.0,738.0,908.0,928.0,1023.0
Advance from Customers,Other Liabilities,0.0,15.0,17.0,22.0,46.0,117.0,125.0,131.0,
Other liability items,Other Liabilities,28.0,15.0,149.0,40.0,812.0,1004.0,1074.0,761.0,1057.0
Inventories,Other Assets,86.0,189.0,294.0,522.0,980.0,1286.0,1629.0,2130.0,1994.0
Trade receivables,Other Assets,35.0,44.0,81.0,136.0,218.0,225.0,218.0,283.0,368.0
Cash Equivalents,Other Assets,132.0,445.0,1271.0,2338.0,2268.0,1179.0,674.0,1706.0,1403.0
Loans n Advances,Other Assets,12.0,28.0,46.0,82.0,164.0,208.0,331.0,180.0,454.0
Other asset items,Other Assets,46.0,614.0,661.0,308.0,201.0,498.0,594.0,750.0,1193.0
