,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,100.0,100.0,99.0,97.0,98.0,95.0,95.0,95.0,96.0,96.0,96.0,92.0
Reserves,,670.0,936.0,1247.0,1513.0,1827.0,2054.0,2389.0,2852.0,3860.0,2883.0,3393.0,3460.0
Borrowings,,1324.0,1365.0,1463.0,1322.0,1302.0,1254.0,782.0,788.0,361.0,210.0,119.0,83.0
Other Liabilities,,758.0,548.0,694.0,695.0,767.0,766.0,712.0,1261.0,816.0,581.0,578.0,665.0
Total Liabilities,,2851.0,2949.0,3504.0,3628.0,3995.0,4169.0,3978.0,4995.0,5133.0,3770.0,4185.0,4300.0
Fixed Assets,,1934.0,2049.0,2410.0,2502.0,2591.0,2664.0,2675.0,2474.0,1731.0,1842.0,1844.0,1821.0
CWIP,,7.0,37.0,26.0,74.0,117.0,122.0,81.0,213.0,109.0,55.0,256.0,450.0
Investments,,2.0,15.0,9.0,10.0,12.0,9.0,15.0,17.0,380.0,420.0,651.0,1042.0
Other Assets,,909.0,848.0,1059.0,1043.0,1275.0,1375.0,1207.0,2292.0,2914.0,1453.0,1435.0,987.0
Total Assets,,2851.0,2949.0,3504.0,3628.0,3995.0,4169.0,3978.0,4995.0,5133.0,3770.0,4185.0,4300.0
Land,Fixed Assets,767.0,735.0,735.0,735.0,693.0,693.0,712.0,674.0,452.0,485.0,534.0,538.0
Building,Fixed Assets,288.0,172.0,207.0,227.0,248.0,266.0,277.0,237.0,185.0,194.0,210.0,212.0
Plant Machinery,Fixed Assets,1838.0,1072.0,1429.0,1585.0,1793.0,1926.0,2039.0,1877.0,1606.0,1701.0,1732.0,1800.0
Equipments,Fixed Assets,15.0,5.0,8.0,9.0,9.0,10.0,10.0,4.0,10.0,11.0,12.0,12.0
Furniture n fittings,Fixed Assets,10.0,132.0,7.0,9.0,9.0,17.0,17.0,82.0,4.0,22.0,21.0,22.0
Vehicles,Fixed Assets,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,7.0,7.0
Wind turbines,Fixed Assets,67.0,0.0,140.0,140.0,140.0,141.0,142.0,128.0,0.0,20.0,20.0,20.0
Intangible Assets,Fixed Assets,3.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
Other fixed assets,Fixed Assets,69.0,10.0,20.0,22.0,22.0,35.0,29.0,33.0,33.0,54.0,52.0,57.0
Gross Block,Fixed Assets,3063.0,2129.0,2547.0,2733.0,2918.0,3094.0,3232.0,3040.0,2294.0,2493.0,2589.0,2668.0
Accumulated Depreciation,Fixed Assets,1129.0,79.0,138.0,231.0,327.0,430.0,557.0,565.0,563.0,652.0,745.0,847.0
Long term Borrowings,Borrowings,783.75,676.81,697.96,744.33,702.03,807.89,563.82,424.6,242.62,114.97,61.53,34.2
Short term Borrowings,Borrowings,454.16,489.67,546.62,408.2,408.56,268.88,204.28,342.85,104.9,81.74,35.98,27.93
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,14.6,14.01,20.11,13.84,13.37,21.39,21.17
Other Borrowings,Borrowings,85.63,198.56,218.71,169.46,191.58,162.86,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,392.0,285.0,334.0,382.0,409.0,408.0,377.0,343.0,230.0,194.0,165.0,280.0
Advance from Customers,Other Liabilities,3.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liability items,Other Liabilities,363.0,260.0,356.0,311.0,358.0,358.0,335.0,918.0,587.0,387.0,412.0,384.0
Inventories,Other Assets,487.0,503.0,584.0,637.0,768.0,791.0,764.0,944.0,772.0,651.0,626.0,597.0
Trade receivables,Other Assets,244.0,183.0,276.0,229.0,291.0,274.0,228.0,229.0,218.0,180.0,210.0,173.0
Cash Equivalents,Other Assets,34.0,43.0,36.0,27.0,36.0,107.0,49.0,255.0,140.0,492.0,446.0,90.0
Loans n Advances,Other Assets,12.0,21.0,9.0,29.0,7.0,13.0,21.0,10.0,19.0,26.0,23.0,20.0
Other asset items,Other Assets,131.0,98.0,154.0,122.0,173.0,190.0,145.0,852.0,1764.0,104.0,131.0,108.0
