,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,147.0,147.0,147.0
Reserves,,2364.0,3168.0,3700.0,4362.0,4909.0,5144.0,5913.0,7835.0,8950.0,8162.0,8429.0,8968.0
Borrowings,,3844.0,3101.0,1959.0,303.0,208.0,860.0,4.0,2.0,2.0,3.0,106.0,6.0
Other Liabilities,,2164.0,2130.0,2142.0,2411.0,2337.0,2261.0,2321.0,2764.0,2613.0,2405.0,2366.0,2238.0
Total Liabilities,,8527.0,8555.0,7956.0,7231.0,7609.0,8421.0,8394.0,10755.0,11720.0,10717.0,11047.0,11359.0
Fixed Assets,,4468.0,4367.0,4442.0,4161.0,3959.0,3810.0,3720.0,3578.0,3381.0,3238.0,3094.0,2881.0
CWIP,,13.0,9.0,14.0,14.0,25.0,82.0,161.0,138.0,187.0,289.0,382.0,900.0
Investments,,184.0,775.0,816.0,785.0,799.0,673.0,938.0,1313.0,3205.0,3030.0,2304.0,1692.0
Other Assets,,3861.0,3404.0,2683.0,2271.0,2826.0,3856.0,3575.0,5727.0,4946.0,4160.0,5268.0,5886.0
Total Assets,,8527.0,8555.0,7956.0,7231.0,7609.0,8421.0,8394.0,10755.0,11720.0,10717.0,11047.0,11359.0
Land,Fixed Assets,333.45,333.45,325.72,325.72,351.57,351.64,351.82,351.8,325.87,332.95,336.67,
Building,Fixed Assets,620.1,604.13,611.75,614.54,621.41,630.03,643.15,651.49,632.27,645.07,638.6,
Plant Machinery,Fixed Assets,6496.54,6653.63,6661.65,6592.98,6608.43,6701.54,6832.37,6956.16,7020.25,7108.48,7188.88,
Equipments,Fixed Assets,10.77,11.24,11.57,12.19,12.82,13.25,21.46,21.29,21.61,12.02,12.6,
Furniture n fittings,Fixed Assets,29.41,30.63,31.96,32.68,33.17,33.66,34.93,32.53,37.19,34.7,36.96,
Railway sidings,Fixed Assets,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,6.97,30.81,36.15,
Vehicles,Fixed Assets,5.65,5.96,6.8,7.79,7.15,7.51,6.63,7.1,7.27,8.5,13.19,
Intangible Assets,Fixed Assets,51.16,34.27,34.27,34.27,34.27,34.27,34.29,34.29,34.29,34.29,34.29,37.0
Other fixed assets,Fixed Assets,18.84,21.51,48.6,51.63,51.63,52.19,50.98,53.8,80.3,82.15,129.59,
Gross Block,Fixed Assets,7569.69,7698.59,7736.09,7675.57,7724.22,7827.86,7979.4,8112.23,8166.02,8288.97,8426.93,
Accumulated Depreciation,Fixed Assets,3101.58,3331.94,3293.87,3514.45,3765.31,4017.4,4259.05,4533.99,4784.67,5051.37,5333.43,
Long term Borrowings,Borrowings,1526.85,1033.32,533.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,1647.57,1425.53,1073.31,229.56,207.93,858.64,2.16,0.07,0.01,0.56,99.16,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,1.85,1.9,1.7,1.97,2.17,6.44,6.0
Other Borrowings,Borrowings,669.27,642.5,352.2,73.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,296.0,262.0,340.0,426.0,395.0,513.0,399.0,648.0,578.0,522.0,495.0,454.0
Advance from Customers,Other Liabilities,35.0,29.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,1833.0,1839.0,1782.0,1985.0,1942.0,1748.0,1922.0,2116.0,2035.0,1883.0,1871.0,1784.0
Inventories,Other Assets,750.0,701.0,662.0,681.0,829.0,935.0,822.0,998.0,1148.0,1164.0,1301.0,1018.0
Trade receivables,Other Assets,1355.0,1485.0,1112.0,1120.0,1240.0,1413.0,510.0,625.0,367.0,626.0,423.0,641.0
Cash Equivalents,Other Assets,16.0,10.0,13.0,16.0,235.0,189.0,1451.0,1182.0,1994.0,1529.0,2308.0,1109.0
Loans n Advances,Other Assets,63.0,202.0,131.0,103.0,68.0,853.0,109.0,97.0,110.0,419.0,608.0,2623.0
Other asset items,Other Assets,1678.0,1006.0,767.0,352.0,454.0,465.0,683.0,2824.0,1328.0,422.0,627.0,495.0
