,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,501.0,506.0,513.0,519.0,545.0,548.0,551.0,555.0,558.0,760.0,765.0,1539.0
Reserves,,62653.0,73798.0,91281.0,109080.0,153128.0,175810.0,209259.0,246772.0,288880.0,455636.0,521024.0,584520.0
Deposits,,450284.0,545873.0,643134.0,788375.0,922503.0,1146207.0,1333721.0,1558003.0,1882663.0,2376887.0,2710898.0,3099638.0
Borrowing,,59478.0,103714.0,98416.0,156442.0,157733.0,186834.0,177697.0,226966.0,256549.0,730615.0,634606.0,588485.0
Other Liabilities,,34181.0,38321.0,59000.0,48770.0,58898.0,71430.0,78279.0,90639.0,101783.0,466296.0,524817.0,633519.0
Total Liabilities,,607097.0,762212.0,892344.0,1103186.0,1292806.0,1580830.0,1799507.0,2122934.0,2530432.0,4030194.0,4392110.0,4907701.0
Fixed Assets,,3225.0,3667.0,4000.0,4008.0,4369.0,4776.0,5248.0,6432.0,8431.0,12604.0,15258.0,16492.0
CWIP,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,,149454.0,193634.0,210777.0,238461.0,289446.0,389305.0,438823.0,449264.0,511582.0,1005682.0,1186473.0,1280216.0
Other Assets,,454417.0,564912.0,677567.0,860717.0,998991.0,1186750.0,1355435.0,1667238.0,2010419.0,3011909.0,3190379.0,3610993.0
Total Assets,,607097.0,762212.0,892344.0,1103186.0,1292806.0,1580830.0,1799507.0,2122934.0,2530432.0,4030194.0,4392110.0,4907701.0
Building,Fixed Assets,1503.0,1579.0,1638.0,1729.0,1826.0,1891.0,2056.0,2209.0,2463.0,5055.0,5652.0,6325.0
Other fixed assets,Fixed Assets,7170.0,8132.0,9097.0,9863.0,11188.0,12305.0,13259.0,15468.0,19360.0,25212.0,29522.0,32769.0
Gross Block,Fixed Assets,8673.0,9710.0,10736.0,11592.0,13014.0,14196.0,15315.0,17677.0,21822.0,30266.0,35175.0,39094.0
Accumulated Depreciation,Fixed Assets,5404.0,5999.0,6692.0,7539.0,8601.0,9376.0,10066.0,11245.0,13391.0,17663.0,19917.0,22602.0
Non controlling int,Other Liabilities,162.0,181.0,291.0,356.0,502.0,577.0,633.0,720.0,860.0,13383.0,16359.0,22385.0
Trade Payables,Other Liabilities,6085.0,7378.0,16667.0,8222.0,7040.0,7584.0,12424.0,13094.0,11791.0,13933.0,13654.0,14574.0
Other liability items,Other Liabilities,27934.0,30762.0,42042.0,40192.0,51355.0,63270.0,65222.0,76824.0,89132.0,438980.0,494804.0,596560.0
Cash Equivalents,Other Assets,22189.0,24489.0,33633.0,97138.0,39372.0,62997.0,86648.0,118791.0,103918.0,165659.0,132227.0,187494.0
Loans n Advances,Other Assets,1514.0,1763.0,1727.0,1830.0,1955.0,2656.0,3527.0,4289.0,5201.0,17439.0,16646.0,13664.0
Other asset items,Other Assets,430714.0,538660.0,642207.0,761749.0,957664.0,1121096.0,1265260.0,1544158.0,1901300.0,2828811.0,3041505.0,3409835.0
