,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
Reserves,,428.0,507.0,577.0,605.0,655.0,607.0,626.0,676.0,801.0,954.0
Borrowings,,40.0,32.0,31.0,357.0,293.0,363.0,353.0,164.0,250.0,156.0
Other Liabilities,,397.0,538.0,619.0,662.0,903.0,1019.0,1086.0,1298.0,1266.0,1333.0
Total Liabilities,,907.0,1118.0,1268.0,1665.0,1891.0,2030.0,2107.0,2180.0,2358.0,2484.0
Fixed Assets,,329.0,339.0,358.0,625.0,654.0,698.0,695.0,629.0,695.0,701.0
CWIP,,14.0,7.0,24.0,10.0,21.0,15.0,21.0,16.0,14.0,14.0
Investments,,54.0,93.0,27.0,153.0,260.0,229.0,186.0,263.0,254.0,313.0
Other Assets,,509.0,679.0,859.0,877.0,956.0,1088.0,1205.0,1271.0,1395.0,1456.0
Total Assets,,907.0,1118.0,1268.0,1665.0,1891.0,2030.0,2107.0,2180.0,2358.0,2484.0
Land,Fixed Assets,14.26,14.26,14.05,14.05,14.05,92.66,92.66,53.77,82.87,
Building,Fixed Assets,53.39,54.83,55.8,103.12,125.66,245.17,265.79,255.43,312.1,
Plant Machinery,Fixed Assets,253.15,306.37,340.97,527.18,597.64,644.6,693.65,746.92,800.49,
Equipments,Fixed Assets,2.7,3.67,4.29,5.68,6.29,7.8,8.38,9.75,10.39,
Computers,Fixed Assets,7.09,9.07,10.99,14.1,16.5,20.85,24.79,29.69,32.95,
Furniture n fittings,Fixed Assets,14.59,18.66,22.56,25.26,29.17,35.74,38.66,41.73,45.44,
Vehicles,Fixed Assets,0.61,0.81,0.82,0.74,0.89,1.0,3.24,3.16,2.19,
Intangible Assets,Fixed Assets,4.26,9.43,51.28,71.41,71.21,74.18,72.41,80.82,85.12,39.92
Other fixed assets,Fixed Assets,23.4,29.63,22.15,120.3,133.13,29.31,30.19,32.41,33.67,
Gross Block,Fixed Assets,373.45,446.73,522.91,881.84,994.54,1151.31,1229.77,1253.68,1405.22,
Accumulated Depreciation,Fixed Assets,44.19,108.07,165.29,257.24,340.86,453.68,534.96,624.2,709.95,
Long term Borrowings,Borrowings,19.0,13.0,6.0,254.0,172.0,115.0,64.0,22.0,13.0,6.0
Short term Borrowings,Borrowings,15.0,9.0,15.0,35.0,61.0,124.0,140.0,48.0,85.0,10.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,59.0,60.0,124.0,149.0,95.0,152.0,140.0
Other Borrowings,Borrowings,6.0,9.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,272.0,385.0,457.0,473.0,655.0,812.0,830.0,973.0,943.0,993.0
Advance from Customers,Other Liabilities,9.0,12.0,12.0,21.0,32.0,21.0,20.0,55.0,26.0,
Other liability items,Other Liabilities,110.0,137.0,148.0,167.0,216.0,186.0,236.0,270.0,296.0,340.0
Inventories,Other Assets,242.0,319.0,404.0,383.0,462.0,577.0,573.0,539.0,670.0,635.0
Trade receivables,Other Assets,145.0,187.0,248.0,205.0,266.0,310.0,413.0,463.0,430.0,437.0
Cash Equivalents,Other Assets,47.0,68.0,97.0,125.0,122.0,93.0,97.0,111.0,110.0,122.0
Loans n Advances,Other Assets,4.0,9.0,11.0,8.0,15.0,12.0,13.0,59.0,68.0,33.0
Other asset items,Other Assets,71.0,96.0,99.0,156.0,91.0,97.0,108.0,99.0,117.0,228.0
