,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,361.0,384.0,384.0,385.0,385.0,385.0,386.0,386.0,386.0,387.0
Reserves,,3418.0,6693.0,6561.0,5493.0,-274.0,-6373.0,-6638.0,1610.0,8982.0,6584.0
Borrowings,,2596.0,2254.0,2429.0,22719.0,29860.0,36878.0,44860.0,51280.0,66810.0,77749.0
Other Liabilities,,8834.0,11798.0,15651.0,13504.0,13081.0,15073.0,20562.0,28948.0,39666.0,51282.0
Total Liabilities,,15210.0,21129.0,25026.0,42101.0,43051.0,45963.0,59170.0,82224.0,115844.0,136002.0
Fixed Assets,,3794.0,4579.0,5662.0,16779.0,18817.0,21284.0,27658.0,36154.0,51782.0,63157.0
CWIP,,25.0,32.0,24.0,140.0,72.0,125.0,21.0,1.0,3.0,59.0
Investments,,3713.0,6344.0,6517.0,9499.0,7339.0,8106.0,11558.0,16546.0,26093.0,27675.0
Other Assets,,7677.0,10174.0,12824.0,15682.0,16823.0,16447.0,19933.0,29524.0,37966.0,45111.0
Total Assets,,15210.0,21129.0,25026.0,42101.0,43051.0,45963.0,59170.0,82224.0,115844.0,136002.0
Land,Fixed Assets,0.0,0.0,0.0,290.0,294.0,329.0,329.0,329.0,329.0,822.0
Building,Fixed Assets,159.0,222.0,291.0,471.0,582.0,503.0,829.0,906.0,1015.0,1082.0
Equipments,Fixed Assets,132.0,153.0,235.0,854.0,890.0,913.0,1016.0,1613.0,1925.0,2153.0
Computers,Fixed Assets,44.0,70.0,92.0,117.0,132.0,160.0,166.0,239.0,297.0,353.0
Furniture n fittings,Fixed Assets,19.0,22.0,28.0,34.0,37.0,38.0,49.0,70.0,79.0,84.0
Vehicles,Fixed Assets,4243.0,5279.0,6813.0,20644.0,25737.0,31156.0,40674.0,54325.0,76097.0,90601.0
Other fixed assets,Fixed Assets,76.0,102.0,116.0,147.0,163.0,170.0,173.0,226.0,229.0,237.0
Gross Block,Fixed Assets,4672.0,5848.0,7576.0,22557.0,27835.0,33268.0,43236.0,57707.0,79971.0,95331.0
Accumulated Depreciation,Fixed Assets,878.0,1270.0,1913.0,5777.0,9019.0,11985.0,15578.0,21554.0,28190.0,32174.0
Long term Borrowings,Borrowings,2396.0,2241.0,2194.0,347.0,382.0,416.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,0.0,0.0,0.0,0.0,2124.0,3481.0,2252.0,1892.0,1800.0,1806.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,22034.0,27354.0,32981.0,42602.0,49388.0,65010.0,75943.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Other Borrowings,Borrowings,200.0,13.0,236.0,339.0,-0.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Trade Payables,Other Liabilities,775.0,1000.0,1453.0,1568.0,1551.0,3152.0,3209.0,3158.0,4176.0,4990.0
Advance from Customers,Other Liabilities,177.0,372.0,447.0,470.0,304.0,417.0,678.0,860.0,1125.0,926.0
Other liability items,Other Liabilities,7883.0,10425.0,13751.0,11466.0,11225.0,11504.0,16676.0,24931.0,34365.0,45350.0
Inventories,Other Assets,163.0,183.0,211.0,286.0,316.0,408.0,591.0,625.0,820.0,985.0
Trade receivables,Other Assets,159.0,226.0,362.0,259.0,219.0,333.0,520.0,642.0,740.0,600.0
Cash Equivalents,Other Assets,4633.0,6581.0,8622.0,10872.0,11228.0,10120.0,11840.0,16721.0,18963.0,23999.0
Loans n Advances,Other Assets,191.0,218.0,428.0,127.0,98.0,130.0,127.0,221.0,1479.0,1424.0
Other asset items,Other Assets,2532.0,2966.0,3199.0,4137.0,4962.0,5456.0,6855.0,11315.0,15963.0,18103.0
