,parent_line_item,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Equity Capital,,237.0,251.0,360.0,497.0,599.0,639.0,639.0
Reserves,,356.0,488.0,868.0,1308.0,1523.0,1576.0,1482.0
Borrowings,,1131.0,1244.0,1716.0,2422.0,3679.0,4055.0,4114.0
Other Liabilities,,240.0,825.0,664.0,701.0,779.0,958.0,863.0
Total Liabilities,,1965.0,2807.0,3608.0,4929.0,6580.0,7228.0,7098.0
Fixed Assets,,1130.0,1098.0,1166.0,1268.0,1481.0,1410.0,2207.0
CWIP,,39.0,199.0,635.0,1062.0,2058.0,3163.0,2852.0
Investments,,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Other Assets,,796.0,1510.0,1808.0,2597.0,3040.0,2654.0,2038.0
Total Assets,,1965.0,2807.0,3608.0,4929.0,6580.0,7228.0,7098.0
Land,Fixed Assets,22.0,29.0,43.0,65.0,87.0,91.0,60.0
Building,Fixed Assets,191.0,200.0,190.0,197.0,245.0,246.0,278.0
Plant Machinery,Fixed Assets,1247.0,1277.0,1411.0,1560.0,1847.0,1860.0,2766.0
Equipments,Fixed Assets,3.0,3.0,4.0,4.0,5.0,5.0,6.0
Furniture n fittings,Fixed Assets,4.0,4.0,4.0,5.0,5.0,5.0,5.0
Railway sidings,Fixed Assets,32.0,32.0,32.0,32.0,32.0,32.0,32.0
Vehicles,Fixed Assets,6.0,7.0,7.0,8.0,9.0,9.0,9.0
Intangible Assets,Fixed Assets,6.0,6.0,17.0,7.0,7.0,7.0,7.0
Other fixed assets,Fixed Assets,39.0,44.0,48.0,78.0,103.0,106.0,15.0
Gross Block,Fixed Assets,1551.0,1604.0,1755.0,1955.0,2339.0,2362.0,3178.0
Accumulated Depreciation,Fixed Assets,421.0,505.0,589.0,686.0,858.0,952.0,971.0
Long term Borrowings,Borrowings,,555.0,1145.0,1465.0,2480.0,2982.0,3046.0
Short term Borrowings,Borrowings,,543.0,429.0,777.0,1001.0,845.0,896.0
Other Borrowings,Borrowings,1131.0,146.0,143.0,180.0,198.0,228.0,172.0
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,60.0,358.0,343.0,358.0,369.0,432.0,383.0
Advance from Customers,Other Liabilities,18.0,23.0,20.0,25.0,52.0,50.0,61.0
Other liability items,Other Liabilities,162.0,443.0,301.0,318.0,358.0,476.0,418.0
Inventories,Other Assets,347.0,558.0,694.0,802.0,782.0,925.0,630.0
Trade receivables,Other Assets,155.0,257.0,291.0,302.0,411.0,314.0,313.0
Cash Equivalents,Other Assets,35.0,73.0,123.0,152.0,255.0,60.0,48.0
Loans n Advances,Other Assets,36.0,60.0,67.0,41.0,45.0,31.0,19.0
Other asset items,Other Assets,222.0,563.0,633.0,1301.0,1548.0,1324.0,1026.0
