,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,7.0,7.0,7.0,46.0,58.0,64.0,64.0,67.0
Reserves,,86.0,96.0,132.0,156.0,901.0,2423.0,2776.0,4681.0
Borrowings,,156.0,153.0,148.0,189.0,155.0,323.0,903.0,913.0
Other Liabilities,,115.0,122.0,132.0,231.0,305.0,456.0,898.0,1233.0
Total Liabilities,,363.0,378.0,419.0,622.0,1419.0,3265.0,4641.0,6894.0
Fixed Assets,,53.0,66.0,80.0,113.0,132.0,319.0,845.0,1732.0
CWIP,,2.0,12.0,13.0,8.0,29.0,105.0,391.0,372.0
Investments,,2.0,2.0,2.0,2.0,3.0,132.0,132.0,257.0
Other Assets,,306.0,299.0,325.0,499.0,1254.0,2709.0,3273.0,4532.0
Total Assets,,363.0,378.0,419.0,622.0,1419.0,3265.0,4641.0,6894.0
Land,Fixed Assets,2.0,2.0,2.0,3.0,9.0,9.0,53.0,
Building,Fixed Assets,10.0,12.0,19.0,19.0,19.0,75.0,77.0,
Plant Machinery,Fixed Assets,48.0,53.0,58.0,68.0,93.0,201.0,427.0,
Equipments,Fixed Assets,1.0,2.0,2.0,2.0,2.0,3.0,6.0,
Computers,Fixed Assets,3.0,3.0,3.0,3.0,4.0,6.0,12.0,
Furniture n fittings,Fixed Assets,6.0,7.0,8.0,9.0,9.0,23.0,36.0,
Vehicles,Fixed Assets,5.0,6.0,6.0,7.0,8.0,11.0,15.0,
Intangible Assets,Fixed Assets,6.0,7.0,17.0,35.0,35.0,51.0,160.0,536.0
Other fixed assets,Fixed Assets,2.0,12.0,12.0,25.0,25.0,35.0,218.0,
Gross Block,Fixed Assets,83.0,104.0,127.0,171.0,205.0,414.0,1004.0,
Accumulated Depreciation,Fixed Assets,30.0,39.0,47.0,58.0,73.0,94.0,159.0,
Long term Borrowings,Borrowings,30.0,10.0,17.0,29.0,15.0,11.0,67.0,337.0
Short term Borrowings,Borrowings,126.0,134.0,122.0,140.0,121.0,295.0,808.0,538.0
Lease Liabilities,Borrowings,0.0,9.0,9.0,20.0,19.0,16.0,28.0,38.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,
Non controlling int,Other Liabilities,1.0,1.0,1.0,1.0,1.0,2.0,4.0,14.0
Trade Payables,Other Liabilities,90.0,92.0,95.0,164.0,223.0,361.0,683.0,851.0
Advance from Customers,Other Liabilities,3.0,2.0,9.0,14.0,20.0,8.0,9.0,
Other liability items,Other Liabilities,21.0,28.0,27.0,52.0,60.0,85.0,202.0,368.0
Inventories,Other Assets,122.0,151.0,164.0,226.0,413.0,548.0,814.0,1103.0
Trade receivables,Other Assets,123.0,94.0,122.0,198.0,227.0,356.0,575.0,1528.0
Cash Equivalents,Other Assets,32.0,12.0,14.0,22.0,486.0,1526.0,1056.0,799.0
Loans n Advances,Other Assets,21.0,27.0,12.0,35.0,82.0,86.0,102.0,23.0
Other asset items,Other Assets,9.0,14.0,13.0,19.0,46.0,194.0,725.0,1080.0
