,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,108.0,108.0,113.0,396.0,396.0,396.0,396.0,482.0,482.0,994.0,998.0,999.0
Reserves,,3186.0,3865.0,3920.0,4756.0,3445.0,4156.0,4203.0,11624.0,12181.0,16475.0,19180.0,22287.0
Borrowings,,11852.0,13835.0,16183.0,22616.0,25641.0,18423.0,18193.0,11537.0,9060.0,7698.0,7094.0,9896.0
Other Liabilities,,12752.0,13173.0,13715.0,12483.0,20382.0,17717.0,16516.0,14763.0,17399.0,22031.0,22325.0,25497.0
Total Liabilities,,27898.0,30981.0,33931.0,40251.0,49864.0,40693.0,39308.0,38404.0,39122.0,47198.0,49597.0,58680.0
Fixed Assets,,2290.0,1899.0,1753.0,2197.0,2139.0,2021.0,1946.0,1923.0,1828.0,1169.0,1368.0,2641.0
CWIP,,4.0,176.0,109.0,6.0,6.0,6.0,6.0,0.0,0.0,4.0,4.0,10.0
Investments,,595.0,611.0,1180.0,1384.0,1405.0,1553.0,1579.0,574.0,246.0,2500.0,1250.0,1454.0
Other Assets,,25008.0,28295.0,30888.0,36664.0,46314.0,37112.0,35776.0,35908.0,37048.0,43524.0,46976.0,54575.0
Total Assets,,27898.0,30981.0,33931.0,40251.0,49864.0,40693.0,39308.0,38404.0,39122.0,47198.0,49597.0,58680.0
Land,Fixed Assets,0.0,0.0,69.0,676.0,676.0,676.0,676.0,680.0,680.0,51.0,51.0,57.0
Building,Fixed Assets,515.0,525.0,535.0,567.0,569.0,561.0,561.0,561.0,560.0,513.0,513.0,663.0
Plant Machinery,Fixed Assets,130.0,133.0,157.0,291.0,365.0,396.0,392.0,428.0,488.0,612.0,753.0,895.0
Equipments,Fixed Assets,19.0,23.0,28.0,31.0,35.0,37.0,37.0,39.0,50.0,68.0,102.0,125.0
Computers,Fixed Assets,29.0,35.0,35.0,33.0,38.0,38.0,38.0,43.0,56.0,74.0,82.0,96.0
Furniture n fittings,Fixed Assets,33.0,35.0,37.0,38.0,40.0,34.0,34.0,36.0,38.0,41.0,44.0,100.0
Vehicles,Fixed Assets,9.0,10.0,9.0,9.0,8.0,7.0,6.0,9.0,10.0,12.0,16.0,20.0
Intangible Assets,Fixed Assets,1757.0,1782.0,1783.0,1824.0,1824.0,1854.0,1854.0,1854.0,1601.0,1601.0,1601.0,1601.0
Other fixed assets,Fixed Assets,37.0,34.0,228.0,219.0,284.0,348.0,346.0,343.0,252.0,263.0,538.0,1761.0
Gross Block,Fixed Assets,2530.0,2577.0,2882.0,3687.0,3837.0,3951.0,3945.0,3993.0,3735.0,3235.0,3699.0,5318.0
Accumulated Depreciation,Fixed Assets,240.0,678.0,1128.0,1490.0,1698.0,1930.0,1998.0,2070.0,1908.0,2066.0,2332.0,2677.0
Long term Borrowings,Borrowings,0.0,,1467.0,2494.0,514.0,2134.0,4268.0,2716.0,2257.0,1970.0,1216.0,3716.0
Short term Borrowings,Borrowings,0.0,,17808.0,20107.0,22849.0,16280.0,13925.0,8821.0,6792.0,5710.0,5864.0,6168.0
Lease Liabilities,Borrowings,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.0,14.0,12.0
Preference Capital,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,18.0,25.0
Other Borrowings,Borrowings,11852.0,13835.0,-3092.0,16.0,2278.0,9.0,0.0,0.0,-10.0,-13.0,-18.0,-25.0
Non controlling int,Other Liabilities,135.0,166.0,134.0,43.0,535.0,519.0,527.0,57.0,60.0,65.0,67.0,143.0
Trade Payables,Other Liabilities,1699.0,2181.0,2348.0,1925.0,2057.0,2050.0,1533.0,1386.0,1966.0,2531.0,2936.0,3403.0
Advance from Customers,Other Liabilities,6402.0,5247.0,5747.0,5454.0,12240.0,8666.0,8180.0,7431.0,7351.0,8417.0,8814.0,7209.0
Other liability items,Other Liabilities,4516.0,5579.0,5486.0,5061.0,5550.0,6482.0,6277.0,5888.0,8022.0,11018.0,10507.0,14743.0
Inventories,Other Assets,19170.0,21023.0,22208.0,31434.0,41512.0,29031.0,28301.0,27358.0,30117.0,33993.0,36476.0,40254.0
Trade receivables,Other Assets,1068.0,685.0,604.0,759.0,484.0,794.0,655.0,645.0,739.0,800.0,776.0,1472.0
Cash Equivalents,Other Assets,435.0,305.0,279.0,522.0,658.0,187.0,367.0,1246.0,1824.0,2635.0,1742.0,3586.0
Loans n Advances,Other Assets,1633.0,1949.0,1893.0,714.0,1790.0,1391.0,1172.0,1488.0,1411.0,2338.0,3144.0,3902.0
Other asset items,Other Assets,2702.0,4333.0,5904.0,3235.0,1870.0,5709.0,5282.0,5171.0,2957.0,3758.0,4839.0,5361.0
