,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,1720.0,1753.0,1756.0,1996.0,1999.0,2005.0,2469.0,2474.0,2480.0,2489.0,2495.0,2504.0
Reserves,,4656.0,5442.0,6138.0,9411.0,11450.0,12688.0,16304.0,17474.0,19049.0,20950.0,23069.0,25479.0
Borrowing,,43454.0,52829.0,61024.0,75248.0,91507.0,93934.0,88592.0,85237.0,83105.0,76603.0,92372.0,110298.0
Other Liabilities,,2912.0,3775.0,3593.0,1117.0,1094.0,902.0,1582.0,1696.0,1706.0,2652.0,2447.0,3903.0
Total Liabilities,,52742.0,63799.0,72511.0,87772.0,106050.0,109529.0,108947.0,106880.0,106339.0,102694.0,120384.0,142184.0
Fixed Assets,,1184.0,1313.0,1230.0,1151.0,1127.0,1100.0,1138.0,509.0,553.0,519.0,641.0,1308.0
CWIP,,174.0,22.0,28.0,19.0,39.0,62.0,24.0,22.0,5.0,36.0,45.0,62.0
Investments,,2649.0,3563.0,6012.0,5301.0,8641.0,5979.0,8872.0,11917.0,14366.0,12385.0,11876.0,10564.0
Other Assets,,48736.0,58901.0,65242.0,81301.0,96243.0,102387.0,98912.0,94433.0,91415.0,89754.0,107822.0,130250.0
Total Assets,,52742.0,63799.0,72511.0,87772.0,106050.0,109529.0,108947.0,106880.0,106339.0,102694.0,120384.0,142184.0
Land,Fixed Assets,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,156.0,156.0
Building,Fixed Assets,150.0,303.0,305.0,2.0,16.0,12.0,12.0,10.0,12.0,168.0,195.0,228.0
Plant Machinery,Fixed Assets,95.0,99.0,77.0,26.0,12.0,7.0,3.0,3.0,3.0,3.0,0.0,0.0
Equipments,Fixed Assets,23.0,31.0,30.0,11.0,12.0,13.0,14.0,18.0,34.0,34.0,49.0,78.0
Computers,Fixed Assets,78.0,86.0,84.0,22.0,35.0,41.0,42.0,41.0,45.0,58.0,46.0,80.0
Furniture n fittings,Fixed Assets,40.0,73.0,72.0,37.0,35.0,36.0,37.0,37.0,52.0,49.0,52.0,62.0
Vehicles,Fixed Assets,214.0,178.0,111.0,24.0,15.0,8.0,6.0,6.0,14.0,22.0,31.0,36.0
Intangible Assets,Fixed Assets,639.0,639.0,639.0,639.0,639.0,637.0,637.0,13.0,13.0,13.0,13.0,196.0
Other fixed assets,Fixed Assets,109.0,115.0,125.0,483.0,495.0,526.0,666.0,707.0,800.0,510.0,1107.0,1482.0
Gross Block,Fixed Assets,1507.0,1684.0,1601.0,1245.0,1260.0,1280.0,1417.0,835.0,974.0,1014.0,1649.0,2318.0
Accumulated Depreciation,Fixed Assets,323.0,371.0,371.0,94.0,132.0,180.0,279.0,326.0,421.0,495.0,1008.0,1011.0
Non controlling int,Other Liabilities,100.0,100.0,119.0,223.0,222.0,220.0,197.0,180.0,89.0,90.0,67.0,50.0
Trade Payables,Other Liabilities,72.0,69.0,73.0,168.0,120.0,65.0,372.0,433.0,806.0,1222.0,1372.0,1770.0
Advance from Customers,Other Liabilities,226.0,145.0,293.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liability items,Other Liabilities,2513.0,3461.0,3109.0,725.0,751.0,617.0,1013.0,1083.0,810.0,1341.0,1009.0,2082.0
Trade receivables,Other Assets,21.0,27.0,79.0,126.0,106.0,65.0,47.0,16.0,6.0,247.0,117.0,102.0
Cash Equivalents,Other Assets,862.0,402.0,594.0,1109.0,1874.0,7804.0,8427.0,7970.0,12749.0,4676.0,10833.0,7959.0
Loans n Advances,Other Assets,11191.0,12184.0,12363.0,593.0,724.0,964.0,738.0,723.0,711.0,314.0,357.0,417.0
Other asset items,Other Assets,36661.0,46289.0,52206.0,79473.0,93539.0,93554.0,89701.0,85724.0,77949.0,84517.0,96515.0,121772.0
