,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,64.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,130.0
Reserves,,1760.0,1888.0,2197.0,2414.0,2846.0,2894.0,3111.0,3219.0,3670.0,3703.0,3846.0,4080.0
Borrowings,,428.0,331.0,239.0,312.0,352.0,338.0,511.0,479.0,608.0,528.0,554.0,557.0
Other Liabilities,,873.0,1010.0,1059.0,1217.0,1569.0,1603.0,1675.0,1850.0,2393.0,2993.0,3746.0,5183.0
Total Liabilities,,3125.0,3358.0,3623.0,4072.0,4896.0,4964.0,5426.0,5677.0,6800.0,7353.0,8275.0,9950.0
Fixed Assets,,1076.0,1050.0,1085.0,1110.0,1300.0,1396.0,1612.0,1760.0,2246.0,2724.0,2758.0,3633.0
CWIP,,3.0,37.0,11.0,27.0,45.0,58.0,24.0,39.0,67.0,44.0,40.0,85.0
Investments,,284.0,544.0,608.0,543.0,450.0,733.0,854.0,828.0,1096.0,602.0,1590.0,2083.0
Other Assets,,1763.0,1727.0,1919.0,2392.0,3101.0,2777.0,2936.0,3050.0,3391.0,3983.0,3887.0,4149.0
Total Assets,,3125.0,3358.0,3623.0,4072.0,4896.0,4964.0,5426.0,5677.0,6800.0,7353.0,8275.0,9950.0
Land,Fixed Assets,52.0,50.0,49.0,48.0,71.0,74.0,73.0,81.0,71.0,91.0,84.0,99.0
Building,Fixed Assets,306.0,266.0,276.0,291.0,560.0,617.0,597.0,620.0,645.0,706.0,679.0,785.0
Plant Machinery,Fixed Assets,477.0,272.0,359.0,401.0,470.0,583.0,590.0,671.0,748.0,837.0,811.0,964.0
Equipments,Fixed Assets,14.0,10.0,13.0,17.0,18.0,20.0,23.0,26.0,29.0,33.0,32.0,34.0
Furniture n fittings,Fixed Assets,24.0,12.0,14.0,20.0,21.0,28.0,32.0,36.0,39.0,46.0,47.0,59.0
Vehicles,Fixed Assets,7.0,2.0,3.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
Intangible Assets,Fixed Assets,560.0,519.0,502.0,543.0,554.0,573.0,830.0,945.0,1409.0,1773.0,1767.0,2468.0
Other fixed assets,Fixed Assets,33.0,11.0,45.0,45.0,36.0,40.0,53.0,138.0,68.0,92.0,110.0,145.0
Gross Block,Fixed Assets,1473.0,1142.0,1260.0,1369.0,1734.0,1940.0,2204.0,2523.0,3015.0,3584.0,3536.0,4560.0
Accumulated Depreciation,Fixed Assets,397.0,92.0,175.0,259.0,434.0,544.0,592.0,763.0,769.0,860.0,778.0,927.0
Long term Borrowings,Borrowings,169.0,0.0,0.0,20.0,14.0,10.0,8.0,0.0,2.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,165.0,153.0,239.0,289.0,335.0,325.0,340.0,345.0,473.0,383.0,379.0,355.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,160.0,134.0,133.0,145.0,175.0,202.0
Other Borrowings,Borrowings,94.0,179.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,14.0,14.0,13.0,12.0,12.0,13.0,18.0,57.0,157.0,337.0,291.0,284.0
Trade Payables,Other Liabilities,564.0,669.0,697.0,822.0,944.0,950.0,1134.0,1344.0,1452.0,1581.0,1363.0,2039.0
Advance from Customers,Other Liabilities,30.0,27.0,23.0,23.0,30.0,20.0,41.0,27.0,46.0,30.0,60.0,63.0
Other liability items,Other Liabilities,264.0,299.0,326.0,360.0,583.0,620.0,482.0,422.0,738.0,1045.0,2032.0,2797.0
Inventories,Other Assets,995.0,926.0,1253.0,1511.0,1411.0,1380.0,1126.0,1412.0,1225.0,1336.0,1235.0,1611.0
Trade receivables,Other Assets,177.0,252.0,247.0,340.0,517.0,539.0,388.0,652.0,1015.0,1069.0,1271.0,1304.0
Cash Equivalents,Other Assets,205.0,317.0,236.0,201.0,552.0,279.0,944.0,579.0,756.0,943.0,777.0,493.0
Loans n Advances,Other Assets,89.0,106.0,83.0,217.0,110.0,97.0,102.0,20.0,110.0,214.0,214.0,162.0
Other asset items,Other Assets,297.0,126.0,100.0,123.0,511.0,482.0,376.0,387.0,285.0,421.0,390.0,579.0
