,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,53.0,53.0,62.0,68.0,68.0,69.0,69.0,70.0,70.0,140.0,140.0,141.0
Reserves,,148.0,166.0,188.0,337.0,428.0,480.0,596.0,742.0,913.0,1084.0,1376.0,1636.0
Borrowings,,55.0,69.0,71.0,66.0,68.0,76.0,20.0,28.0,43.0,49.0,53.0,39.0
Other Liabilities,,68.0,101.0,106.0,138.0,177.0,245.0,235.0,264.0,319.0,414.0,475.0,626.0
Total Liabilities,,324.0,389.0,427.0,609.0,742.0,871.0,921.0,1103.0,1345.0,1686.0,2045.0,2442.0
Fixed Assets,,23.0,57.0,62.0,68.0,69.0,130.0,205.0,230.0,245.0,248.0,259.0,239.0
CWIP,,5.0,6.0,11.0,17.0,83.0,91.0,0.0,0.0,0.0,3.0,0.0,1.0
Investments,,60.0,45.0,49.0,50.0,52.0,76.0,83.0,92.0,131.0,365.0,508.0,703.0
Other Assets,,236.0,281.0,306.0,474.0,539.0,574.0,632.0,781.0,969.0,1070.0,1278.0,1499.0
Total Assets,,324.0,389.0,427.0,609.0,742.0,871.0,921.0,1103.0,1345.0,1686.0,2045.0,2442.0
Land,Fixed Assets,0.0,28.0,35.0,35.0,35.0,34.0,34.0,33.0,33.0,32.0,32.0,33.0
Building,Fixed Assets,12.0,14.0,11.0,17.0,17.0,70.0,154.0,151.0,167.0,174.0,193.0,183.0
Plant Machinery,Fixed Assets,3.0,4.0,3.0,3.0,3.0,5.0,8.0,7.0,7.0,7.0,8.0,8.0
Equipments,Fixed Assets,4.0,5.0,3.0,4.0,4.0,12.0,13.0,14.0,14.0,14.0,16.0,17.0
Computers,Fixed Assets,17.0,20.0,9.0,12.0,14.0,18.0,20.0,31.0,30.0,35.0,37.0,41.0
Furniture n fittings,Fixed Assets,3.0,4.0,3.0,4.0,3.0,4.0,7.0,7.0,7.0,7.0,9.0,9.0
Vehicles,Fixed Assets,2.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,9.0,9.0,9.0
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0
Other fixed assets,Fixed Assets,7.0,8.0,1.0,2.0,3.0,4.0,4.0,21.0,21.0,22.0,22.0,25.0
Gross Block,Fixed Assets,50.0,87.0,67.0,79.0,83.0,149.0,242.0,272.0,287.0,303.0,329.0,327.0
Accumulated Depreciation,Fixed Assets,26.0,30.0,5.0,10.0,14.0,19.0,37.0,42.0,43.0,55.0,70.0,88.0
Long term Borrowings,Borrowings,0.0,0.0,16.18,13.17,0.0,0.0,0.0,4.3,2.2,0.0,0.0,0.0
Short term Borrowings,Borrowings,44.58,58.83,52.26,49.46,67.73,74.53,0.0,1.89,2.04,2.2,0.0,0.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,20.09,21.64,38.48,46.31,53.48,39.36
Preference Capital,Borrowings,10.3,10.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,0.0,0.0,3.02,3.03,0.59,1.81,0.0,-0.01,-0.01,0.0,0.0,0.0
Trade Payables,Other Liabilities,14.0,15.0,18.0,23.0,22.0,28.0,23.0,36.0,35.0,48.0,50.0,55.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liability items,Other Liabilities,54.0,86.0,88.0,115.0,155.0,218.0,212.0,227.0,284.0,367.0,425.0,571.0
Trade receivables,Other Assets,176.0,206.0,200.0,222.0,253.0,269.0,239.0,279.0,388.0,444.0,557.0,708.0
Cash Equivalents,Other Assets,19.0,24.0,35.0,145.0,179.0,165.0,242.0,276.0,208.0,376.0,416.0,412.0
Loans n Advances,Other Assets,5.0,13.0,5.0,6.0,7.0,6.0,7.0,9.0,90.0,85.0,16.0,20.0
Other asset items,Other Assets,36.0,39.0,66.0,100.0,100.0,133.0,146.0,216.0,282.0,166.0,289.0,359.0
