,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,2.0,3.0,4.0,4.0,11.0,11.0
Reserves,,774.0,1009.0,781.0,392.0,5869.0,5820.0
Borrowings,,386.0,1154.0,864.0,562.0,772.0,1504.0
Other Liabilities,,96.0,276.0,365.0,468.0,1005.0,875.0
Total Liabilities,,1258.0,2442.0,2015.0,1426.0,7657.0,8210.0
Fixed Assets,,633.0,1231.0,1361.0,863.0,6118.0,6233.0
CWIP,,431.0,490.0,334.0,188.0,218.0,314.0
Investments,,0.0,0.0,4.0,20.0,16.0,16.0
Other Assets,,195.0,722.0,314.0,356.0,1305.0,1648.0
Total Assets,,1258.0,2442.0,2015.0,1426.0,7657.0,8210.0
Land,Fixed Assets,16.0,15.0,16.0,19.0,19.0,
Building,Fixed Assets,130.0,175.0,182.0,127.0,309.0,
Plant Machinery,Fixed Assets,547.0,1157.0,1194.0,762.0,890.0,
Equipments,Fixed Assets,8.0,12.0,12.0,10.0,13.0,
Computers,Fixed Assets,8.0,16.0,16.0,11.0,14.0,
Furniture n fittings,Fixed Assets,6.0,10.0,11.0,8.0,9.0,
Vehicles,Fixed Assets,0.0,0.0,0.0,0.0,0.0,
Intangible Assets,Fixed Assets,0.0,0.0,193.0,193.0,4021.0,5307.0
Other fixed assets,Fixed Assets,4.0,6.0,8.0,7.0,1393.0,
Gross Block,Fixed Assets,718.0,1391.0,1633.0,1139.0,6668.0,
Accumulated Depreciation,Fixed Assets,86.0,160.0,271.0,277.0,550.0,
Long term Borrowings,Borrowings,309.0,597.0,335.0,272.0,219.0,564.0
Short term Borrowings,Borrowings,77.0,557.0,502.0,291.0,552.0,713.0
Lease Liabilities,Borrowings,0.0,0.0,28.0,0.0,0.0,228.0
Other Borrowings,Borrowings,0.0,0.0,-0.0,0.0,0.0,
Trade Payables,Other Liabilities,43.0,63.0,95.0,81.0,176.0,375.0
Advance from Customers,Other Liabilities,5.0,19.0,54.0,86.0,228.0,
Other liability items,Other Liabilities,49.0,194.0,216.0,300.0,602.0,500.0
Inventories,Other Assets,5.0,275.0,139.0,128.0,265.0,439.0
Trade receivables,Other Assets,2.0,24.0,4.0,55.0,417.0,690.0
Cash Equivalents,Other Assets,78.0,170.0,80.0,60.0,301.0,98.0
Loans n Advances,Other Assets,14.0,42.0,5.0,10.0,59.0,17.0
Other asset items,Other Assets,96.0,210.0,87.0,102.0,264.0,404.0
