,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,6.0,28.0,30.0,39.0,39.0,39.0,40.0,40.0
Reserves,,147.0,144.0,177.0,339.0,374.0,406.0,600.0,685.0
Borrowings,,85.0,103.0,106.0,31.0,15.0,66.0,24.0,27.0
Other Liabilities,,92.0,66.0,50.0,48.0,93.0,129.0,188.0,212.0
Total Liabilities,,330.0,342.0,363.0,458.0,520.0,640.0,852.0,965.0
Fixed Assets,,168.0,158.0,157.0,154.0,170.0,186.0,190.0,198.0
CWIP,,3.0,5.0,1.0,0.0,5.0,4.0,11.0,9.0
Investments,,0.0,0.0,1.0,4.0,12.0,22.0,28.0,33.0
Other Assets,,159.0,180.0,204.0,300.0,335.0,427.0,623.0,725.0
Total Assets,,330.0,342.0,363.0,458.0,520.0,640.0,852.0,965.0
Land,Fixed Assets,58.41,58.41,58.41,54.63,54.63,58.41,58.41,
Building,Fixed Assets,39.74,37.29,41.93,24.03,26.87,47.27,46.34,
Plant Machinery,Fixed Assets,79.89,80.41,82.95,87.29,102.05,125.59,138.31,
Equipments,Fixed Assets,1.42,1.65,1.84,2.72,3.52,4.94,6.1,
Computers,Fixed Assets,0.33,0.61,0.86,1.21,1.38,1.91,2.39,
Furniture n fittings,Fixed Assets,2.79,2.83,3.02,4.25,5.56,6.33,6.87,
Vehicles,Fixed Assets,3.85,3.98,4.04,4.04,3.93,4.38,4.88,
Intangible Assets,Fixed Assets,3.09,3.09,3.09,3.09,9.54,9.54,9.54,12.58
Other fixed assets,Fixed Assets,0.05,0.23,0.25,22.39,22.88,1.41,5.85,
Gross Block,Fixed Assets,189.57,188.5,196.39,203.65,230.36,259.78,278.69,
Accumulated Depreciation,Fixed Assets,21.28,30.66,39.76,49.99,60.83,74.07,88.5,
Long term Borrowings,Borrowings,38.2,36.75,25.53,0.0,0.95,1.43,0.88,0.68
Short term Borrowings,Borrowings,37.93,60.2,80.52,31.08,13.68,63.18,22.22,25.93
Lease Liabilities,Borrowings,0.0,0.16,0.12,0.0,0.0,1.19,0.93,0.45
Other Borrowings,Borrowings,8.75,6.37,0.0,0.0,0.0,0.0,-0.01,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0,-0.0
Trade Payables,Other Liabilities,53.0,27.0,15.0,15.0,26.0,61.0,55.0,57.0
Advance from Customers,Other Liabilities,1.0,1.0,0.0,0.0,30.0,30.0,86.0,
Other liability items,Other Liabilities,38.0,38.0,34.0,32.0,37.0,40.0,51.0,155.0
Inventories,Other Assets,65.0,60.0,75.0,67.0,93.0,150.0,151.0,160.0
Trade receivables,Other Assets,83.0,98.0,95.0,123.0,150.0,198.0,295.0,363.0
Cash Equivalents,Other Assets,2.0,4.0,8.0,76.0,40.0,11.0,111.0,119.0
Loans n Advances,Other Assets,5.0,11.0,18.0,25.0,18.0,29.0,25.0,20.0
Other asset items,Other Assets,4.0,6.0,9.0,9.0,34.0,39.0,42.0,63.0
