,parent_line_item,Mar 2011,Mar 2012,Mar 2013,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,11.0,16.0,16.0,20.0,21.0,23.0,26.0,28.0,29.0
Reserves,,35.0,131.0,126.0,173.0,291.0,373.0,1012.0,2800.0,3020.0
Borrowings,,68.0,78.0,80.0,185.0,399.0,577.0,435.0,384.0,597.0
Other Liabilities,,46.0,62.0,65.0,203.0,358.0,536.0,837.0,1910.0,2302.0
Total Liabilities,,160.0,288.0,288.0,580.0,1069.0,1509.0,2310.0,5123.0,5947.0
Fixed Assets,,62.0,122.0,123.0,273.0,441.0,578.0,783.0,1136.0,1540.0
CWIP,,17.0,21.0,22.0,6.0,5.0,2.0,65.0,76.0,312.0
Investments,,0.0,30.0,26.0,0.0,1.0,2.0,6.0,8.0,11.0
Other Assets,,80.0,115.0,117.0,301.0,623.0,927.0,1456.0,3902.0,4083.0
Total Assets,,160.0,288.0,288.0,580.0,1069.0,1509.0,2310.0,5123.0,5947.0
Land,Fixed Assets,1.72,4.75,0.0,5.92,15.22,15.22,29.73,64.76,
Building,Fixed Assets,20.8,44.65,0.0,102.1,150.85,184.19,259.83,378.01,
Plant Machinery,Fixed Assets,40.47,75.49,0.0,209.3,327.33,450.15,600.16,844.7,
Equipments,Fixed Assets,0.75,0.92,0.0,2.17,3.87,6.61,7.95,14.42,
Furniture n fittings,Fixed Assets,3.19,4.05,0.0,12.43,19.18,25.09,29.28,39.47,
Vehicles,Fixed Assets,1.89,2.32,0.0,6.75,9.77,12.85,14.84,17.13,
Intangible Assets,Fixed Assets,0.3,1.3,0.0,0.55,0.55,0.0,0.0,0.0,5.21
Other fixed assets,Fixed Assets,0.08,0.1,143.62,1.0,1.27,2.05,2.37,3.51,
Gross Block,Fixed Assets,69.2,133.58,143.62,340.22,528.04,696.16,944.16,1362.0,
Accumulated Depreciation,Fixed Assets,7.22,11.7,21.07,67.09,87.08,118.37,161.61,225.61,
Long term Borrowings,Borrowings,28.0,29.0,,87.0,172.0,225.0,187.0,181.0,138.0
Short term Borrowings,Borrowings,33.0,49.0,,96.0,212.0,318.0,174.0,121.0,362.0
Lease Liabilities,Borrowings,0.0,0.0,,2.0,15.0,34.0,74.0,82.0,97.0
Other Borrowings,Borrowings,7.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,34.0,35.0,45.0,153.0,269.0,390.0,646.0,1374.0,1757.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,1.0,14.0,2.0,14.0,15.0,
Other liability items,Other Liabilities,13.0,27.0,20.0,48.0,75.0,144.0,177.0,521.0,544.0
Inventories,Other Assets,17.0,24.0,28.0,93.0,287.0,354.0,545.0,1318.0,1601.0
Trade receivables,Other Assets,33.0,18.0,35.0,147.0,213.0,438.0,553.0,980.0,1184.0
Cash Equivalents,Other Assets,6.0,12.0,5.0,17.0,39.0,40.0,182.0,980.0,389.0
Loans n Advances,Other Assets,4.0,13.0,11.0,16.0,26.0,32.0,32.0,153.0,37.0
Other asset items,Other Assets,21.0,49.0,39.0,27.0,58.0,63.0,143.0,471.0,871.0
