,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0
Reserves,,296.0,323.0,359.0,373.0,448.0,479.0,496.0,577.0,701.0,780.0,1133.0,1437.0
Borrowings,,167.0,217.0,253.0,315.0,333.0,463.0,440.0,645.0,558.0,588.0,773.0,943.0
Other Liabilities,,250.0,264.0,282.0,226.0,298.0,288.0,339.0,538.0,501.0,595.0,667.0,842.0
Total Liabilities,,734.0,825.0,916.0,937.0,1100.0,1252.0,1296.0,1781.0,1781.0,1986.0,2595.0,3245.0
Fixed Assets,,213.0,210.0,256.0,274.0,338.0,422.0,390.0,448.0,500.0,612.0,727.0,818.0
CWIP,,3.0,11.0,16.0,8.0,8.0,36.0,47.0,15.0,33.0,35.0,44.0,113.0
Investments,,11.0,19.0,13.0,37.0,33.0,38.0,55.0,55.0,60.0,30.0,24.0,36.0
Other Assets,,507.0,585.0,630.0,617.0,722.0,756.0,804.0,1263.0,1188.0,1309.0,1800.0,2278.0
Total Assets,,734.0,825.0,916.0,937.0,1100.0,1252.0,1296.0,1781.0,1781.0,1986.0,2595.0,3245.0
Land,Fixed Assets,50.0,50.0,17.0,17.0,44.0,140.0,24.0,64.0,78.0,83.0,78.0,84.0
Building,Fixed Assets,94.0,94.0,48.0,55.0,73.0,78.0,209.0,225.0,282.0,356.0,452.0,542.0
Plant Machinery,Fixed Assets,140.0,152.0,105.0,129.0,169.0,192.0,199.0,240.0,282.0,345.0,384.0,471.0
Equipments,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,26.0,31.0
Furniture n fittings,Fixed Assets,16.0,17.0,9.0,10.0,12.0,16.0,18.0,26.0,30.0,36.0,43.0,51.0
Vehicles,Fixed Assets,11.0,13.0,10.0,11.0,13.0,15.0,15.0,14.0,16.0,20.0,27.0,32.0
Intangible Assets,Fixed Assets,8.0,6.0,6.0,18.0,19.0,20.0,18.0,18.0,19.0,22.0,22.0,24.0
Other fixed assets,Fixed Assets,10.0,11.0,79.0,79.0,79.0,80.0,67.0,67.0,67.0,69.0,67.0,68.0
Gross Block,Fixed Assets,329.0,342.0,274.0,320.0,411.0,542.0,550.0,653.0,773.0,940.0,1101.0,1303.0
Accumulated Depreciation,Fixed Assets,116.0,133.0,17.0,46.0,73.0,120.0,159.0,205.0,273.0,329.0,374.0,485.0
Long term Borrowings,Borrowings,14.0,19.0,37.0,49.0,81.0,100.0,125.0,124.0,89.0,104.0,80.0,103.0
Short term Borrowings,Borrowings,146.0,189.0,204.0,214.0,235.0,257.0,200.0,440.0,359.0,341.0,472.0,584.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,78.0,74.0,80.0,109.0,143.0,221.0,256.0
Other Borrowings,Borrowings,7.0,9.0,12.0,53.0,17.0,28.0,41.0,0.0,0.0,0.0,0.0,-0.0
Non controlling int,Other Liabilities,10.0,9.0,11.0,10.0,12.0,13.0,13.0,16.0,20.0,15.0,-9.0,-22.0
Trade Payables,Other Liabilities,166.0,179.0,118.0,109.0,181.0,181.0,247.0,439.0,392.0,486.0,557.0,698.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,17.0,18.0
Other liability items,Other Liabilities,75.0,76.0,154.0,107.0,105.0,94.0,80.0,83.0,88.0,91.0,102.0,148.0
Inventories,Other Assets,175.0,174.0,216.0,210.0,236.0,264.0,281.0,541.0,514.0,503.0,705.0,882.0
Trade receivables,Other Assets,119.0,191.0,159.0,142.0,222.0,220.0,242.0,367.0,209.0,265.0,324.0,407.0
Cash Equivalents,Other Assets,94.0,131.0,106.0,97.0,111.0,110.0,117.0,150.0,294.0,366.0,566.0,747.0
Loans n Advances,Other Assets,0.0,3.0,19.0,19.0,36.0,41.0,31.0,60.0,41.0,69.0,61.0,84.0
Other asset items,Other Assets,119.0,86.0,129.0,149.0,117.0,121.0,133.0,146.0,129.0,105.0,143.0,156.0
